system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
httpd,bo,9001,depaware,true,1,13141.815668,0.076093,13141.815668,30.234488,"[8, 50, 30, True]",0.0,30.120166,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""18"", ""FlushMaxThreshold"": ""74501458"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""236"", ""LimitInternalRecursion"": ""50"", ""LimitRequestBody"": ""1123786466"", ""LimitRequestFieldSize"": ""6828"", ""LimitRequestFields"": ""0"", ""LimitRequestLine"": ""8750"", ""LimitXMLRequestBody"": ""28749879"", ""MaxKeepAliveRequests"": ""7305"", ""MaxRangeOverlaps"": ""55"", ""MaxRangeReversals"": ""2"", ""MaxRanges"": ""1552"", ""RLimitCPU"": ""2147483648"", ""RLimitMEM"": ""8781886755851038720"", ""RLimitNPROC"": ""65535"", ""ReadBufferSize"": ""1024"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""1415"", ""TraceEnable"": ""on"", ""throughput__2"": ""13141.815668""}"
httpd,bo,9001,depaware,true,2,17027.470730,0.058729,17027.470730,30.135886,"[8, 50, 30, True]",0.0,30.533460,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""877"", ""FlushMaxThreshold"": ""512409388"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""On"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""2654"", ""LimitInternalRecursion"": ""849"", ""LimitRequestBody"": ""726924177"", ""LimitRequestFieldSize"": ""13494"", ""LimitRequestFields"": ""9810"", ""LimitRequestLine"": ""35402"", ""LimitXMLRequestBody"": ""425557339"", ""MaxKeepAliveRequests"": ""4266"", ""MaxRangeOverlaps"": ""935"", ""MaxRangeReversals"": ""911"", ""MaxRanges"": ""7844"", ""RLimitCPU"": ""18679757"", ""RLimitMEM"": ""7981486609654195200"", ""RLimitNPROC"": ""5759"", ""ReadBufferSize"": ""569180241"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""3285"", ""TraceEnable"": ""on"", ""throughput__2"": ""17027.470730""}"
httpd,bo,9001,depaware,true,3,23510.730476,0.042534,23510.730476,30.137624,"[8, 50, 30, True]",0.0,30.196975,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""866"", ""FlushMaxThreshold"": ""314009892"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""2144"", ""LimitInternalRecursion"": ""12"", ""LimitRequestBody"": ""968820385"", ""LimitRequestFieldSize"": ""31531"", ""LimitRequestFields"": ""1963"", ""LimitRequestLine"": ""28711"", ""LimitXMLRequestBody"": ""388441802"", ""MaxKeepAliveRequests"": ""3237"", ""MaxRangeOverlaps"": ""465"", ""MaxRangeReversals"": ""263"", ""MaxRanges"": ""4502"", ""RLimitCPU"": ""691214266"", ""RLimitMEM"": ""1570864129242988032"", ""RLimitNPROC"": ""44356"", ""ReadBufferSize"": ""140226817"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""1602"", ""TraceEnable"": ""extended"", ""throughput__2"": ""23510.730476""}"
httpd,bo,9001,depaware,true,4,26790.577942,0.037327,26790.577942,30.155804,"[8, 50, 30, True]",0.0,29.599220,0.0,"{""AllowEncodedSlashes"": ""On"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""43"", ""FlushMaxThreshold"": ""450735587"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""1537"", ""LimitInternalRecursion"": ""381"", ""LimitRequestBody"": ""1316747874"", ""LimitRequestFieldSize"": ""45781"", ""LimitRequestFields"": ""5148"", ""LimitRequestLine"": ""56277"", ""LimitXMLRequestBody"": ""882793525"", ""MaxKeepAliveRequests"": ""5465"", ""MaxRangeOverlaps"": ""368"", ""MaxRangeReversals"": ""799"", ""MaxRanges"": ""637"", ""RLimitCPU"": ""1572559073"", ""RLimitMEM"": ""714123163855732992"", ""RLimitNPROC"": ""56237"", ""ReadBufferSize"": ""658746586"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""3245"", ""TraceEnable"": ""extended"", ""throughput__2"": ""26790.577942""}"
httpd,bo,9001,depaware,true,5,26785.629515,0.037333,26785.629515,30.203006,"[8, 50, 30, True]",0.0,30.893362,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""328"", ""FlushMaxThreshold"": ""157260431"", ""ForceType"": ""None"", ""HostnameLookups"": ""On"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""31"", ""LimitInternalRecursion"": ""846"", ""LimitRequestBody"": ""910962578"", ""LimitRequestFieldSize"": ""51363"", ""LimitRequestFields"": ""3463"", ""LimitRequestLine"": ""36930"", ""LimitXMLRequestBody"": ""125814553"", ""MaxKeepAliveRequests"": ""9312"", ""MaxRangeOverlaps"": ""853"", ""MaxRangeReversals"": ""773"", ""MaxRanges"": ""6406"", ""RLimitCPU"": ""2014447751"", ""RLimitMEM"": ""7750854822180680704"", ""RLimitNPROC"": ""20360"", ""ReadBufferSize"": ""774770005"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""1660"", ""TraceEnable"": ""extended"", ""throughput__2"": ""26785.629515""}"
httpd,bo,9001,depaware,true,6,24688.692360,0.040504,24688.692360,30.032346,"[8, 50, 30, True]",0.0,29.517110,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""992"", ""FlushMaxThreshold"": ""249154179"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""383"", ""LimitInternalRecursion"": ""700"", ""LimitRequestBody"": ""1019633459"", ""LimitRequestFieldSize"": ""4662"", ""LimitRequestFields"": ""7081"", ""LimitRequestLine"": ""60135"", ""LimitXMLRequestBody"": ""734890892"", ""MaxKeepAliveRequests"": ""0"", ""MaxRangeOverlaps"": ""745"", ""MaxRangeReversals"": ""96"", ""MaxRanges"": ""841"", ""RLimitCPU"": ""199805096"", ""RLimitMEM"": ""3184303467087503872"", ""RLimitNPROC"": ""57040"", ""ReadBufferSize"": ""152426526"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""1766"", ""TraceEnable"": ""extended"", ""throughput__2"": ""24688.692360""}"
httpd,bo,9001,depaware,true,7,28949.892673,0.034542,28949.892673,30.104406,"[8, 50, 30, True]",0.0,29.322179,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""21"", ""FlushMaxThreshold"": ""0"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""132"", ""LimitInternalRecursion"": ""101"", ""LimitRequestBody"": ""1065489456"", ""LimitRequestFieldSize"": ""7058"", ""LimitRequestFields"": ""249"", ""LimitRequestLine"": ""7960"", ""LimitXMLRequestBody"": ""33110068"", ""MaxKeepAliveRequests"": ""174"", ""MaxRangeOverlaps"": ""0"", ""MaxRangeReversals"": ""0"", ""MaxRanges"": ""6"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""1024"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""320"", ""TraceEnable"": ""on"", ""throughput__2"": ""28949.892673""}"
httpd,bo,9001,depaware,true,8,28895.379510,0.034608,28895.379510,30.219736,"[8, 50, 30, True]",0.0,29.657212,0.0,"{""AllowEncodedSlashes"": ""On"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""914"", ""FlushMaxThreshold"": ""113024493"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""2310"", ""LimitInternalRecursion"": ""216"", ""LimitRequestBody"": ""446381618"", ""LimitRequestFieldSize"": ""46291"", ""LimitRequestFields"": ""4355"", ""LimitRequestLine"": ""40075"", ""LimitXMLRequestBody"": ""863800300"", ""MaxKeepAliveRequests"": ""1364"", ""MaxRangeOverlaps"": ""907"", ""MaxRangeReversals"": ""226"", ""MaxRanges"": ""4161"", ""RLimitCPU"": ""595004902"", ""RLimitMEM"": ""4208800795444793856"", ""RLimitNPROC"": ""26374"", ""ReadBufferSize"": ""316855920"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""3588"", ""TraceEnable"": ""extended"", ""throughput__2"": ""28895.379510""}"
httpd,bo,9001,depaware,true,9,29039.124622,0.034436,29039.124622,30.192530,"[8, 50, 30, True]",0.0,29.211790,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""828"", ""FlushMaxThreshold"": ""713591625"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""Double"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""1526"", ""LimitInternalRecursion"": ""872"", ""LimitRequestBody"": ""1163274850"", ""LimitRequestFieldSize"": ""14410"", ""LimitRequestFields"": ""5189"", ""LimitRequestLine"": ""10803"", ""LimitXMLRequestBody"": ""768152119"", ""MaxKeepAliveRequests"": ""2314"", ""MaxRangeOverlaps"": ""715"", ""MaxRangeReversals"": ""664"", ""MaxRanges"": ""2138"", ""RLimitCPU"": ""818236550"", ""RLimitMEM"": ""2674076970402673664"", ""RLimitNPROC"": ""44390"", ""ReadBufferSize"": ""739002614"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""3215"", ""TraceEnable"": ""extended"", ""throughput__2"": ""29039.124622""}"
httpd,bo,9001,depaware,true,10,29171.437494,0.034280,29171.437494,30.248138,"[8, 50, 30, True]",0.0,28.501851,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""594"", ""FlushMaxThreshold"": ""453336960"", ""ForceType"": ""None"", ""HostnameLookups"": ""Double"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""2567"", ""LimitInternalRecursion"": ""722"", ""LimitRequestBody"": ""1301070357"", ""LimitRequestFieldSize"": ""16980"", ""LimitRequestFields"": ""1773"", ""LimitRequestLine"": ""53126"", ""LimitXMLRequestBody"": ""938564733"", ""MaxKeepAliveRequests"": ""3984"", ""MaxRangeOverlaps"": ""615"", ""MaxRangeReversals"": ""569"", ""MaxRanges"": ""7510"", ""RLimitCPU"": ""606369560"", ""RLimitMEM"": ""1787032927794917632"", ""RLimitNPROC"": ""12453"", ""ReadBufferSize"": ""137540435"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""284"", ""TraceEnable"": ""extended"", ""throughput__2"": ""29171.437494""}"
