system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
mysql,bo,9001,depaware,true,1,151.015086,6.621855,151.015086,25.325508,"[12, 16, 20000, 32, 0.5]",12.181668281555176,13.562495,0.0,"{""binlog_cache_size"": ""1728964926"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""9"", ""innodb_adaptive_max_sleep_delay"": ""239747"", ""innodb_buffer_pool_instances"": ""17"", ""innodb_buffer_pool_size"": ""530768594"", ""innodb_change_buffer_max_size"": ""40"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""448"", ""innodb_io_capacity_max"": ""14539"", ""innodb_log_write_ahead_size"": ""2819"", ""innodb_lru_scan_depth"": ""3078"", ""innodb_max_dirty_pages_pct_lwm"": ""53"", ""innodb_purge_batch_size"": ""1387"", ""innodb_purge_rseg_truncate_frequency"": ""43"", ""innodb_stats_transient_sample_pages"": ""23"", ""innodb_thread_concurrency"": ""185"", ""join_buffer_size"": ""195150488"", ""key_cache_age_threshold"": ""15648"", ""max_allowed_packet"": ""347705081"", ""max_connections"": ""21188"", ""max_heap_table_size"": ""423233811"", ""max_prepared_stmt_count"": ""0"", ""max_sort_length"": ""32831"", ""query_cache_limit"": ""4538875"", ""query_prealloc_size"": ""65150815"", ""sort_buffer_size"": ""45683265"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""136127468"", ""transaction_alloc_block_size"": ""28935""}"
mysql,bo,9001,depaware,true,2,161.850754,6.178532,161.850754,13.889740,"[12, 16, 20000, 32, 0.5]",0.5368902683258057,13.329369,0.0,"{""binlog_cache_size"": ""3186770747"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""15"", ""innodb_adaptive_max_sleep_delay"": ""249538"", ""innodb_buffer_pool_instances"": ""56"", ""innodb_buffer_pool_size"": ""10023787944"", ""innodb_change_buffer_max_size"": ""50"", ""innodb_change_buffering"": ""inserts"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""2602"", ""innodb_io_capacity_max"": ""24500"", ""innodb_log_write_ahead_size"": ""12288"", ""innodb_lru_scan_depth"": ""1785"", ""innodb_max_dirty_pages_pct_lwm"": ""54"", ""innodb_purge_batch_size"": ""1242"", ""innodb_purge_rseg_truncate_frequency"": ""45"", ""innodb_stats_transient_sample_pages"": ""36"", ""innodb_thread_concurrency"": ""758"", ""join_buffer_size"": ""385584108"", ""key_cache_age_threshold"": ""16396"", ""max_allowed_packet"": ""740557917"", ""max_connections"": ""20793"", ""max_heap_table_size"": ""242799335"", ""max_prepared_stmt_count"": ""491858"", ""max_sort_length"": ""11094"", ""query_cache_limit"": ""20137211"", ""query_prealloc_size"": ""58907665"", ""sort_buffer_size"": ""124423076"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""665872963"", ""transaction_alloc_block_size"": ""69546""}"
mysql,bo,9001,depaware,true,3,162.169216,6.166398,162.169216,1.387168,"[12, 16, 20000, 32, 0.5]",1.1084799766540527,0.097655,0.0,"{""binlog_cache_size"": ""4022614172"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""14"", ""innodb_adaptive_max_sleep_delay"": ""670176"", ""innodb_buffer_pool_instances"": ""24"", ""innodb_buffer_pool_size"": ""7657577197"", ""innodb_change_buffer_max_size"": ""36"", ""innodb_change_buffering"": ""inserts"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""19264"", ""innodb_io_capacity_max"": ""2703"", ""innodb_log_write_ahead_size"": ""10877"", ""innodb_lru_scan_depth"": ""6168"", ""innodb_max_dirty_pages_pct_lwm"": ""46"", ""innodb_purge_batch_size"": ""5000"", ""innodb_purge_rseg_truncate_frequency"": ""36"", ""innodb_stats_transient_sample_pages"": ""49"", ""innodb_thread_concurrency"": ""316"", ""join_buffer_size"": ""571197504"", ""key_cache_age_threshold"": ""2845"", ""max_allowed_packet"": ""1024"", ""max_connections"": ""17700"", ""max_heap_table_size"": ""300810770"", ""max_prepared_stmt_count"": ""85262"", ""max_sort_length"": ""6262"", ""query_cache_limit"": ""94267892"", ""query_prealloc_size"": ""27188422"", ""sort_buffer_size"": ""78855344"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""508584722"", ""transaction_alloc_block_size"": ""21231""}"
mysql,bo,9001,depaware,true,4,162.157750,6.166834,162.157750,24.942828,"[12, 16, 20000, 32, 0.5]",12.6574866771698,11.816401,0.0,"{""binlog_cache_size"": ""1916019192"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""8"", ""innodb_adaptive_max_sleep_delay"": ""415141"", ""innodb_buffer_pool_instances"": ""20"", ""innodb_buffer_pool_size"": ""966857535"", ""innodb_change_buffer_max_size"": ""33"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""2271"", ""innodb_io_capacity_max"": ""14720"", ""innodb_log_write_ahead_size"": ""1720"", ""innodb_lru_scan_depth"": ""3833"", ""innodb_max_dirty_pages_pct_lwm"": ""9"", ""innodb_purge_batch_size"": ""754"", ""innodb_purge_rseg_truncate_frequency"": ""47"", ""innodb_stats_transient_sample_pages"": ""23"", ""innodb_thread_concurrency"": ""61"", ""join_buffer_size"": ""138746092"", ""key_cache_age_threshold"": ""26257"", ""max_allowed_packet"": ""717483257"", ""max_connections"": ""42102"", ""max_heap_table_size"": ""188104194"", ""max_prepared_stmt_count"": ""4964"", ""max_sort_length"": ""17369"", ""query_cache_limit"": ""9394812"", ""query_prealloc_size"": ""72056038"", ""sort_buffer_size"": ""75407238"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""191672843"", ""transaction_alloc_block_size"": ""34189""}"
mysql,bo,9001,depaware,true,5,168.976127,5.917996,168.976127,26.524337,"[12, 16, 20000, 32, 0.5]",14.177882432937622,12.839884,0.0,"{""binlog_cache_size"": ""357460100"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""1"", ""innodb_adaptive_max_sleep_delay"": ""389980"", ""innodb_buffer_pool_instances"": ""8"", ""innodb_buffer_pool_size"": ""1909244283"", ""innodb_change_buffer_max_size"": ""35"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""935"", ""innodb_io_capacity_max"": ""11393"", ""innodb_log_write_ahead_size"": ""1611"", ""innodb_lru_scan_depth"": ""6504"", ""innodb_max_dirty_pages_pct_lwm"": ""18"", ""innodb_purge_batch_size"": ""915"", ""innodb_purge_rseg_truncate_frequency"": ""45"", ""innodb_stats_transient_sample_pages"": ""62"", ""innodb_thread_concurrency"": ""15"", ""join_buffer_size"": ""132444400"", ""key_cache_age_threshold"": ""20379"", ""max_allowed_packet"": ""665679426"", ""max_connections"": ""33001"", ""max_heap_table_size"": ""303905146"", ""max_prepared_stmt_count"": ""41209"", ""max_sort_length"": ""3371"", ""query_cache_limit"": ""15405870"", ""query_prealloc_size"": ""64996333"", ""sort_buffer_size"": ""44586257"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""235814910"", ""transaction_alloc_block_size"": ""24848""}"
mysql,bo,9001,depaware,true,6,133.439345,7.494042,133.439345,30.492465,"[12, 16, 20000, 32, 0.5]",17.09547519683838,13.734913,0.0,"{""binlog_cache_size"": ""2721523874"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""13"", ""innodb_adaptive_max_sleep_delay"": ""822233"", ""innodb_buffer_pool_instances"": ""30"", ""innodb_buffer_pool_size"": ""1598435380"", ""innodb_change_buffer_max_size"": ""21"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""7535"", ""innodb_io_capacity_max"": ""14598"", ""innodb_log_write_ahead_size"": ""15820"", ""innodb_lru_scan_depth"": ""6575"", ""innodb_max_dirty_pages_pct_lwm"": ""50"", ""innodb_purge_batch_size"": ""1109"", ""innodb_purge_rseg_truncate_frequency"": ""68"", ""innodb_stats_transient_sample_pages"": ""39"", ""innodb_thread_concurrency"": ""935"", ""join_buffer_size"": ""190611039"", ""key_cache_age_threshold"": ""5724"", ""max_allowed_packet"": ""600668686"", ""max_connections"": ""51268"", ""max_heap_table_size"": ""432854436"", ""max_prepared_stmt_count"": ""858505"", ""max_sort_length"": ""144411"", ""query_cache_limit"": ""0"", ""query_prealloc_size"": ""124633439"", ""sort_buffer_size"": ""77033922"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""456092884"", ""transaction_alloc_block_size"": ""131072""}"
mysql,bo,9001,depaware,true,7,99.853896,10.014632,99.853896,23.548122,"[12, 16, 20000, 32, 0.5]",11.162158012390137,12.268900,0.0,"{""binlog_cache_size"": ""231305062"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""1"", ""innodb_adaptive_max_sleep_delay"": ""396673"", ""innodb_buffer_pool_instances"": ""7"", ""innodb_buffer_pool_size"": ""1213071369"", ""innodb_change_buffer_max_size"": ""33"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""5651"", ""innodb_io_capacity_max"": ""16571"", ""innodb_log_write_ahead_size"": ""3141"", ""innodb_lru_scan_depth"": ""3643"", ""innodb_max_dirty_pages_pct_lwm"": ""22"", ""innodb_purge_batch_size"": ""923"", ""innodb_purge_rseg_truncate_frequency"": ""47"", ""innodb_stats_transient_sample_pages"": ""58"", ""innodb_thread_concurrency"": ""26"", ""join_buffer_size"": ""183349067"", ""key_cache_age_threshold"": ""19452"", ""max_allowed_packet"": ""718404627"", ""max_connections"": ""27356"", ""max_heap_table_size"": ""312742261"", ""max_prepared_stmt_count"": ""144041"", ""max_sort_length"": ""4"", ""query_cache_limit"": ""24040185"", ""query_prealloc_size"": ""52093440"", ""sort_buffer_size"": ""37440489"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""113846200"", ""transaction_alloc_block_size"": ""34590""}"
mysql,bo,9001,depaware,true,8,163.752678,6.106770,163.752678,22.705240,"[12, 16, 20000, 32, 0.5]",9.21673583984375,13.752386,0.0,"{""binlog_cache_size"": ""1735730703"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""6"", ""innodb_adaptive_max_sleep_delay"": ""438951"", ""innodb_buffer_pool_instances"": ""23"", ""innodb_buffer_pool_size"": ""2502498535"", ""innodb_change_buffer_max_size"": ""33"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""1983"", ""innodb_io_capacity_max"": ""13968"", ""innodb_log_write_ahead_size"": ""512"", ""innodb_lru_scan_depth"": ""5437"", ""innodb_max_dirty_pages_pct_lwm"": ""21"", ""innodb_purge_batch_size"": ""1268"", ""innodb_purge_rseg_truncate_frequency"": ""44"", ""innodb_stats_transient_sample_pages"": ""28"", ""innodb_thread_concurrency"": ""163"", ""join_buffer_size"": ""163712908"", ""key_cache_age_threshold"": ""28511"", ""max_allowed_packet"": ""659776597"", ""max_connections"": ""38628"", ""max_heap_table_size"": ""328089179"", ""max_prepared_stmt_count"": ""0"", ""max_sort_length"": ""11019"", ""query_cache_limit"": ""0"", ""query_prealloc_size"": ""75985497"", ""sort_buffer_size"": ""35511586"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""231873653"", ""transaction_alloc_block_size"": ""32049""}"
mysql,bo,9001,depaware,true,9,136.831532,7.308257,136.831532,25.790200,"[12, 16, 20000, 32, 0.5]",12.716315746307373,12.997168,0.0,"{""binlog_cache_size"": ""182125053"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""4"", ""innodb_adaptive_max_sleep_delay"": ""419068"", ""innodb_buffer_pool_instances"": ""26"", ""innodb_buffer_pool_size"": ""2035538196"", ""innodb_change_buffer_max_size"": ""33"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""1860"", ""innodb_io_capacity_max"": ""13611"", ""innodb_log_write_ahead_size"": ""2817"", ""innodb_lru_scan_depth"": ""4517"", ""innodb_max_dirty_pages_pct_lwm"": ""30"", ""innodb_purge_batch_size"": ""1558"", ""innodb_purge_rseg_truncate_frequency"": ""48"", ""innodb_stats_transient_sample_pages"": ""85"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""248714145"", ""key_cache_age_threshold"": ""27936"", ""max_allowed_packet"": ""735520514"", ""max_connections"": ""35583"", ""max_heap_table_size"": ""144153726"", ""max_prepared_stmt_count"": ""30612"", ""max_sort_length"": ""17786"", ""query_cache_limit"": ""22614951"", ""query_prealloc_size"": ""28483392"", ""sort_buffer_size"": ""36720261"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""210476537"", ""transaction_alloc_block_size"": ""24742""}"
mysql,bo,9001,depaware,true,10,152.273170,6.567145,152.273170,13.744423,"[12, 16, 20000, 32, 0.5]",0.5086064338684082,12.841861,0.0,"{""binlog_cache_size"": ""3266406213"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""58"", ""innodb_adaptive_max_sleep_delay"": ""327963"", ""innodb_buffer_pool_instances"": ""54"", ""innodb_buffer_pool_size"": ""13618507092"", ""innodb_change_buffer_max_size"": ""11"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""10374"", ""innodb_io_capacity_max"": ""30978"", ""innodb_log_write_ahead_size"": ""2337"", ""innodb_lru_scan_depth"": ""6032"", ""innodb_max_dirty_pages_pct_lwm"": ""54"", ""innodb_purge_batch_size"": ""2755"", ""innodb_purge_rseg_truncate_frequency"": ""115"", ""innodb_stats_transient_sample_pages"": ""68"", ""innodb_thread_concurrency"": ""406"", ""join_buffer_size"": ""806440543"", ""key_cache_age_threshold"": ""8610"", ""max_allowed_packet"": ""848913270"", ""max_connections"": ""5656"", ""max_heap_table_size"": ""1060629692"", ""max_prepared_stmt_count"": ""729533"", ""max_sort_length"": ""200903"", ""query_cache_limit"": ""15865118"", ""query_prealloc_size"": ""131480253"", ""sort_buffer_size"": ""117953168"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""893164134"", ""transaction_alloc_block_size"": ""102264""}"
