system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,hebo,1,plain,false,1,1241.34,3.22,310.33,35.17933773994446,"[20, 50, 1000, 1, 0.5]",15.12358045578003,20.02207589149475,0.0,"{""backend_flush_after"": ""41"", ""bgwriter_delay"": ""6396"", ""bgwriter_flush_after"": ""175"", ""bgwriter_lru_maxpages"": ""988187712"", ""bgwriter_lru_multiplier"": ""3.675668478012085"", ""checkpoint_completion_target"": ""0.5155318975448608"", ""checkpoint_flush_after"": ""70"", ""checkpoint_timeout"": ""62362"", ""commit_delay"": ""19478"", ""commit_siblings"": ""850"", ""deadlock_timeout"": ""1353167232"", ""default_statistics_target"": ""7565"", ""effective_cache_size"": ""142340"", ""effective_io_concurrency"": ""681"", ""from_collapse_limit"": ""370965568"", ""join_collapse_limit"": ""169785376"", ""maintenance_work_mem"": ""8054"", ""max_parallel_workers"": ""646"", ""max_parallel_workers_per_gather"": ""875"", ""max_wal_size"": ""1091"", ""max_worker_processes"": ""256"", ""min_wal_size"": ""174"", ""random_page_cost"": ""96.57441711425781"", ""seq_page_cost"": ""16.550613403320312"", ""shared_buffers"": ""780364"", ""temp_buffers"": ""3947"", ""throughput__2"": ""310.33"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""9593"", ""wal_writer_flush_after"": ""1147895680"", ""work_mem"": ""207894""}"
postgresql,hebo,1,plain,false,2,1292.56,3.09,323.14,35.13640570640564,"[20, 50, 1000, 1, 0.5]",15.084100246429443,20.02225089073181,0.0,"{""backend_flush_after"": ""130"", ""bgwriter_delay"": ""3399"", ""bgwriter_flush_after"": ""18"", ""bgwriter_lru_maxpages"": ""353686464"", ""bgwriter_lru_multiplier"": ""6.482905864715576"", ""checkpoint_completion_target"": ""0.07715338468551636"", ""checkpoint_flush_after"": ""168"", ""checkpoint_timeout"": ""27903"", ""commit_delay"": ""79920"", ""commit_siblings"": ""227"", ""deadlock_timeout"": ""27007616"", ""default_statistics_target"": ""759"", ""effective_cache_size"": ""740008"", ""effective_io_concurrency"": ""199"", ""from_collapse_limit"": ""2044735104"", ""join_collapse_limit"": ""1169993088"", ""maintenance_work_mem"": ""595626"", ""max_parallel_workers"": ""391"", ""max_parallel_workers_per_gather"": ""264"", ""max_wal_size"": ""6954"", ""max_worker_processes"": ""866"", ""min_wal_size"": ""7863"", ""random_page_cost"": ""7.731509208679199"", ""seq_page_cost"": ""84.66266632080078"", ""shared_buffers"": ""141190"", ""temp_buffers"": ""5531"", ""throughput__2"": ""323.14"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""2110"", ""wal_writer_flush_after"": ""585127744"", ""work_mem"": ""646864""}"
postgresql,hebo,1,plain,false,3,1328.28,3.01,332.07,32.32205533981323,"[20, 50, 1000, 1, 0.5]",12.257429361343384,20.020498514175415,0.0,"{""backend_flush_after"": ""84"", ""bgwriter_delay"": ""186"", ""bgwriter_flush_after"": ""240"", ""bgwriter_lru_maxpages"": ""149378576"", ""bgwriter_lru_multiplier"": ""1.770169734954834"", ""checkpoint_completion_target"": ""0.44150546193122864"", ""checkpoint_flush_after"": ""238"", ""checkpoint_timeout"": ""14011"", ""commit_delay"": ""48977"", ""commit_siblings"": ""298"", ""deadlock_timeout"": ""1652630016"", ""default_statistics_target"": ""4113"", ""effective_cache_size"": ""271131"", ""effective_io_concurrency"": ""316"", ""from_collapse_limit"": ""847386624"", ""join_collapse_limit"": ""975990272"", ""maintenance_work_mem"": ""283864"", ""max_parallel_workers"": ""987"", ""max_parallel_workers_per_gather"": ""637"", ""max_wal_size"": ""2984"", ""max_worker_processes"": ""600"", ""min_wal_size"": ""4483"", ""random_page_cost"": ""47.93109893798828"", ""seq_page_cost"": ""71.39411926269531"", ""shared_buffers"": ""882593"", ""temp_buffers"": ""195"", ""throughput__2"": ""332.07"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""6984"", ""wal_writer_flush_after"": ""71013280"", ""work_mem"": ""881580""}"
postgresql,hebo,1,plain,false,4,1314.26,3.04,328.57,35.17432713508606,"[20, 50, 1000, 1, 0.5]",15.124705791473389,20.019670963287354,0.0,"{""backend_flush_after"": ""249"", ""bgwriter_delay"": ""9453"", ""bgwriter_flush_after"": ""79"", ""bgwriter_lru_maxpages"": ""655690240"", ""bgwriter_lru_multiplier"": ""8.388439178466797"", ""checkpoint_completion_target"": ""0.8798706531524658"", ""checkpoint_flush_after"": ""12"", ""checkpoint_timeout"": ""65880"", ""commit_delay"": ""50056"", ""commit_siblings"": ""672"", ""deadlock_timeout"": ""867862848"", ""default_statistics_target"": ""7326"", ""effective_cache_size"": ""860988"", ""effective_io_concurrency"": ""798"", ""from_collapse_limit"": ""1568556416"", ""join_collapse_limit"": ""1972272000"", ""maintenance_work_mem"": ""820157"", ""max_parallel_workers"": ""218"", ""max_parallel_workers_per_gather"": ""18"", ""max_wal_size"": ""5100"", ""max_worker_processes"": ""458"", ""min_wal_size"": ""3541"", ""random_page_cost"": ""61.82526397705078"", ""seq_page_cost"": ""26.621644973754883"", ""shared_buffers"": ""309420"", ""temp_buffers"": ""9284"", ""throughput__2"": ""328.57"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""4479"", ""wal_writer_flush_after"": ""1655749504"", ""work_mem"": ""441639""}"
postgresql,hebo,1,plain,false,5,1302.26,3.07,325.57,35.20211052894592,"[20, 50, 1000, 1, 0.5]",15.118559122085571,20.02129077911377,0.0,"{""backend_flush_after"": ""98"", ""bgwriter_delay"": ""8451"", ""bgwriter_flush_after"": ""99"", ""bgwriter_lru_maxpages"": ""859482240"", ""bgwriter_lru_multiplier"": ""9.578877449035645"", ""checkpoint_completion_target"": ""0.7622162699699402"", ""checkpoint_flush_after"": ""214"", ""checkpoint_timeout"": ""4048"", ""commit_delay"": ""32368"", ""commit_siblings"": ""41"", ""deadlock_timeout"": ""1213936384"", ""default_statistics_target"": ""5092"", ""effective_cache_size"": ""421585"", ""effective_io_concurrency"": ""462"", ""from_collapse_limit"": ""1319076736"", ""join_collapse_limit"": ""1344276224"", ""maintenance_work_mem"": ""682825"", ""max_parallel_workers"": ""597"", ""max_parallel_workers_per_gather"": ""233"", ""max_wal_size"": ""4956"", ""max_worker_processes"": ""896"", ""min_wal_size"": ""2182"", ""random_page_cost"": ""34.800113677978516"", ""seq_page_cost"": ""38.525753021240234"", ""shared_buffers"": ""920207"", ""temp_buffers"": ""2900"", ""throughput__2"": ""325.57"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""5304"", ""wal_writer_flush_after"": ""1396823936"", ""work_mem"": ""849786""}"
postgresql,hebo,1,plain,false,6,1324.44,3.01,331.11,32.37936997413635,"[20, 50, 1000, 1, 0.5]",12.302639484405518,20.023573875427246,0.0,"{""backend_flush_after"": ""201"", ""bgwriter_delay"": ""1773"", ""bgwriter_flush_after"": ""222"", ""bgwriter_lru_maxpages"": ""482932640"", ""bgwriter_lru_multiplier"": ""0.5796260833740234"", ""checkpoint_completion_target"": ""0.3246030807495117"", ""checkpoint_flush_after"": ""56"", ""checkpoint_timeout"": ""76180"", ""commit_delay"": ""68594"", ""commit_siblings"": ""914"", ""deadlock_timeout"": ""425760832"", ""default_statistics_target"": ""3149"", ""effective_cache_size"": ""948937"", ""effective_io_concurrency"": ""916"", ""from_collapse_limit"": ""560189760"", ""join_collapse_limit"": ""528618304"", ""maintenance_work_mem"": ""216301"", ""max_parallel_workers"": ""344"", ""max_parallel_workers_per_gather"": ""644"", ""max_wal_size"": ""3089"", ""max_worker_processes"": ""30"", ""min_wal_size"": ""5874"", ""random_page_cost"": ""74.18132019042969"", ""seq_page_cost"": ""56.35093307495117"", ""shared_buffers"": ""509372"", ""temp_buffers"": ""6575"", ""throughput__2"": ""331.11"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""2800"", ""wal_writer_flush_after"": ""902496192"", ""work_mem"": ""285823""}"
postgresql,hebo,1,plain,false,7,1331.95,3.0,332.99,30.891955614089966,"[20, 50, 1000, 1, 0.5]",10.839781999588013,20.022528886795044,0.0,"{""backend_flush_after"": ""25"", ""bgwriter_delay"": ""4984"", ""bgwriter_flush_after"": ""60"", ""bgwriter_lru_maxpages"": ""20673088"", ""bgwriter_lru_multiplier"": ""5.251468658447266"", ""checkpoint_completion_target"": ""0.19482408463954926"", ""checkpoint_flush_after"": ""126"", ""checkpoint_timeout"": ""52104"", ""commit_delay"": ""11866"", ""commit_siblings"": ""623"", ""deadlock_timeout"": ""2055053440"", ""default_statistics_target"": ""1669"", ""effective_cache_size"": ""42792"", ""effective_io_concurrency"": ""534"", ""from_collapse_limit"": ""1778509952"", ""join_collapse_limit"": ""1611845888"", ""maintenance_work_mem"": ""902662"", ""max_parallel_workers"": ""780"", ""max_parallel_workers_per_gather"": ""511"", ""max_wal_size"": ""7098"", ""max_worker_processes"": ""296"", ""min_wal_size"": ""6473"", ""random_page_cost"": ""83.04708099365234"", ""seq_page_cost"": ""99.30797576904297"", ""shared_buffers"": ""562530"", ""temp_buffers"": ""1701"", ""throughput__2"": ""332.99"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""7524"", ""wal_writer_flush_after"": ""319896448"", ""work_mem"": ""51109""}"
postgresql,hebo,1,plain,false,8,1322.68,3.02,330.67,32.40586733818054,"[20, 50, 1000, 1, 0.5]",12.356115579605103,20.02068567276001,0.0,"{""backend_flush_after"": ""180"", ""bgwriter_delay"": ""5397"", ""bgwriter_flush_after"": ""131"", ""bgwriter_lru_maxpages"": ""784936384"", ""bgwriter_lru_multiplier"": ""4.907000541687012"", ""checkpoint_completion_target"": ""0.6324201226234436"", ""checkpoint_flush_after"": ""156"", ""checkpoint_timeout"": ""37825"", ""commit_delay"": ""88729"", ""commit_siblings"": ""500"", ""deadlock_timeout"": ""726010752"", ""default_statistics_target"": ""9706"", ""effective_cache_size"": ""577959"", ""effective_io_concurrency"": ""79"", ""from_collapse_limit"": ""100514560"", ""join_collapse_limit"": ""800113984"", ""maintenance_work_mem"": ""495099"", ""max_parallel_workers"": ""9"", ""max_parallel_workers_per_gather"": ""914"", ""max_wal_size"": ""986"", ""max_worker_processes"": ""694"", ""min_wal_size"": ""1533"", ""random_page_cost"": ""18.909202575683594"", ""seq_page_cost"": ""5.017680644989014"", ""shared_buffers"": ""88692"", ""temp_buffers"": ""7772"", ""throughput__2"": ""330.67"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""38"", ""wal_writer_flush_after"": ""1973031808"", ""work_mem"": ""616039""}"
postgresql,hebo,1,plain,false,9,1320.44,3.02,330.11,30.49169087409973,"[20, 50, 1000, 1, 0.5]",10.44281268119812,20.019757747650146,0.0,"{""backend_flush_after"": ""66"", ""bgwriter_delay"": ""1134"", ""bgwriter_flush_after"": ""94"", ""bgwriter_lru_maxpages"": ""403719552"", ""bgwriter_lru_multiplier"": ""0.8263745307922363"", ""checkpoint_completion_target"": ""0.7205204367637634"", ""checkpoint_flush_after"": ""129"", ""checkpoint_timeout"": ""10279"", ""commit_delay"": ""69971"", ""commit_siblings"": ""723"", ""deadlock_timeout"": ""1832362496"", ""default_statistics_target"": ""4623"", ""effective_cache_size"": ""97350"", ""effective_io_concurrency"": ""701"", ""from_collapse_limit"": ""1178415104"", ""join_collapse_limit"": ""1762888064"", ""maintenance_work_mem"": ""978404"", ""max_parallel_workers"": ""259"", ""max_parallel_workers_per_gather"": ""745"", ""max_wal_size"": ""4260"", ""max_worker_processes"": ""107"", ""min_wal_size"": ""7189"", ""random_page_cost"": ""27.689769744873047"", ""seq_page_cost"": ""19.309961318969727"", ""shared_buffers"": ""222386"", ""temp_buffers"": ""3604"", ""throughput__2"": ""330.11"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""6160"", ""wal_writer_flush_after"": ""1747439360"", ""work_mem"": ""777767""}"
postgresql,hebo,1,plain,false,10,1320.86,3.02,330.21,31.9355046749115,"[20, 50, 1000, 1, 0.5]",11.887588024139404,20.019118547439575,0.0,"{""backend_flush_after"": ""235"", ""bgwriter_delay"": ""9129"", ""bgwriter_flush_after"": ""225"", ""bgwriter_lru_maxpages"": ""937564800"", ""bgwriter_lru_multiplier"": ""9.3275785446167"", ""checkpoint_completion_target"": ""0.1574355661869049"", ""checkpoint_flush_after"": ""97"", ""checkpoint_timeout"": ""82433"", ""commit_delay"": ""30623"", ""commit_siblings"": ""346"", ""deadlock_timeout"": ""1007421760"", ""default_statistics_target"": ""6430"", ""effective_cache_size"": ""507487"", ""effective_io_concurrency"": ""186"", ""from_collapse_limit"": ""700546368"", ""join_collapse_limit"": ""649174016"", ""maintenance_work_mem"": ""390847"", ""max_parallel_workers"": ""512"", ""max_parallel_workers_per_gather"": ""134"", ""max_wal_size"": ""3629"", ""max_worker_processes"": ""1015"", ""min_wal_size"": ""757"", ""random_page_cost"": ""63.31049728393555"", ""seq_page_cost"": ""76.38685607910156"", ""shared_buffers"": ""699296"", ""temp_buffers"": ""7122"", ""throughput__2"": ""330.21"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""3663"", ""wal_writer_flush_after"": ""246212560"", ""work_mem"": ""342702""}"
