system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
tomcat,hebo,3301,depaware,false,1,2069.401458,24.16,2069.401458,10.034581661224363,"[8, 50, 10, False]",0.0,10.03374171257019,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,2,2128.28643,25.12,2128.28643,10.04080057144165,"[8, 50, 10, False]",0.0,10.04054355621338,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""65535"", ""maxHttpRequestHeaderSize"": ""65534"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,3,2223.556048,24.71,2223.556048,10.044601440429688,"[8, 50, 10, False]",0.0,10.044513940811155,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""65535"", ""maxHttpRequestHeaderSize"": ""36863"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,4,2039.76989,24.73,2039.76989,10.046074151992798,"[8, 50, 10, False]",0.0,10.04597783088684,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""65535"", ""maxHttpRequestHeaderSize"": ""33023"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,5,2082.046294,25.59,2082.046294,10.039577722549438,"[8, 50, 10, False]",0.0,10.039488315582275,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""4352"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,6,2104.226763,24.09,2104.226763,10.039424896240234,"[8, 50, 10, False]",0.0,10.039334297180176,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""513"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,7,2085.391751,24.29,2085.391751,10.042148113250732,"[8, 50, 10, False]",0.0,10.042060613632202,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""512"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,8,1685.062901,43.63,1685.062901,10.03128743171692,"[8, 50, 10, False]",0.0,10.031193256378174,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""False"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""0"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,9,2118.424277,25.33,2118.424277,10.042940139770508,"[8, 50, 10, False]",0.0,10.042850017547607,0.0,"{""acceptCount"": ""40"", ""allowBackslash"": ""True"", ""compression"": ""off"", ""compressionMinSize"": ""4475"", ""connectionTimeout"": ""470577"", ""connectionUploadTimeout"": ""298054"", ""disableUploadTimeout"": ""False"", ""executorTerminationTimeoutMillis"": ""133320"", ""keepAliveTimeout"": ""423626"", ""maxConnections"": ""3698"", ""maxHeaderCount"": ""423"", ""maxHttpHeaderSize"": ""6768"", ""maxHttpRequestHeaderSize"": ""44230"", ""maxHttpResponseHeaderSize"": ""47940"", ""maxKeepAliveRequests"": ""4796"", ""maxParameterCount"": ""29370"", ""maxSwallowSize"": ""1321687"", ""maxThreads"": ""112"", ""minSpareThreads"": ""939"", ""processorCache"": ""142"", ""tcpNoDelay"": ""True"", ""threadPriority"": ""1"", ""threadsMaxIdleTime"": ""332168"", ""useAsyncIO"": ""True"", ""useVirtualThreads"": ""False""}"
tomcat,hebo,3301,depaware,false,10,1987.183853,23.17,1987.183853,10.0301411151886,"[8, 50, 10, False]",0.0,10.030050992965698,0.0,"{""acceptCount"": ""533"", ""allowBackslash"": ""False"", ""compression"": ""off"", ""compressionMinSize"": ""7066"", ""connectionTimeout"": ""393856"", ""connectionUploadTimeout"": ""149457"", ""disableUploadTimeout"": ""True"", ""executorTerminationTimeoutMillis"": ""310337"", ""keepAliveTimeout"": ""338578"", ""maxConnections"": ""10147"", ""maxHeaderCount"": ""387"", ""maxHttpHeaderSize"": ""797"", ""maxHttpRequestHeaderSize"": ""55159"", ""maxHttpResponseHeaderSize"": ""64851"", ""maxKeepAliveRequests"": ""4571"", ""maxParameterCount"": ""79749"", ""maxSwallowSize"": ""19092804"", ""maxThreads"": ""310"", ""minSpareThreads"": ""245"", ""processorCache"": ""95"", ""tcpNoDelay"": ""False"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""172432"", ""useAsyncIO"": ""False"", ""useVirtualThreads"": ""True""}"
