system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
x265,bo,9001,plain,true,1,51.495157,19.419302,51.495157,6.377275,"['Standard', '320p', 30, '10s']",0.0,6.379437,0.0,"{""amp"": ""1"", ""aq-mode"": ""1"", ""aq-strength"": ""1.823945"", ""b-adapt"": ""0"", ""bframes"": ""6"", ""crf"": ""28.377503"", ""ctu"": ""17"", ""keyint"": ""106"", ""limit-refs"": ""2"", ""limit-tu"": ""0"", ""me"": ""dia"", ""merange"": ""64"", ""open-gop"": ""0"", ""psy-rd"": ""3.570971"", ""psy-rdoq"": ""2.972405"", ""qcomp"": ""0.619542"", ""qpmax"": ""31"", ""qpmin"": ""15"", ""rc-lookahead"": ""55"", ""rd"": ""4"", ""rdoq-level"": ""0"", ""rect"": ""1"", ""ref"": ""2"", ""rskip"": ""0"", ""sao"": ""1"", ""scenecut"": ""51"", ""subme"": ""1"", ""tu-inter-depth"": ""1"", ""tu-intra-depth"": ""2"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""0""}"
x265,bo,9001,plain,true,2,54.525923,18.339901,54.525923,88.902643,"['Standard', '320p', 30, '10s']",0.0,91.285021,0.0,"{""amp"": ""0"", ""aq-mode"": ""1"", ""aq-strength"": ""1.103147"", ""b-adapt"": ""0"", ""bframes"": ""5"", ""crf"": ""20.87986"", ""ctu"": ""16"", ""keyint"": ""329"", ""limit-refs"": ""2"", ""limit-tu"": ""0"", ""me"": ""full"", ""merange"": ""59"", ""open-gop"": ""1"", ""psy-rd"": ""0"", ""psy-rdoq"": ""0.151731"", ""qcomp"": ""0.779685"", ""qpmax"": ""24"", ""qpmin"": ""19"", ""rc-lookahead"": ""35"", ""rd"": ""2"", ""rdoq-level"": ""2"", ""rect"": ""1"", ""ref"": ""4"", ""rskip"": ""0"", ""sao"": ""1"", ""scenecut"": ""86"", ""subme"": ""3"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""2"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""1""}"
x265,bo,9001,plain,true,3,54.847140,18.232491,54.847140,2.177368,"['Standard', '320p', 30, '10s']",0.0,2.241834,0.0,"{""amp"": ""1"", ""aq-mode"": ""1"", ""aq-strength"": ""1.499581"", ""b-adapt"": ""1"", ""bframes"": ""2"", ""crf"": ""28.835222"", ""ctu"": ""35"", ""keyint"": ""267"", ""limit-refs"": ""0"", ""limit-tu"": ""2"", ""me"": ""umh"", ""merange"": ""58"", ""open-gop"": ""0"", ""psy-rd"": ""0.05186"", ""psy-rdoq"": ""1.528005"", ""qcomp"": ""0.795615"", ""qpmax"": ""40"", ""qpmin"": ""14"", ""rc-lookahead"": ""28"", ""rd"": ""2"", ""rdoq-level"": ""0"", ""rect"": ""0"", ""ref"": ""1"", ""rskip"": ""1"", ""sao"": ""0"", ""scenecut"": ""36"", ""subme"": ""1"", ""tu-inter-depth"": ""1"", ""tu-intra-depth"": ""2"", ""weightb"": ""0"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,bo,9001,plain,true,4,56.428427,17.721564,56.428427,81.868774,"['Standard', '320p', 30, '10s']",0.0,86.474242,0.0,"{""amp"": ""0"", ""aq-mode"": ""1"", ""aq-strength"": ""1.904974"", ""b-adapt"": ""2"", ""bframes"": ""1"", ""crf"": ""20.237287"", ""ctu"": ""62"", ""keyint"": ""40"", ""limit-refs"": ""0"", ""limit-tu"": ""0"", ""me"": ""full"", ""merange"": ""21"", ""open-gop"": ""0"", ""psy-rd"": ""1.827744"", ""psy-rdoq"": ""1.154713"", ""qcomp"": ""0.790168"", ""qpmax"": ""26"", ""qpmin"": ""10"", ""rc-lookahead"": ""51"", ""rd"": ""5"", ""rdoq-level"": ""1"", ""rect"": ""1"", ""ref"": ""3"", ""rskip"": ""1"", ""sao"": ""0"", ""scenecut"": ""90"", ""subme"": ""5"", ""tu-inter-depth"": ""1"", ""tu-intra-depth"": ""3"", ""weightb"": ""0"", ""weightp"": ""0"", ""wpp"": ""0""}"
x265,bo,9001,plain,true,5,60.790425,16.449959,60.790425,5.952774,"['Standard', '320p', 30, '10s']",0.0,5.503460,0.0,"{""amp"": ""1"", ""aq-mode"": ""1"", ""aq-strength"": ""1.241031"", ""b-adapt"": ""1"", ""bframes"": ""5"", ""crf"": ""27.902177"", ""ctu"": ""34"", ""keyint"": ""296"", ""limit-refs"": ""2"", ""limit-tu"": ""4"", ""me"": ""umh"", ""merange"": ""42"", ""open-gop"": ""0"", ""psy-rd"": ""2.038211"", ""psy-rdoq"": ""0.074426"", ""qcomp"": ""0.5"", ""qpmax"": ""43"", ""qpmin"": ""13"", ""rc-lookahead"": ""47"", ""rd"": ""4"", ""rdoq-level"": ""2"", ""rect"": ""1"", ""ref"": ""4"", ""rskip"": ""0"", ""sao"": ""1"", ""scenecut"": ""86"", ""subme"": ""1"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""2"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""1""}"
x265,bo,9001,plain,true,6,63.714300,15.695064,63.714300,4.143094,"['Standard', '320p', 30, '10s']",0.0,4.150867,0.0,"{""amp"": ""1"", ""aq-mode"": ""4"", ""aq-strength"": ""0.780973"", ""b-adapt"": ""0"", ""bframes"": ""7"", ""crf"": ""32"", ""ctu"": ""16"", ""keyint"": ""487"", ""limit-refs"": ""1"", ""limit-tu"": ""2"", ""me"": ""dia"", ""merange"": ""42"", ""open-gop"": ""1"", ""psy-rd"": ""1.486395"", ""psy-rdoq"": ""1.58245"", ""qcomp"": ""0.580535"", ""qpmax"": ""47"", ""qpmin"": ""6"", ""rc-lookahead"": ""23"", ""rd"": ""1"", ""rdoq-level"": ""0"", ""rect"": ""0"", ""ref"": ""2"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""47"", ""subme"": ""5"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""3"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,bo,9001,plain,true,7,54.060699,18.497726,54.060699,6.603452,"['Standard', '320p', 30, '10s']",0.0,6.445384,0.0,"{""amp"": ""0"", ""aq-mode"": ""1"", ""aq-strength"": ""0.584669"", ""b-adapt"": ""2"", ""bframes"": ""6"", ""crf"": ""20.41765"", ""ctu"": ""31"", ""keyint"": ""47"", ""limit-refs"": ""0"", ""limit-tu"": ""4"", ""me"": ""star"", ""merange"": ""34"", ""open-gop"": ""1"", ""psy-rd"": ""0.914198"", ""psy-rdoq"": ""1.319586"", ""qcomp"": ""0.870197"", ""qpmax"": ""29"", ""qpmin"": ""4"", ""rc-lookahead"": ""21"", ""rd"": ""1"", ""rdoq-level"": ""0"", ""rect"": ""1"", ""ref"": ""4"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""17"", ""subme"": ""3"", ""tu-inter-depth"": ""4"", ""tu-intra-depth"": ""1"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""0""}"
x265,bo,9001,plain,true,8,54.751668,18.264284,54.751668,8.642777,"['Standard', '320p', 30, '10s']",0.0,8.402215,0.0,"{""amp"": ""1"", ""aq-mode"": ""0"", ""aq-strength"": ""0.833013"", ""b-adapt"": ""2"", ""bframes"": ""0"", ""crf"": ""25.224165"", ""ctu"": ""31"", ""keyint"": ""216"", ""limit-refs"": ""2"", ""limit-tu"": ""0"", ""me"": ""dia"", ""merange"": ""34"", ""open-gop"": ""0"", ""psy-rd"": ""0.044587"", ""psy-rdoq"": ""2.476238"", ""qcomp"": ""0.716762"", ""qpmax"": ""27"", ""qpmin"": ""0"", ""rc-lookahead"": ""49"", ""rd"": ""3"", ""rdoq-level"": ""0"", ""rect"": ""0"", ""ref"": ""4"", ""rskip"": ""0"", ""sao"": ""1"", ""scenecut"": ""26"", ""subme"": ""4"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""1"", ""weightb"": ""1"", ""weightp"": ""1"", ""wpp"": ""1""}"
x265,bo,9001,plain,true,9,52.287577,19.125002,52.287577,5.999136,"['Standard', '320p', 30, '10s']",0.0,5.743084,0.0,"{""amp"": ""0"", ""aq-mode"": ""2"", ""aq-strength"": ""1.447309"", ""b-adapt"": ""2"", ""bframes"": ""3"", ""crf"": ""28.423259"", ""ctu"": ""18"", ""keyint"": ""347"", ""limit-refs"": ""0"", ""limit-tu"": ""3"", ""me"": ""umh"", ""merange"": ""56"", ""open-gop"": ""0"", ""psy-rd"": ""0"", ""psy-rdoq"": ""2.510876"", ""qcomp"": ""0.865186"", ""qpmax"": ""48"", ""qpmin"": ""13"", ""rc-lookahead"": ""11"", ""rd"": ""4"", ""rdoq-level"": ""2"", ""rect"": ""0"", ""ref"": ""3"", ""rskip"": ""0"", ""sao"": ""1"", ""scenecut"": ""75"", ""subme"": ""4"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""2"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,bo,9001,plain,true,10,44.369180,22.538167,44.369180,3.713114,"['Standard', '320p', 30, '10s']",0.0,3.494153,0.0,"{""amp"": ""1"", ""aq-mode"": ""3"", ""aq-strength"": ""2"", ""b-adapt"": ""2"", ""bframes"": ""5"", ""crf"": ""32"", ""ctu"": ""64"", ""keyint"": ""422"", ""limit-refs"": ""3"", ""limit-tu"": ""2"", ""me"": ""umh"", ""merange"": ""64"", ""open-gop"": ""1"", ""psy-rd"": ""4"", ""psy-rdoq"": ""5"", ""qcomp"": ""1"", ""qpmax"": ""40"", ""qpmin"": ""4"", ""rc-lookahead"": ""29"", ""rd"": ""1"", ""rdoq-level"": ""0"", ""rect"": ""1"", ""ref"": ""4"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""67"", ""subme"": ""2"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""4"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""0""}"
