system,method,run_id,variant,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,promisetune,1,single,1,,,231.50,32.51637649536133,"[20, 50, 1000, 1, 0.5]",12.467232465744019,20.01952075958252,0.0,"{""backend_flush_after"": ""134"", ""bgwriter_delay"": ""5965"", ""bgwriter_flush_after"": ""117"", ""bgwriter_lru_maxpages"": ""128261235"", ""bgwriter_lru_multiplier"": ""9.640591723038819"", ""checkpoint_completion_target"": ""0.9136459118642296"", ""checkpoint_flush_after"": ""172"", ""checkpoint_timeout"": ""53208"", ""commit_delay"": ""76834"", ""commit_siblings"": ""586"", ""deadlock_timeout"": ""1142455908"", ""default_statistics_target"": ""5766"", ""effective_cache_size"": ""669832"", ""effective_io_concurrency"": ""645"", ""from_collapse_limit"": ""27550303"", ""join_collapse_limit"": ""189316338"", ""maintenance_work_mem"": ""179414"", ""max_parallel_workers"": ""990"", ""max_parallel_workers_per_gather"": ""685"", ""max_wal_size"": ""2358"", ""max_worker_processes"": ""477"", ""min_wal_size"": ""2762"", ""random_page_cost"": ""45.67670702014537"", ""seq_page_cost"": ""1.6308294155164549"", ""shared_buffers"": ""755300"", ""temp_buffers"": ""8308"", ""throughput__2"": """", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""1201"", ""wal_writer_flush_after"": ""1680162435"", ""work_mem"": ""758303""}"
postgresql,promisetune,1,single,2,,,227.13,35.18104314804077,"[20, 50, 1000, 1, 0.5]",15.129563331604004,20.021896600723267,0.0,"{""backend_flush_after"": ""78"", ""bgwriter_delay"": ""4465"", ""bgwriter_flush_after"": ""215"", ""bgwriter_lru_maxpages"": ""762488641"", ""bgwriter_lru_multiplier"": ""4.332003138771611"", ""checkpoint_completion_target"": ""0.9806745885132978"", ""checkpoint_flush_after"": ""10"", ""checkpoint_timeout"": ""76"", ""commit_delay"": ""46143"", ""commit_siblings"": ""197"", ""deadlock_timeout"": ""233261465"", ""default_statistics_target"": ""7116"", ""effective_cache_size"": ""741399"", ""effective_io_concurrency"": ""8"", ""from_collapse_limit"": ""2050142753"", ""join_collapse_limit"": ""1470954065"", ""maintenance_work_mem"": ""563459"", ""max_parallel_workers"": ""150"", ""max_parallel_workers_per_gather"": ""910"", ""max_wal_size"": ""729"", ""max_worker_processes"": ""773"", ""min_wal_size"": ""3103"", ""random_page_cost"": ""13.472760063663358"", ""seq_page_cost"": ""25.63623472965425"", ""shared_buffers"": ""834404"", ""temp_buffers"": ""1125"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""724"", ""wal_writer_flush_after"": ""1981251496"", ""work_mem"": ""10709""}"
postgresql,promisetune,1,single,3,,,231.99,34.330374002456665,"[20, 50, 1000, 1, 0.5]",14.277920007705688,20.020968914031982,0.0,"{""backend_flush_after"": ""206"", ""bgwriter_delay"": ""2694"", ""bgwriter_flush_after"": ""32"", ""bgwriter_lru_maxpages"": ""168312195"", ""bgwriter_lru_multiplier"": ""7.58062932779611"", ""checkpoint_completion_target"": ""0.5465829051599347"", ""checkpoint_flush_after"": ""178"", ""checkpoint_timeout"": ""18902"", ""commit_delay"": ""83372"", ""commit_siblings"": ""424"", ""deadlock_timeout"": ""799099328"", ""default_statistics_target"": ""6866"", ""effective_cache_size"": ""864821"", ""effective_io_concurrency"": ""396"", ""from_collapse_limit"": ""1898118138"", ""join_collapse_limit"": ""2082384994"", ""maintenance_work_mem"": ""31576"", ""max_parallel_workers"": ""299"", ""max_parallel_workers_per_gather"": ""660"", ""max_wal_size"": ""7202"", ""max_worker_processes"": ""627"", ""min_wal_size"": ""2152"", ""random_page_cost"": ""56.15882153423916"", ""seq_page_cost"": ""2.379225670641605"", ""shared_buffers"": ""563663"", ""temp_buffers"": ""3949"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""542"", ""wal_writer_flush_after"": ""2029418206"", ""work_mem"": ""787350""}"
postgresql,promisetune,1,single,4,,,228.34,36.450339555740356,"[20, 50, 1000, 1, 0.5]",16.385769367218018,20.019999265670776,0.0,"{""backend_flush_after"": ""149"", ""bgwriter_delay"": ""1026"", ""bgwriter_flush_after"": ""232"", ""bgwriter_lru_maxpages"": ""968834549"", ""bgwriter_lru_multiplier"": ""1.5857741625302113"", ""checkpoint_completion_target"": ""0.9137221251125016"", ""checkpoint_flush_after"": ""85"", ""checkpoint_timeout"": ""2731"", ""commit_delay"": ""50626"", ""commit_siblings"": ""644"", ""deadlock_timeout"": ""750630760"", ""default_statistics_target"": ""2229"", ""effective_cache_size"": ""318564"", ""effective_io_concurrency"": ""332"", ""from_collapse_limit"": ""1592059385"", ""join_collapse_limit"": ""928104330"", ""maintenance_work_mem"": ""814858"", ""max_parallel_workers"": ""703"", ""max_parallel_workers_per_gather"": ""797"", ""max_wal_size"": ""3516"", ""max_worker_processes"": ""281"", ""min_wal_size"": ""3020"", ""random_page_cost"": ""51.71034866539107"", ""seq_page_cost"": ""80.22766455210378"", ""shared_buffers"": ""913739"", ""temp_buffers"": ""7468"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""8765"", ""wal_writer_flush_after"": ""543184321"", ""work_mem"": ""354193""}"
postgresql,promisetune,1,single,5,,,226.44,35.913532972335815,"[20, 50, 1000, 1, 0.5]",15.859840393066406,20.02012324333191,0.0,"{""backend_flush_after"": ""188"", ""bgwriter_delay"": ""3239"", ""bgwriter_flush_after"": ""8"", ""bgwriter_lru_maxpages"": ""495914171"", ""bgwriter_lru_multiplier"": ""0.8374091491955693"", ""checkpoint_completion_target"": ""0.5001225106774085"", ""checkpoint_flush_after"": ""135"", ""checkpoint_timeout"": ""25479"", ""commit_delay"": ""65607"", ""commit_siblings"": ""329"", ""deadlock_timeout"": ""576062058"", ""default_statistics_target"": ""3269"", ""effective_cache_size"": ""89234"", ""effective_io_concurrency"": ""567"", ""from_collapse_limit"": ""1084760585"", ""join_collapse_limit"": ""172575678"", ""maintenance_work_mem"": ""236853"", ""max_parallel_workers"": ""277"", ""max_parallel_workers_per_gather"": ""696"", ""max_wal_size"": ""4918"", ""max_worker_processes"": ""273"", ""min_wal_size"": ""762"", ""random_page_cost"": ""20.327205126356084"", ""seq_page_cost"": ""39.81701809393218"", ""shared_buffers"": ""563816"", ""temp_buffers"": ""9350"", ""throughput__2"": """", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""8296"", ""wal_writer_flush_after"": ""1167163316"", ""work_mem"": ""255118""}"
postgresql,promisetune,1,single,6,,,227.49,35.20186161994934,"[20, 50, 1000, 1, 0.5]",15.116898775100708,20.02200984954834,0.0,"{""backend_flush_after"": ""247"", ""bgwriter_delay"": ""8222"", ""bgwriter_flush_after"": ""3"", ""bgwriter_lru_maxpages"": ""737434193"", ""bgwriter_lru_multiplier"": ""6.912696439954294"", ""checkpoint_completion_target"": ""0.7860800542078382"", ""checkpoint_flush_after"": ""248"", ""checkpoint_timeout"": ""78830"", ""commit_delay"": ""29379"", ""commit_siblings"": ""591"", ""deadlock_timeout"": ""1308156384"", ""default_statistics_target"": ""2067"", ""effective_cache_size"": ""729581"", ""effective_io_concurrency"": ""369"", ""from_collapse_limit"": ""1986334289"", ""join_collapse_limit"": ""1804616865"", ""maintenance_work_mem"": ""517224"", ""max_parallel_workers"": ""741"", ""max_parallel_workers_per_gather"": ""815"", ""max_wal_size"": ""4791"", ""max_worker_processes"": ""943"", ""min_wal_size"": ""6366"", ""random_page_cost"": ""83.27770443873531"", ""seq_page_cost"": ""34.05217408821978"", ""shared_buffers"": ""903518"", ""temp_buffers"": ""8201"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""4209"", ""wal_writer_flush_after"": ""121223708"", ""work_mem"": ""748499""}"
postgresql,promisetune,1,single,7,,,226.56,35.442842960357666,"[20, 50, 1000, 1, 0.5]",15.373932123184204,20.021254062652588,0.0,"{""backend_flush_after"": ""215"", ""bgwriter_delay"": ""6804"", ""bgwriter_flush_after"": ""135"", ""bgwriter_lru_maxpages"": ""808322121"", ""bgwriter_lru_multiplier"": ""1.2232679060259966"", ""checkpoint_completion_target"": ""0.9576833148967272"", ""checkpoint_flush_after"": ""92"", ""checkpoint_timeout"": ""22951"", ""commit_delay"": ""8184"", ""commit_siblings"": ""840"", ""deadlock_timeout"": ""1838957865"", ""default_statistics_target"": ""8200"", ""effective_cache_size"": ""386419"", ""effective_io_concurrency"": ""271"", ""from_collapse_limit"": ""806025944"", ""join_collapse_limit"": ""1807376888"", ""maintenance_work_mem"": ""331856"", ""max_parallel_workers"": ""112"", ""max_parallel_workers_per_gather"": ""734"", ""max_wal_size"": ""568"", ""max_worker_processes"": ""659"", ""min_wal_size"": ""1776"", ""random_page_cost"": ""75.37139593993878"", ""seq_page_cost"": ""38.237449509822156"", ""shared_buffers"": ""527271"", ""temp_buffers"": ""9259"", ""throughput__2"": """", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""5621"", ""wal_writer_flush_after"": ""1928641535"", ""work_mem"": ""850941""}"
postgresql,promisetune,1,single,8,,,226.06,35.16284775733948,"[20, 50, 1000, 1, 0.5]",15.107745170593262,20.02079677581787,0.0,"{""backend_flush_after"": ""26"", ""bgwriter_delay"": ""7206"", ""bgwriter_flush_after"": ""176"", ""bgwriter_lru_maxpages"": ""590603680"", ""bgwriter_lru_multiplier"": ""1.8220583441361304"", ""checkpoint_completion_target"": ""0.9442210523827754"", ""checkpoint_flush_after"": ""166"", ""checkpoint_timeout"": ""32590"", ""commit_delay"": ""58382"", ""commit_siblings"": ""723"", ""deadlock_timeout"": ""2037507340"", ""default_statistics_target"": ""9364"", ""effective_cache_size"": ""353558"", ""effective_io_concurrency"": ""20"", ""from_collapse_limit"": ""1208531871"", ""join_collapse_limit"": ""571046644"", ""maintenance_work_mem"": ""615456"", ""max_parallel_workers"": ""270"", ""max_parallel_workers_per_gather"": ""795"", ""max_wal_size"": ""7824"", ""max_worker_processes"": ""1016"", ""min_wal_size"": ""2447"", ""random_page_cost"": ""76.55951899522884"", ""seq_page_cost"": ""24.267226194468016"", ""shared_buffers"": ""448932"", ""temp_buffers"": ""7562"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""7628"", ""wal_writer_flush_after"": ""461562555"", ""work_mem"": ""601454""}"
postgresql,promisetune,1,single,9,,,226.61,35.65064549446106,"[20, 50, 1000, 1, 0.5]",15.597159385681152,20.023404121398926,0.0,"{""backend_flush_after"": ""21"", ""bgwriter_delay"": ""6342"", ""bgwriter_flush_after"": ""129"", ""bgwriter_lru_maxpages"": ""767995297"", ""bgwriter_lru_multiplier"": ""4.968096887601155"", ""checkpoint_completion_target"": ""0.4773217554025775"", ""checkpoint_flush_after"": ""147"", ""checkpoint_timeout"": ""37397"", ""commit_delay"": ""1826"", ""commit_siblings"": ""474"", ""deadlock_timeout"": ""360821006"", ""default_statistics_target"": ""1027"", ""effective_cache_size"": ""445621"", ""effective_io_concurrency"": ""168"", ""from_collapse_limit"": ""488718054"", ""join_collapse_limit"": ""688533429"", ""maintenance_work_mem"": ""494177"", ""max_parallel_workers"": ""551"", ""max_parallel_workers_per_gather"": ""289"", ""max_wal_size"": ""357"", ""max_worker_processes"": ""95"", ""min_wal_size"": ""2671"", ""random_page_cost"": ""86.39390172969831"", ""seq_page_cost"": ""70.57488752909363"", ""shared_buffers"": ""207886"", ""temp_buffers"": ""6916"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""3619"", ""wal_writer_flush_after"": ""1588197033"", ""work_mem"": ""626787""}"
postgresql,promisetune,1,single,10,,,231.08,32.99760627746582,"[20, 50, 1000, 1, 0.5]",12.946006774902344,20.021612405776978,0.0,"{""backend_flush_after"": ""99"", ""bgwriter_delay"": ""3209"", ""bgwriter_flush_after"": ""200"", ""bgwriter_lru_maxpages"": ""238259132"", ""bgwriter_lru_multiplier"": ""7.61696224317614"", ""checkpoint_completion_target"": ""0.5247721982443964"", ""checkpoint_flush_after"": ""226"", ""checkpoint_timeout"": ""53299"", ""commit_delay"": ""73059"", ""commit_siblings"": ""105"", ""deadlock_timeout"": ""1713194844"", ""default_statistics_target"": ""1111"", ""effective_cache_size"": ""63074"", ""effective_io_concurrency"": ""446"", ""from_collapse_limit"": ""1118208842"", ""join_collapse_limit"": ""599790821"", ""maintenance_work_mem"": ""318483"", ""max_parallel_workers"": ""315"", ""max_parallel_workers_per_gather"": ""1023"", ""max_wal_size"": ""4671"", ""max_worker_processes"": ""730"", ""min_wal_size"": ""7093"", ""random_page_cost"": ""52.78104401540661"", ""seq_page_cost"": ""61.28613244366746"", ""shared_buffers"": ""542435"", ""temp_buffers"": ""7449"", ""throughput__2"": """", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""3673"", ""wal_writer_flush_after"": ""2007431411"", ""work_mem"": ""296231""}"
postgresql,promisetune,1,single,11,,,231.84,32.62363266944885,"[20, 50, 1000, 1, 0.5]",12.57389235496521,20.020017862319946,0.0,"{""backend_flush_after"": ""252"", ""bgwriter_delay"": ""3014"", ""bgwriter_flush_after"": ""161"", ""bgwriter_lru_maxpages"": ""331170225"", ""bgwriter_lru_multiplier"": ""9.215609501056948"", ""checkpoint_completion_target"": ""0.408822411427462"", ""checkpoint_flush_after"": ""254"", ""checkpoint_timeout"": ""25098"", ""commit_delay"": ""96695"", ""commit_siblings"": ""367"", ""deadlock_timeout"": ""2021315884"", ""default_statistics_target"": ""876"", ""effective_cache_size"": ""988974"", ""effective_io_concurrency"": ""965"", ""from_collapse_limit"": ""826741596"", ""join_collapse_limit"": ""1679234709"", ""maintenance_work_mem"": ""204074"", ""max_parallel_workers"": ""24"", ""max_parallel_workers_per_gather"": ""857"", ""max_wal_size"": ""3646"", ""max_worker_processes"": ""767"", ""min_wal_size"": ""5890"", ""random_page_cost"": ""7.595027514592578"", ""seq_page_cost"": ""13.752490400483563"", ""shared_buffers"": ""361577"", ""temp_buffers"": ""9195"", ""throughput__2"": """", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""789"", ""wal_writer_flush_after"": ""263452733"", ""work_mem"": ""31417""}"
postgresql,promisetune,1,single,12,,,219.94,36.14348745346069,"[20, 50, 1000, 1, 0.5]",16.093030214309692,20.020642042160034,0.0,"{""backend_flush_after"": ""14"", ""bgwriter_delay"": ""6652"", ""bgwriter_flush_after"": ""7"", ""bgwriter_lru_maxpages"": ""193997668"", ""bgwriter_lru_multiplier"": ""8.35729644850499"", ""checkpoint_completion_target"": ""0.9961588321887228"", ""checkpoint_flush_after"": ""234"", ""checkpoint_timeout"": ""56175"", ""commit_delay"": ""62118"", ""commit_siblings"": ""958"", ""deadlock_timeout"": ""1417622388"", ""default_statistics_target"": ""6228"", ""effective_cache_size"": ""878595"", ""effective_io_concurrency"": ""521"", ""from_collapse_limit"": ""1693168604"", ""join_collapse_limit"": ""951707294"", ""maintenance_work_mem"": ""934594"", ""max_parallel_workers"": ""485"", ""max_parallel_workers_per_gather"": ""42"", ""max_wal_size"": ""3484"", ""max_worker_processes"": ""664"", ""min_wal_size"": ""426"", ""random_page_cost"": ""26.75928772694627"", ""seq_page_cost"": ""1.9083081330787066"", ""shared_buffers"": ""333995"", ""temp_buffers"": ""3296"", ""throughput__2"": """", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""1960"", ""wal_writer_flush_after"": ""2129248718"", ""work_mem"": ""283073""}"
postgresql,promisetune,1,single,13,,,226.14,35.38092374801636,"[20, 50, 1000, 1, 0.5]",15.32563853263855,20.023605823516846,0.0,"{""backend_flush_after"": ""113"", ""bgwriter_delay"": ""210"", ""bgwriter_flush_after"": ""103"", ""bgwriter_lru_maxpages"": ""352076947"", ""bgwriter_lru_multiplier"": ""9.905163892213626"", ""checkpoint_completion_target"": ""0.08259252071644729"", ""checkpoint_flush_after"": ""90"", ""checkpoint_timeout"": ""29531"", ""commit_delay"": ""72927"", ""commit_siblings"": ""104"", ""deadlock_timeout"": ""906694560"", ""default_statistics_target"": ""935"", ""effective_cache_size"": ""637707"", ""effective_io_concurrency"": ""500"", ""from_collapse_limit"": ""1684627422"", ""join_collapse_limit"": ""1027035572"", ""maintenance_work_mem"": ""523209"", ""max_parallel_workers"": ""62"", ""max_parallel_workers_per_gather"": ""36"", ""max_wal_size"": ""3096"", ""max_worker_processes"": ""256"", ""min_wal_size"": ""6383"", ""random_page_cost"": ""46.04301630134147"", ""seq_page_cost"": ""83.78049906915746"", ""shared_buffers"": ""609175"", ""temp_buffers"": ""2761"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""105"", ""wal_writer_flush_after"": ""1082414684"", ""work_mem"": ""313026""}"
