system,method,run_id,variant,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,spl,9601,plain,1,783.18,4.15,195.8,46.956026554107666,"[20, 50, 1000, 1, 0.5]",26.882850646972656,20.03032422065735,0.0,"{""backend_flush_after"": ""217"", ""bgwriter_delay"": ""2836"", ""bgwriter_flush_after"": ""143"", ""bgwriter_lru_maxpages"": ""374289269"", ""bgwriter_lru_multiplier"": ""5.203570495331198"", ""checkpoint_completion_target"": ""0.501899778842926"", ""checkpoint_flush_after"": ""195"", ""checkpoint_timeout"": ""41426"", ""commit_delay"": ""68650"", ""commit_siblings"": ""68"", ""deadlock_timeout"": ""2011520073"", ""default_statistics_target"": ""8667"", ""effective_cache_size"": ""82380"", ""effective_io_concurrency"": ""576"", ""from_collapse_limit"": ""1908685056"", ""join_collapse_limit"": ""1405527753"", ""maintenance_work_mem"": ""209925"", ""max_parallel_workers"": ""182"", ""max_parallel_workers_per_gather"": ""761"", ""max_wal_size"": ""1110"", ""max_worker_processes"": ""364"", ""min_wal_size"": ""1762"", ""random_page_cost"": ""81.23860324769903"", ""seq_page_cost"": ""18.940870229572926"", ""shared_buffers"": ""363178"", ""temp_buffers"": ""2627"", ""throughput__2"": ""195.8"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""4817"", ""wal_writer_flush_after"": ""281318736"", ""work_mem"": ""4137""}"
postgresql,spl,9601,plain,2,872.94,3.79,218.24,42.978005170822144,"[20, 50, 1000, 1, 0.5]",22.920260190963745,20.023626804351807,0.0,"{""backend_flush_after"": ""247"", ""bgwriter_delay"": ""4109"", ""bgwriter_flush_after"": ""198"", ""bgwriter_lru_maxpages"": ""37665661"", ""bgwriter_lru_multiplier"": ""9.879132323917965"", ""checkpoint_completion_target"": ""0.9916332458432381"", ""checkpoint_flush_after"": ""224"", ""checkpoint_timeout"": ""64123"", ""commit_delay"": ""60412"", ""commit_siblings"": ""986"", ""deadlock_timeout"": ""1136088417"", ""default_statistics_target"": ""428"", ""effective_cache_size"": ""577364"", ""effective_io_concurrency"": ""384"", ""from_collapse_limit"": ""240725523"", ""join_collapse_limit"": ""1112093906"", ""maintenance_work_mem"": ""421878"", ""max_parallel_workers"": ""374"", ""max_parallel_workers_per_gather"": ""841"", ""max_wal_size"": ""7363"", ""max_worker_processes"": ""336"", ""min_wal_size"": ""2710"", ""random_page_cost"": ""56.19464592717005"", ""seq_page_cost"": ""37.66325880085779"", ""shared_buffers"": ""368899"", ""temp_buffers"": ""4950"", ""throughput__2"": ""218.24"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""1078"", ""wal_writer_flush_after"": ""1376787274"", ""work_mem"": ""855412""}"
postgresql,spl,9601,plain,3,751.82,4.29,187.96,42.554277658462524,"[20, 50, 1000, 1, 0.5]",22.50522255897522,20.017794132232666,0.0,"{""backend_flush_after"": ""204"", ""bgwriter_delay"": ""899"", ""bgwriter_flush_after"": ""135"", ""bgwriter_lru_maxpages"": ""28833266"", ""bgwriter_lru_multiplier"": ""5.315301606121531"", ""checkpoint_completion_target"": ""0.01930245045201162"", ""checkpoint_flush_after"": ""117"", ""checkpoint_timeout"": ""12275"", ""commit_delay"": ""67624"", ""commit_siblings"": ""47"", ""deadlock_timeout"": ""1692864915"", ""default_statistics_target"": ""3992"", ""effective_cache_size"": ""41631"", ""effective_io_concurrency"": ""198"", ""from_collapse_limit"": ""12257278"", ""join_collapse_limit"": ""443744174"", ""maintenance_work_mem"": ""74092"", ""max_parallel_workers"": ""356"", ""max_parallel_workers_per_gather"": ""387"", ""max_wal_size"": ""302"", ""max_worker_processes"": ""617"", ""min_wal_size"": ""6390"", ""random_page_cost"": ""35.85175536315835"", ""seq_page_cost"": ""29.29574805359661"", ""shared_buffers"": ""268652"", ""temp_buffers"": ""5179"", ""throughput__2"": ""187.96"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""701"", ""wal_writer_flush_after"": ""2040775256"", ""work_mem"": ""579841""}"
postgresql,spl,9601,plain,4,501.81,5.86,125.45,41.61403822898865,"[20, 50, 1000, 1, 0.5]",21.559271335601807,20.021312713623047,0.0,"{""backend_flush_after"": ""159"", ""bgwriter_delay"": ""8929"", ""bgwriter_flush_after"": ""232"", ""bgwriter_lru_maxpages"": ""680834357"", ""bgwriter_lru_multiplier"": ""9.01185039081842"", ""checkpoint_completion_target"": ""0.7066819727631686"", ""checkpoint_flush_after"": ""6"", ""checkpoint_timeout"": ""80834"", ""commit_delay"": ""65987"", ""commit_siblings"": ""201"", ""deadlock_timeout"": ""1059402818"", ""default_statistics_target"": ""9078"", ""effective_cache_size"": ""632957"", ""effective_io_concurrency"": ""829"", ""from_collapse_limit"": ""121300808"", ""join_collapse_limit"": ""1544008676"", ""maintenance_work_mem"": ""556789"", ""max_parallel_workers"": ""848"", ""max_parallel_workers_per_gather"": ""507"", ""max_wal_size"": ""5258"", ""max_worker_processes"": ""988"", ""min_wal_size"": ""356"", ""random_page_cost"": ""92.66838336047309"", ""seq_page_cost"": ""23.193669798958094"", ""shared_buffers"": ""99618"", ""temp_buffers"": ""370"", ""throughput__2"": ""125.45"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""5272"", ""wal_writer_flush_after"": ""915938093"", ""work_mem"": ""121868""}"
postgresql,spl,9601,plain,5,557.85,5.42,139.46,45.70291996002197,"[20, 50, 1000, 1, 0.5]",25.64879608154297,20.022127389907837,0.0,"{""backend_flush_after"": ""69"", ""bgwriter_delay"": ""2767"", ""bgwriter_flush_after"": ""65"", ""bgwriter_lru_maxpages"": ""756711638"", ""bgwriter_lru_multiplier"": ""6.59923585540869"", ""checkpoint_completion_target"": ""0.38570989020154955"", ""checkpoint_flush_after"": ""96"", ""checkpoint_timeout"": ""28061"", ""commit_delay"": ""58605"", ""commit_siblings"": ""880"", ""deadlock_timeout"": ""949999925"", ""default_statistics_target"": ""4649"", ""effective_cache_size"": ""147583"", ""effective_io_concurrency"": ""644"", ""from_collapse_limit"": ""1436789422"", ""join_collapse_limit"": ""1266906596"", ""maintenance_work_mem"": ""844995"", ""max_parallel_workers"": ""751"", ""max_parallel_workers_per_gather"": ""155"", ""max_wal_size"": ""4933"", ""max_worker_processes"": ""244"", ""min_wal_size"": ""400"", ""random_page_cost"": ""92.57600768422269"", ""seq_page_cost"": ""69.76854110348185"", ""shared_buffers"": ""945621"", ""temp_buffers"": ""9392"", ""throughput__2"": ""139.46"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""7038"", ""wal_writer_flush_after"": ""110631207"", ""work_mem"": ""814651""}"
postgresql,spl,9601,plain,6,1090.74,3.14,272.68,35.24929857254028,"[20, 50, 1000, 1, 0.5]",15.19824481010437,20.02226185798645,0.0,"{""backend_flush_after"": ""242"", ""bgwriter_delay"": ""4111"", ""bgwriter_flush_after"": ""27"", ""bgwriter_lru_maxpages"": ""745552758"", ""bgwriter_lru_multiplier"": ""4.602553037190143"", ""checkpoint_completion_target"": ""0.5440270458417751"", ""checkpoint_flush_after"": ""60"", ""checkpoint_timeout"": ""79194"", ""commit_delay"": ""88898"", ""commit_siblings"": ""392"", ""deadlock_timeout"": ""877355329"", ""default_statistics_target"": ""7541"", ""effective_cache_size"": ""14257"", ""effective_io_concurrency"": ""509"", ""from_collapse_limit"": ""1951238166"", ""join_collapse_limit"": ""355364962"", ""maintenance_work_mem"": ""363731"", ""max_parallel_workers"": ""162"", ""max_parallel_workers_per_gather"": ""246"", ""max_wal_size"": ""7822"", ""max_worker_processes"": ""979"", ""min_wal_size"": ""5065"", ""random_page_cost"": ""19.492572487891067"", ""seq_page_cost"": ""50.8166519283096"", ""shared_buffers"": ""757304"", ""temp_buffers"": ""1817"", ""throughput__2"": ""272.68"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""195"", ""wal_writer_flush_after"": ""1470661536"", ""work_mem"": ""6749""}"
postgresql,spl,9601,plain,7,562.74,5.38,140.69,45.56059980392456,"[20, 50, 1000, 1, 0.5]",25.50863265991211,20.02001714706421,0.0,"{""backend_flush_after"": ""142"", ""bgwriter_delay"": ""8737"", ""bgwriter_flush_after"": ""212"", ""bgwriter_lru_maxpages"": ""190523015"", ""bgwriter_lru_multiplier"": ""1.9755222646951565"", ""checkpoint_completion_target"": ""0.25310891875160124"", ""checkpoint_flush_after"": ""111"", ""checkpoint_timeout"": ""13524"", ""commit_delay"": ""49037"", ""commit_siblings"": ""182"", ""deadlock_timeout"": ""998888876"", ""default_statistics_target"": ""6716"", ""effective_cache_size"": ""752456"", ""effective_io_concurrency"": ""660"", ""from_collapse_limit"": ""1484622735"", ""join_collapse_limit"": ""1840211571"", ""maintenance_work_mem"": ""1024"", ""max_parallel_workers"": ""802"", ""max_parallel_workers_per_gather"": ""60"", ""max_wal_size"": ""2302"", ""max_worker_processes"": ""60"", ""min_wal_size"": ""7507"", ""random_page_cost"": ""55.909425002611144"", ""seq_page_cost"": ""100.0"", ""shared_buffers"": ""791610"", ""temp_buffers"": ""6785"", ""throughput__2"": ""140.69"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""3246"", ""wal_writer_flush_after"": ""999027292"", ""work_mem"": ""876938""}"
postgresql,spl,9601,plain,8,677.92,4.66,169.48,49.71849250793457,"[20, 50, 1000, 1, 0.5]",29.665664196014404,20.020151615142822,0.0,"{""backend_flush_after"": ""68"", ""bgwriter_delay"": ""1658"", ""bgwriter_flush_after"": ""236"", ""bgwriter_lru_maxpages"": ""258296076"", ""bgwriter_lru_multiplier"": ""8.450355485964174"", ""checkpoint_completion_target"": ""0.8465450717884676"", ""checkpoint_flush_after"": ""100"", ""checkpoint_timeout"": ""74035"", ""commit_delay"": ""62375"", ""commit_siblings"": ""690"", ""deadlock_timeout"": ""1453445959"", ""default_statistics_target"": ""6046"", ""effective_cache_size"": ""834370"", ""effective_io_concurrency"": ""703"", ""from_collapse_limit"": ""2051146960"", ""join_collapse_limit"": ""522155202"", ""maintenance_work_mem"": ""133058"", ""max_parallel_workers"": ""477"", ""max_parallel_workers_per_gather"": ""959"", ""max_wal_size"": ""1923"", ""max_worker_processes"": ""196"", ""min_wal_size"": ""1612"", ""random_page_cost"": ""50.02755830150508"", ""seq_page_cost"": ""72.07630562159059"", ""shared_buffers"": ""166569"", ""temp_buffers"": ""1990"", ""throughput__2"": ""169.48"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""8071"", ""wal_writer_flush_after"": ""998444974"", ""work_mem"": ""166777""}"
postgresql,spl,9601,plain,9,305.87,8.22,76.47,48.269633293151855,"[20, 50, 1000, 1, 0.5]",28.213425397872925,20.023598432540894,0.0,"{""backend_flush_after"": ""85"", ""bgwriter_delay"": ""8752"", ""bgwriter_flush_after"": ""237"", ""bgwriter_lru_maxpages"": ""54366303"", ""bgwriter_lru_multiplier"": ""9.11825346027609"", ""checkpoint_completion_target"": ""0.544968667779542"", ""checkpoint_flush_after"": ""225"", ""checkpoint_timeout"": ""27624"", ""commit_delay"": ""7383"", ""commit_siblings"": ""883"", ""deadlock_timeout"": ""630558757"", ""default_statistics_target"": ""855"", ""effective_cache_size"": ""937492"", ""effective_io_concurrency"": ""83"", ""from_collapse_limit"": ""1621619546"", ""join_collapse_limit"": ""1937444614"", ""maintenance_work_mem"": ""546980"", ""max_parallel_workers"": ""149"", ""max_parallel_workers_per_gather"": ""611"", ""max_wal_size"": ""5059"", ""max_worker_processes"": ""228"", ""min_wal_size"": ""1228"", ""random_page_cost"": ""75.90534131844665"", ""seq_page_cost"": ""14.73107570794092"", ""shared_buffers"": ""773782"", ""temp_buffers"": ""6863"", ""throughput__2"": ""76.47"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""6073"", ""wal_writer_flush_after"": ""478598224"", ""work_mem"": ""837195""}"
postgresql,spl,9601,plain,10,774.73,4.18,193.68,46.43357849121094,"[20, 50, 1000, 1, 0.5]",26.382073402404785,20.01891040802002,0.0,"{""backend_flush_after"": ""121"", ""bgwriter_delay"": ""3490"", ""bgwriter_flush_after"": ""35"", ""bgwriter_lru_maxpages"": ""829667193"", ""bgwriter_lru_multiplier"": ""6.515672478547531"", ""checkpoint_completion_target"": ""0.41146256801232695"", ""checkpoint_flush_after"": ""121"", ""checkpoint_timeout"": ""28654"", ""commit_delay"": ""11431"", ""commit_siblings"": ""627"", ""deadlock_timeout"": ""753208333"", ""default_statistics_target"": ""262"", ""effective_cache_size"": ""399739"", ""effective_io_concurrency"": ""19"", ""from_collapse_limit"": ""542065"", ""join_collapse_limit"": ""292497286"", ""maintenance_work_mem"": ""488974"", ""max_parallel_workers"": ""272"", ""max_parallel_workers_per_gather"": ""556"", ""max_wal_size"": ""1371"", ""max_worker_processes"": ""416"", ""min_wal_size"": ""6793"", ""random_page_cost"": ""6.020644474471361"", ""seq_page_cost"": ""52.95075301285139"", ""shared_buffers"": ""181487"", ""temp_buffers"": ""6337"", ""throughput__2"": ""193.68"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""3668"", ""wal_writer_flush_after"": ""392062445"", ""work_mem"": ""136059""}"
