system,method,run_id,variant,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
tomcat,bestconfig,3301,single,1,240.485000,-987.575000,240.485000,-994.982219,"[8, 50, 10, False]",-1000.000000,-994.982852,-1000.000000,"{""acceptCount"": ""230"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""4360"", ""connectionTimeout"": ""47909"", ""connectionUploadTimeout"": ""225023"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""107490"", ""keepAliveTimeout"": ""597304"", ""maxConnections"": ""12532"", ""maxHeaderCount"": ""619"", ""maxHttpHeaderSize"": ""62756"", ""maxHttpRequestHeaderSize"": ""19490"", ""maxHttpResponseHeaderSize"": ""56464"", ""maxKeepAliveRequests"": ""2216"", ""maxParameterCount"": ""88064"", ""maxSwallowSize"": ""6439148"", ""maxThreads"": ""369"", ""minSpareThreads"": ""750"", ""processorCache"": ""251"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""113274"", ""throughput__2"": ""240.485000"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bestconfig,3301,single,2,200.545000,-986.630000,200.545000,-994.962944,"[8, 50, 10, False]",-1000.000000,-994.962982,-1000.000000,"{""acceptCount"": ""95"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""8494"", ""connectionTimeout"": ""216290"", ""connectionUploadTimeout"": ""467843"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""383967"", ""keepAliveTimeout"": ""229818"", ""maxConnections"": ""6036"", ""maxHeaderCount"": ""989"", ""maxHttpHeaderSize"": ""6980"", ""maxHttpRequestHeaderSize"": ""33621"", ""maxHttpResponseHeaderSize"": ""46313"", ""maxKeepAliveRequests"": ""4799"", ""maxParameterCount"": ""63251"", ""maxSwallowSize"": ""14122244"", ""maxThreads"": ""50"", ""minSpareThreads"": ""979"", ""processorCache"": ""148"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""3"", ""threadsMaxIdleTime"": ""234485"", ""throughput__2"": ""200.545000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bestconfig,3301,single,3,222.455000,-989.390000,222.455000,-994.951421,"[8, 50, 10, False]",-1000.000000,-994.951459,-1000.000000,"{""acceptCount"": ""965"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""6133"", ""connectionTimeout"": ""86892"", ""connectionUploadTimeout"": ""383220"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""206859"", ""keepAliveTimeout"": ""215354"", ""maxConnections"": ""19172"", ""maxHeaderCount"": ""283"", ""maxHttpHeaderSize"": ""23289"", ""maxHttpRequestHeaderSize"": ""44664"", ""maxHttpResponseHeaderSize"": ""58513"", ""maxKeepAliveRequests"": ""3473"", ""maxParameterCount"": ""23744"", ""maxSwallowSize"": ""8107738"", ""maxThreads"": ""301"", ""minSpareThreads"": ""117"", ""processorCache"": ""244"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""3"", ""threadsMaxIdleTime"": ""71709"", ""throughput__2"": ""222.455000"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bestconfig,3301,single,4,227.105000,-987.080000,227.105000,-994.968991,"[8, 50, 10, False]",-1000.000000,-994.969030,-1000.000000,"{""acceptCount"": ""767"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""330"", ""connectionTimeout"": ""590036"", ""connectionUploadTimeout"": ""572654"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""286536"", ""keepAliveTimeout"": ""329686"", ""maxConnections"": ""11231"", ""maxHeaderCount"": ""495"", ""maxHttpHeaderSize"": ""10218"", ""maxHttpRequestHeaderSize"": ""59284"", ""maxHttpResponseHeaderSize"": ""35600"", ""maxKeepAliveRequests"": ""1151"", ""maxParameterCount"": ""54338"", ""maxSwallowSize"": ""18670725"", ""maxThreads"": ""178"", ""minSpareThreads"": ""539"", ""processorCache"": ""96"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""8"", ""threadsMaxIdleTime"": ""357771"", ""throughput__2"": ""227.105000"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bestconfig,3301,single,5,202.635000,-989.380000,202.635000,-994.971128,"[8, 50, 10, False]",-1000.000000,-994.971166,-1000.000000,"{""acceptCount"": ""516"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""2489"", ""connectionTimeout"": ""268947"", ""connectionUploadTimeout"": ""288584"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""515285"", ""keepAliveTimeout"": ""383060"", ""maxConnections"": ""8758"", ""maxHeaderCount"": ""833"", ""maxHttpHeaderSize"": ""36131"", ""maxHttpRequestHeaderSize"": ""7353"", ""maxHttpResponseHeaderSize"": ""28963"", ""maxKeepAliveRequests"": ""2652"", ""maxParameterCount"": ""81281"", ""maxSwallowSize"": ""11369652"", ""maxThreads"": ""143"", ""minSpareThreads"": ""310"", ""processorCache"": ""368"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""185273"", ""throughput__2"": ""202.635000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bestconfig,3301,single,6,230.680000,-987.565000,230.680000,-994.963182,"[8, 50, 10, False]",-1000.000000,-994.963221,-1000.000000,"{""acceptCount"": ""404"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""3835"", ""connectionTimeout"": ""406873"", ""connectionUploadTimeout"": ""115167"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""595454"", ""keepAliveTimeout"": ""450973"", ""maxConnections"": ""2180"", ""maxHeaderCount"": ""693"", ""maxHttpHeaderSize"": ""29754"", ""maxHttpRequestHeaderSize"": ""12406"", ""maxHttpResponseHeaderSize"": ""23061"", ""maxKeepAliveRequests"": ""3853"", ""maxParameterCount"": ""3881"", ""maxSwallowSize"": ""3208999"", ""maxThreads"": ""236"", ""minSpareThreads"": ""476"", ""processorCache"": ""16"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""1"", ""threadsMaxIdleTime"": ""595567"", ""throughput__2"": ""230.680000"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bestconfig,3301,single,7,155.935000,-988.870000,155.935000,-994.969131,"[8, 50, 10, False]",-1000.000000,-994.969169,-1000.000000,"{""acceptCount"": ""367"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""6494"", ""connectionTimeout"": ""300821"", ""connectionUploadTimeout"": ""352825"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""305780"", ""keepAliveTimeout"": ""116019"", ""maxConnections"": ""4932"", ""maxHeaderCount"": ""153"", ""maxHttpHeaderSize"": ""55763"", ""maxHttpRequestHeaderSize"": ""50181"", ""maxHttpResponseHeaderSize"": ""14831"", ""maxKeepAliveRequests"": ""579"", ""maxParameterCount"": ""28603"", ""maxSwallowSize"": ""16284414"", ""maxThreads"": ""276"", ""minSpareThreads"": ""189"", ""processorCache"": ""175"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""10"", ""threadsMaxIdleTime"": ""479301"", ""throughput__2"": ""155.935000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bestconfig,3301,single,8,154.625000,-989.010000,154.625000,-994.969937,"[8, 50, 10, False]",-1000.000000,-994.969977,-1000.000000,"{""acceptCount"": ""681"", ""allowBackslash"": ""FALSE"", ""compression"": ""off"", ""compressionMinSize"": ""10159"", ""connectionTimeout"": ""488139"", ""connectionUploadTimeout"": ""14462"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""34600"", ""keepAliveTimeout"": ""44461"", ""maxConnections"": ""15722"", ""maxHeaderCount"": ""27"", ""maxHttpHeaderSize"": ""48210"", ""maxHttpRequestHeaderSize"": ""26027"", ""maxHttpResponseHeaderSize"": ""1536"", ""maxKeepAliveRequests"": ""1711"", ""maxParameterCount"": ""48194"", ""maxSwallowSize"": ""426156"", ""maxThreads"": ""97"", ""minSpareThreads"": ""742"", ""processorCache"": ""328"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""8"", ""threadsMaxIdleTime"": ""379472"", ""throughput__2"": ""154.625000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bestconfig,3301,single,9,168.590000,-986.700000,168.590000,-994.966878,"[8, 50, 10, False]",-1000.000000,-994.966917,-1000.000000,"{""acceptCount"": ""152"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""5497"", ""connectionTimeout"": ""48191"", ""connectionUploadTimeout"": ""132183"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""151838"", ""keepAliveTimeout"": ""471282"", ""maxConnections"": ""13660"", ""maxHeaderCount"": ""515"", ""maxHttpHeaderSize"": ""56755"", ""maxHttpRequestHeaderSize"": ""13017"", ""maxHttpResponseHeaderSize"": ""52134"", ""maxKeepAliveRequests"": ""2098"", ""maxParameterCount"": ""85835"", ""maxSwallowSize"": ""4952033"", ""maxThreads"": ""333"", ""minSpareThreads"": ""761"", ""processorCache"": ""304"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""7"", ""threadsMaxIdleTime"": ""91278"", ""throughput__2"": ""168.590000"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bestconfig,3301,single,10,159.425000,-989.000000,159.425000,-994.969270,"[8, 50, 10, False]",-1000.000000,-994.969309,-1000.000000,"{""acceptCount"": ""349"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""4233"", ""connectionTimeout"": ""66079"", ""connectionUploadTimeout"": ""166445"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""139335"", ""keepAliveTimeout"": ""595726"", ""maxConnections"": ""15099"", ""maxHeaderCount"": ""578"", ""maxHttpHeaderSize"": ""56404"", ""maxHttpRequestHeaderSize"": ""23531"", ""maxHttpResponseHeaderSize"": ""53381"", ""maxKeepAliveRequests"": ""2496"", ""maxParameterCount"": ""86881"", ""maxSwallowSize"": ""5120276"", ""maxThreads"": ""303"", ""minSpareThreads"": ""843"", ""processorCache"": ""311"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""146377"", ""throughput__2"": ""159.425000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
