system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,1,322.58,98.72,325.22,30.528581857681274,"[12, 16, 20000, 32, 0.5]",18.30074691772461,12.155694961547852,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,2,321.87,99.01,324.51,20.854433059692383,"[12, 16, 20000, 32, 0.5]",8.688237190246582,12.138792753219604,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,3,320.87,99.28,323.52,21.417062044143677,"[12, 16, 20000, 32, 0.5]",9.254317998886108,12.141431331634521,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,4,109.71,289.16,112.33,20.436456203460693,"[12, 16, 20000, 32, 0.5]",7.796705484390259,12.218571901321411,0.0,"{""binlog_cache_size"": ""3910892544"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""21"", ""innodb_adaptive_max_sleep_delay"": ""155729"", ""innodb_buffer_pool_instances"": ""14"", ""innodb_buffer_pool_size"": ""3609144320"", ""innodb_change_buffer_max_size"": ""7"", ""innodb_change_buffering"": ""inserts"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""15753"", ""innodb_io_capacity_max"": ""6963"", ""innodb_log_write_ahead_size"": ""9526"", ""innodb_lru_scan_depth"": ""10110"", ""innodb_max_dirty_pages_pct_lwm"": ""72"", ""innodb_purge_batch_size"": ""3379"", ""innodb_purge_rseg_truncate_frequency"": ""25"", ""innodb_stats_transient_sample_pages"": ""87"", ""innodb_thread_concurrency"": ""726"", ""join_buffer_size"": ""384199936"", ""key_cache_age_threshold"": ""7408"", ""max_allowed_packet"": ""610532416"", ""max_connections"": ""8406"", ""max_heap_table_size"": ""467252896"", ""max_prepared_stmt_count"": ""510534"", ""max_sort_length"": ""156235"", ""query_cache_limit"": ""27030308"", ""query_prealloc_size"": ""50343332"", ""sort_buffer_size"": ""45040708"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""39545140"", ""transaction_alloc_block_size"": ""19517""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,5,112.42,282.3,115.04,25.09929060935974,"[12, 16, 20000, 32, 0.5]",12.80846881866455,12.260146141052246,0.0,"{""binlog_cache_size"": ""162109680"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""66"", ""innodb_adaptive_max_sleep_delay"": ""703442"", ""innodb_buffer_pool_instances"": ""5"", ""innodb_buffer_pool_size"": ""11828853760"", ""innodb_change_buffer_max_size"": ""23"", ""innodb_change_buffering"": ""none"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""2806"", ""innodb_io_capacity_max"": ""4234"", ""innodb_log_write_ahead_size"": ""7484"", ""innodb_lru_scan_depth"": ""7079"", ""innodb_max_dirty_pages_pct_lwm"": ""10"", ""innodb_purge_batch_size"": ""776"", ""innodb_purge_rseg_truncate_frequency"": ""75"", ""innodb_stats_transient_sample_pages"": ""16"", ""innodb_thread_concurrency"": ""474"", ""join_buffer_size"": ""324963872"", ""key_cache_age_threshold"": ""16087"", ""max_allowed_packet"": ""715100288"", ""max_connections"": ""1233"", ""max_heap_table_size"": ""375090144"", ""max_prepared_stmt_count"": ""896999"", ""max_sort_length"": ""148274"", ""query_cache_limit"": ""133795912"", ""query_prealloc_size"": ""115000616"", ""sort_buffer_size"": ""47209892"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""803439488"", ""transaction_alloc_block_size"": ""99713""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,6,85.33,371.03,87.92,12.766894817352295,"[12, 16, 20000, 32, 0.5]",0.3271028995513916,12.40682077407837,0.0,"{""binlog_cache_size"": ""3096725248"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""65"", ""innodb_adaptive_max_sleep_delay"": ""281789"", ""innodb_buffer_pool_instances"": ""38"", ""innodb_buffer_pool_size"": ""6026804736"", ""innodb_change_buffer_max_size"": ""6"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""14710"", ""innodb_io_capacity_max"": ""30234"", ""innodb_log_write_ahead_size"": ""12389"", ""innodb_lru_scan_depth"": ""9508"", ""innodb_max_dirty_pages_pct_lwm"": ""71"", ""innodb_purge_batch_size"": ""2923"", ""innodb_purge_rseg_truncate_frequency"": ""66"", ""innodb_stats_transient_sample_pages"": ""82"", ""innodb_thread_concurrency"": ""712"", ""join_buffer_size"": ""668615808"", ""key_cache_age_threshold"": ""28386"", ""max_allowed_packet"": ""953482880"", ""max_connections"": ""44214"", ""max_heap_table_size"": ""896355648"", ""max_prepared_stmt_count"": ""666804"", ""max_sort_length"": ""211528"", ""query_cache_limit"": ""69919880"", ""query_prealloc_size"": ""47356308"", ""sort_buffer_size"": ""53643592"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""961971072"", ""transaction_alloc_block_size"": ""102100""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,7,275.14,115.8,277.78,12.480156898498535,"[12, 16, 20000, 32, 0.5]",0.30532026290893555,12.155205011367798,0.0,"{""binlog_cache_size"": ""993429376"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""3"", ""innodb_adaptive_max_sleep_delay"": ""564307"", ""innodb_buffer_pool_instances"": ""18"", ""innodb_buffer_pool_size"": ""7800419328"", ""innodb_change_buffer_max_size"": ""7"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""4803"", ""innodb_io_capacity_max"": ""22260"", ""innodb_log_write_ahead_size"": ""1414"", ""innodb_lru_scan_depth"": ""9108"", ""innodb_max_dirty_pages_pct_lwm"": ""55"", ""innodb_purge_batch_size"": ""3526"", ""innodb_purge_rseg_truncate_frequency"": ""61"", ""innodb_stats_transient_sample_pages"": ""49"", ""innodb_thread_concurrency"": ""686"", ""join_buffer_size"": ""86359624"", ""key_cache_age_threshold"": ""22287"", ""max_allowed_packet"": ""730726464"", ""max_connections"": ""81498"", ""max_heap_table_size"": ""497304032"", ""max_prepared_stmt_count"": ""984124"", ""max_sort_length"": ""9869"", ""query_cache_limit"": ""104027152"", ""query_prealloc_size"": ""1834037"", ""sort_buffer_size"": ""109290256"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""178458656"", ""transaction_alloc_block_size"": ""59516""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,8,72.18,438.23,74.75,13.11336064338684,"[12, 16, 20000, 32, 0.5]",0.6447029113769531,12.434611320495605,0.0,"{""binlog_cache_size"": ""2860385792"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""2"", ""innodb_adaptive_max_sleep_delay"": ""159110"", ""innodb_buffer_pool_instances"": ""63"", ""innodb_buffer_pool_size"": ""14413125632"", ""innodb_change_buffer_max_size"": ""46"", ""innodb_change_buffering"": ""inserts"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""5560"", ""innodb_io_capacity_max"": ""22853"", ""innodb_log_write_ahead_size"": ""7632"", ""innodb_lru_scan_depth"": ""5049"", ""innodb_max_dirty_pages_pct_lwm"": ""63"", ""innodb_purge_batch_size"": ""461"", ""innodb_purge_rseg_truncate_frequency"": ""115"", ""innodb_stats_transient_sample_pages"": ""59"", ""innodb_thread_concurrency"": ""747"", ""join_buffer_size"": ""412901984"", ""key_cache_age_threshold"": ""339"", ""max_allowed_packet"": ""839480320"", ""max_connections"": ""48254"", ""max_heap_table_size"": ""129543096"", ""max_prepared_stmt_count"": ""902006"", ""max_sort_length"": ""255027"", ""query_cache_limit"": ""96322040"", ""query_prealloc_size"": ""123768168"", ""sort_buffer_size"": ""113240904"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""554926016"", ""transaction_alloc_block_size"": ""98310""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,9,125.51,253.38,128.12,26.27882480621338,"[12, 16, 20000, 32, 0.5]",13.968767166137695,12.282076835632324,0.0,"{""binlog_cache_size"": ""2369083392"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""5"", ""innodb_adaptive_max_sleep_delay"": ""245675"", ""innodb_buffer_pool_instances"": ""43"", ""innodb_buffer_pool_size"": ""6557344768"", ""innodb_change_buffer_max_size"": ""12"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""9466"", ""innodb_io_capacity_max"": ""1351"", ""innodb_log_write_ahead_size"": ""8204"", ""innodb_lru_scan_depth"": ""9661"", ""innodb_max_dirty_pages_pct_lwm"": ""31"", ""innodb_purge_batch_size"": ""4629"", ""innodb_purge_rseg_truncate_frequency"": ""104"", ""innodb_stats_transient_sample_pages"": ""53"", ""innodb_thread_concurrency"": ""87"", ""join_buffer_size"": ""2114314"", ""key_cache_age_threshold"": ""26154"", ""max_allowed_packet"": ""514504320"", ""max_connections"": ""6146"", ""max_heap_table_size"": ""414516992"", ""max_prepared_stmt_count"": ""30325"", ""max_sort_length"": ""131205"", ""query_cache_limit"": ""17496222"", ""query_prealloc_size"": ""137588"", ""sort_buffer_size"": ""81597280"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""736072256"", ""transaction_alloc_block_size"": ""92109""}"
mysql,lf01_hard01,"lambda_f=0.1, hard=0.1",14011,RQ3,10,96.27,329.34,98.86,19.83086633682251,"[12, 16, 20000, 32, 0.5]",7.437166690826416,12.363572835922241,0.0,"{""binlog_cache_size"": ""4226889984"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""46"", ""innodb_adaptive_max_sleep_delay"": ""278412"", ""innodb_buffer_pool_instances"": ""24"", ""innodb_buffer_pool_size"": ""11012537344"", ""innodb_change_buffer_max_size"": ""41"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""4186"", ""innodb_io_capacity_max"": ""19526"", ""innodb_log_write_ahead_size"": ""6226"", ""innodb_lru_scan_depth"": ""4447"", ""innodb_max_dirty_pages_pct_lwm"": ""67"", ""innodb_purge_batch_size"": ""915"", ""innodb_purge_rseg_truncate_frequency"": ""44"", ""innodb_stats_transient_sample_pages"": ""61"", ""innodb_thread_concurrency"": ""691"", ""join_buffer_size"": ""698370816"", ""key_cache_age_threshold"": ""24242"", ""max_allowed_packet"": ""784233792"", ""max_connections"": ""12190"", ""max_heap_table_size"": ""688699968"", ""max_prepared_stmt_count"": ""9604"", ""max_sort_length"": ""179262"", ""query_cache_limit"": ""742997"", ""query_prealloc_size"": ""112336096"", ""sort_buffer_size"": ""120770024"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""438214208"", ""transaction_alloc_block_size"": ""48302""}"
