system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,1,172.4,5.79,689.6,46.077691078186035,"[20, 50, 1000, 1, 0.5]",26.01054835319519,20.02428364753723,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,2,171.72,5.82,686.87,46.1926486492157,"[20, 50, 1000, 1, 0.5]",26.130191564559937,20.028225421905518,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""1024""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,3,170.55,5.86,682.22,46.24070858955383,"[20, 50, 1000, 1, 0.5]",26.178761959075928,20.02957320213318,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""100000"", ""commit_siblings"": ""1"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,4,172.07,5.8,688.28,46.50411248207092,"[20, 50, 1000, 1, 0.5]",26.447824716567993,20.024381160736084,0.0,"{""backend_flush_after"": ""176"", ""bgwriter_delay"": ""2083"", ""bgwriter_flush_after"": ""50"", ""bgwriter_lru_maxpages"": ""415355776"", ""bgwriter_lru_multiplier"": ""1.052564263343811"", ""checkpoint_completion_target"": ""0.41833990812301636"", ""checkpoint_flush_after"": ""51"", ""checkpoint_timeout"": ""3831"", ""commit_delay"": ""73443"", ""commit_siblings"": ""29"", ""deadlock_timeout"": ""256490480"", ""default_statistics_target"": ""1416"", ""effective_cache_size"": ""518594"", ""effective_io_concurrency"": ""309"", ""from_collapse_limit"": ""718023616"", ""join_collapse_limit"": ""418288256"", ""maintenance_work_mem"": ""672578"", ""max_parallel_workers"": ""873"", ""max_parallel_workers_per_gather"": ""773"", ""max_wal_size"": ""5589"", ""max_worker_processes"": ""160"", ""min_wal_size"": ""1481"", ""random_page_cost"": ""61.17609786987305"", ""seq_page_cost"": ""0.9324050545692444"", ""shared_buffers"": ""73678"", ""temp_buffers"": ""3428"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""9436"", ""wal_writer_flush_after"": ""922717760"", ""work_mem"": ""427435""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,5,173.67,5.75,694.67,45.9167046546936,"[20, 50, 1000, 1, 0.5]",25.860867738723755,20.022865533828735,0.0,"{""backend_flush_after"": ""254"", ""bgwriter_delay"": ""3336"", ""bgwriter_flush_after"": ""249"", ""bgwriter_lru_maxpages"": ""786177536"", ""bgwriter_lru_multiplier"": ""7.996476173400879"", ""checkpoint_completion_target"": ""0.45229557156562805"", ""checkpoint_flush_after"": ""45"", ""checkpoint_timeout"": ""81290"", ""commit_delay"": ""46047"", ""commit_siblings"": ""240"", ""deadlock_timeout"": ""200129024"", ""default_statistics_target"": ""7175"", ""effective_cache_size"": ""236470"", ""effective_io_concurrency"": ""483"", ""from_collapse_limit"": ""775186560"", ""join_collapse_limit"": ""1744045056"", ""maintenance_work_mem"": ""871548"", ""max_parallel_workers"": ""922"", ""max_parallel_workers_per_gather"": ""162"", ""max_wal_size"": ""3596"", ""max_worker_processes"": ""618"", ""min_wal_size"": ""3211"", ""random_page_cost"": ""95.40913391113281"", ""seq_page_cost"": ""48.533084869384766"", ""shared_buffers"": ""241837"", ""temp_buffers"": ""6015"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""1447"", ""wal_writer_flush_after"": ""1935404288"", ""work_mem"": ""673450""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,6,327.15,3.05,1308.59,38.349310874938965,"[20, 50, 1000, 1, 0.5]",18.28330135345459,20.02456307411194,0.0,"{""backend_flush_after"": ""215"", ""bgwriter_delay"": ""9151"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""930395008"", ""bgwriter_lru_multiplier"": ""2.226109743118286"", ""checkpoint_completion_target"": ""0.40174493193626404"", ""checkpoint_flush_after"": ""81"", ""checkpoint_timeout"": ""38146"", ""commit_delay"": ""91317"", ""commit_siblings"": ""43"", ""deadlock_timeout"": ""2039236096"", ""default_statistics_target"": ""137"", ""effective_cache_size"": ""998099"", ""effective_io_concurrency"": ""436"", ""from_collapse_limit"": ""552433472"", ""join_collapse_limit"": ""1095658624"", ""maintenance_work_mem"": ""219554"", ""max_parallel_workers"": ""1008"", ""max_parallel_workers_per_gather"": ""79"", ""max_wal_size"": ""253"", ""max_worker_processes"": ""320"", ""min_wal_size"": ""861"", ""random_page_cost"": ""39.73563766479492"", ""seq_page_cost"": ""65.79183959960938"", ""shared_buffers"": ""261420"", ""temp_buffers"": ""1845"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""4574"", ""wal_writer_flush_after"": ""2051797376"", ""work_mem"": ""750692""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,7,327.94,3.04,1311.74,35.19717860221863,"[20, 50, 1000, 1, 0.5]",15.145081520080566,20.0214741230011,0.0,"{""backend_flush_after"": ""133"", ""bgwriter_delay"": ""5400"", ""bgwriter_flush_after"": ""247"", ""bgwriter_lru_maxpages"": ""23690736"", ""bgwriter_lru_multiplier"": ""9.325357437133789"", ""checkpoint_completion_target"": ""0.49232804775238037"", ""checkpoint_flush_after"": ""79"", ""checkpoint_timeout"": ""47062"", ""commit_delay"": ""12560"", ""commit_siblings"": ""192"", ""deadlock_timeout"": ""2099790848"", ""default_statistics_target"": ""5661"", ""effective_cache_size"": ""280408"", ""effective_io_concurrency"": ""356"", ""from_collapse_limit"": ""605369344"", ""join_collapse_limit"": ""1045757184"", ""maintenance_work_mem"": ""293892"", ""max_parallel_workers"": ""799"", ""max_parallel_workers_per_gather"": ""1002"", ""max_wal_size"": ""6307"", ""max_worker_processes"": ""970"", ""min_wal_size"": ""2582"", ""random_page_cost"": ""5.11806583404541"", ""seq_page_cost"": ""83.66850280761719"", ""shared_buffers"": ""86544"", ""temp_buffers"": ""8912"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""6314"", ""wal_writer_flush_after"": ""1072665152"", ""work_mem"": ""4464""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,8,330.26,3.02,1321.04,32.1347177028656,"[20, 50, 1000, 1, 0.5]",12.086012363433838,20.019365549087524,0.0,"{""backend_flush_after"": ""237"", ""bgwriter_delay"": ""8065"", ""bgwriter_flush_after"": ""104"", ""bgwriter_lru_maxpages"": ""692805312"", ""bgwriter_lru_multiplier"": ""6.765773773193359"", ""checkpoint_completion_target"": ""0.423009991645813"", ""checkpoint_flush_after"": ""139"", ""checkpoint_timeout"": ""31042"", ""commit_delay"": ""97078"", ""commit_siblings"": ""91"", ""deadlock_timeout"": ""1243980928"", ""default_statistics_target"": ""5864"", ""effective_cache_size"": ""551884"", ""effective_io_concurrency"": ""641"", ""from_collapse_limit"": ""1891616768"", ""join_collapse_limit"": ""2076810112"", ""maintenance_work_mem"": ""359471"", ""max_parallel_workers"": ""917"", ""max_parallel_workers_per_gather"": ""355"", ""max_wal_size"": ""6487"", ""max_worker_processes"": ""287"", ""min_wal_size"": ""4728"", ""random_page_cost"": ""19.262710571289062"", ""seq_page_cost"": ""15.258810043334961"", ""shared_buffers"": ""711579"", ""temp_buffers"": ""5949"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""1023"", ""wal_writer_flush_after"": ""531918400"", ""work_mem"": ""314360""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,9,328.38,3.04,1313.52,35.18778157234192,"[20, 50, 1000, 1, 0.5]",15.134202480316162,20.024922132492065,0.0,"{""backend_flush_after"": ""191"", ""bgwriter_delay"": ""6812"", ""bgwriter_flush_after"": ""175"", ""bgwriter_lru_maxpages"": ""525766752"", ""bgwriter_lru_multiplier"": ""4.8223185539245605"", ""checkpoint_completion_target"": ""0.4554990828037262"", ""checkpoint_flush_after"": ""149"", ""checkpoint_timeout"": ""54166"", ""commit_delay"": ""19298"", ""commit_siblings"": ""177"", ""deadlock_timeout"": ""1317119616"", ""default_statistics_target"": ""217"", ""effective_cache_size"": ""207086"", ""effective_io_concurrency"": ""565"", ""from_collapse_limit"": ""1950845824"", ""join_collapse_limit"": ""80939728"", ""maintenance_work_mem"": ""160377"", ""max_parallel_workers"": ""868"", ""max_parallel_workers_per_gather"": ""708"", ""max_wal_size"": ""448"", ""max_worker_processes"": ""1003"", ""min_wal_size"": ""6959"", ""random_page_cost"": ""35.1364631652832"", ""seq_page_cost"": ""34.88412094116211"", ""shared_buffers"": ""554131"", ""temp_buffers"": ""3572"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""8072"", ""wal_writer_flush_after"": ""1511001472"", ""work_mem"": ""568310""}"
postgresql,lf05_hard07,"lambda_f=0.5, hard=0.7",1,RQ1&2parrel,10,324.74,3.07,1298.98,35.207942962646484,"[20, 50, 1000, 1, 0.5]",15.158575773239136,20.01938509941101,0.0,"{""backend_flush_after"": ""148"", ""bgwriter_delay"": ""686"", ""bgwriter_flush_after"": ""106"", ""bgwriter_lru_maxpages"": ""117325536"", ""bgwriter_lru_multiplier"": ""5.594969272613525"", ""checkpoint_completion_target"": ""0.3810264766216278"", ""checkpoint_flush_after"": ""233"", ""checkpoint_timeout"": ""10941"", ""commit_delay"": ""67681"", ""commit_siblings"": ""105"", ""deadlock_timeout"": ""1021335936"", ""default_statistics_target"": ""6928"", ""effective_cache_size"": ""961087"", ""effective_io_concurrency"": ""518"", ""from_collapse_limit"": ""2057213056"", ""join_collapse_limit"": ""577332672"", ""maintenance_work_mem"": ""811763"", ""max_parallel_workers"": ""786"", ""max_parallel_workers_per_gather"": ""553"", ""max_wal_size"": ""3667"", ""max_worker_processes"": ""191"", ""min_wal_size"": ""5106"", ""random_page_cost"": ""78.30426025390625"", ""seq_page_cost"": ""55.12444305419922"", ""shared_buffers"": ""538940"", ""temp_buffers"": ""9229"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""6199"", ""wal_writer_flush_after"": ""1392513280"", ""work_mem"": ""989064""}"
