system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
httpd,without_impact,without impact,9981,RQ4,1,34323.21,1.61,34323.21,30.008049726486206,"[8, 50, 30, True]",0.0,30.007580995559692,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,2,35161.55,1.51,35161.55,30.103159427642822,"[8, 50, 30, True]",0.0,30.103089332580566,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""9999"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,3,33043.58,1.6,33043.58,30.007704496383667,"[8, 50, 30, True]",0.0,30.007572412490845,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""5050"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,4,34831.54,1.52,34831.54,30.009257078170776,"[8, 50, 30, True]",0.0,30.009191274642944,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""5000"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,5,33613.65,1.6,33613.65,30.10413932800293,"[8, 50, 30, True]",0.0,30.10405993461609,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,6,31964.47,1.68,31964.47,30.008280515670776,"[8, 50, 30, True]",0.0,30.0081889629364,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""4095"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,7,11459.37,5.04,11459.37,30.024680137634277,"[8, 50, 30, True]",0.0,30.02460265159607,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""1"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,8,895.86,69.19,895.86,30.04032826423645,"[8, 50, 30, True]",0.0,30.040235996246338,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,9,33809.72,1.59,33809.72,30.103235721588135,"[8, 50, 30, True]",0.0,30.103140830993652,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""0"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,10,33445.37,1.59,33445.37,30.010279655456543,"[8, 50, 30, True]",0.0,30.010181665420532,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,11,32846.72,1.61,32846.72,30.00794553756714,"[8, 50, 30, True]",0.0,30.007845878601074,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""4095"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,12,12632.97,4.49,12632.97,30.026589155197144,"[8, 50, 30, True]",0.0,30.02650022506714,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""1"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,13,8706.51,7.41,8706.51,30.02837586402893,"[8, 50, 30, True]",0.0,30.02828574180603,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""664"", ""FlushMaxThreshold"": ""60447176"", ""ForceType"": ""None"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""2165"", ""LimitInternalRecursion"": ""756"", ""LimitRequestBody"": ""1651325568"", ""LimitRequestFieldSize"": ""38766"", ""LimitRequestFields"": ""6678"", ""LimitRequestLine"": ""4811"", ""LimitXMLRequestBody"": ""818827520"", ""MaxKeepAliveRequests"": ""7779"", ""MaxRangeOverlaps"": ""434"", ""MaxRangeReversals"": ""555"", ""MaxRanges"": ""1859"", ""RLimitCPU"": ""803637056"", ""RLimitMEM"": ""4590483311075262464"", ""RLimitNPROC"": ""57176"", ""ReadBufferSize"": ""482587712"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""3495"", ""TraceEnable"": ""on""}"
httpd,without_impact,without impact,9981,RQ4,14,13571.4,4.85,13571.4,30.025758266448975,"[8, 50, 30, True]",0.0,30.025668144226074,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""484"", ""FlushMaxThreshold"": ""887035584"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""1692"", ""LimitInternalRecursion"": ""940"", ""LimitRequestBody"": ""376336128"", ""LimitRequestFieldSize"": ""39779"", ""LimitRequestFields"": ""9226"", ""LimitRequestLine"": ""29219"", ""LimitXMLRequestBody"": ""363240064"", ""MaxKeepAliveRequests"": ""1229"", ""MaxRangeOverlaps"": ""968"", ""MaxRangeReversals"": ""74"", ""MaxRanges"": ""541"", ""RLimitCPU"": ""2050137728"", ""RLimitMEM"": ""6229997259967168512"", ""RLimitNPROC"": ""33666"", ""ReadBufferSize"": ""286547552"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""3207"", ""TraceEnable"": ""extended""}"
