system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
mysql,without_reliability,without reliability,9891,RQ4,1,307.85,103.41,310.48,41.207669496536255,"[12, 16, 20000, 32, 0.5]",28.976429224014282,12.196517705917358,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,without_reliability,without reliability,9891,RQ4,2,329.81,96.58,332.45,23.774483919143677,"[12, 16, 20000, 32, 0.5]",11.441683769226074,12.126895427703857,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,without_reliability,without reliability,9891,RQ4,3,326.5,97.65,329.14,22.482407331466675,"[12, 16, 20000, 32, 0.5]",10.328583002090454,12.132232427597046,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,without_reliability,without reliability,9891,RQ4,4,141.58,224.49,144.2,34.57236862182617,"[12, 16, 20000, 32, 0.5]",22.32319664955139,12.222996234893799,0.0,"{""binlog_cache_size"": ""602033984"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""3"", ""innodb_adaptive_max_sleep_delay"": ""709621"", ""innodb_buffer_pool_instances"": ""35"", ""innodb_buffer_pool_size"": ""4597713408"", ""innodb_change_buffer_max_size"": ""12"", ""innodb_change_buffering"": ""deletes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""19399"", ""innodb_io_capacity_max"": ""824"", ""innodb_log_write_ahead_size"": ""1304"", ""innodb_lru_scan_depth"": ""8046"", ""innodb_max_dirty_pages_pct_lwm"": ""43"", ""innodb_purge_batch_size"": ""2897"", ""innodb_purge_rseg_truncate_frequency"": ""7"", ""innodb_stats_transient_sample_pages"": ""85"", ""innodb_thread_concurrency"": ""226"", ""join_buffer_size"": ""72140176"", ""key_cache_age_threshold"": ""2002"", ""max_allowed_packet"": ""157342528"", ""max_connections"": ""10401"", ""max_heap_table_size"": ""427996960"", ""max_prepared_stmt_count"": ""642800"", ""max_sort_length"": ""103674"", ""query_cache_limit"": ""72258496"", ""query_prealloc_size"": ""127846352"", ""sort_buffer_size"": ""105104656"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""349171776"", ""transaction_alloc_block_size"": ""108432""}"
mysql,without_reliability,without reliability,9891,RQ4,5,1.12,28046.35,1.64,85.67258095741272,"[12, 16, 20000, 32, 0.5]",24.6738703250885,60.97414207458496,0.0,"{""binlog_cache_size"": ""3633204736"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""45"", ""innodb_adaptive_max_sleep_delay"": ""183302"", ""innodb_buffer_pool_instances"": ""31"", ""innodb_buffer_pool_size"": ""5054580736"", ""innodb_change_buffer_max_size"": ""5"", ""innodb_change_buffering"": ""inserts"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""8074"", ""innodb_io_capacity_max"": ""15615"", ""innodb_log_write_ahead_size"": ""10388"", ""innodb_lru_scan_depth"": ""7856"", ""innodb_max_dirty_pages_pct_lwm"": ""32"", ""innodb_purge_batch_size"": ""3451"", ""innodb_purge_rseg_truncate_frequency"": ""77"", ""innodb_stats_transient_sample_pages"": ""43"", ""innodb_thread_concurrency"": ""183"", ""join_buffer_size"": ""832594752"", ""key_cache_age_threshold"": ""8745"", ""max_allowed_packet"": ""270006336"", ""max_connections"": ""79400"", ""max_heap_table_size"": ""931191680"", ""max_prepared_stmt_count"": ""1041532"", ""max_sort_length"": ""244513"", ""query_cache_limit"": ""116815072"", ""query_prealloc_size"": ""95619520"", ""sort_buffer_size"": ""21864448"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""963046464"", ""transaction_alloc_block_size"": ""3485""}"
mysql,without_reliability,without reliability,9891,RQ4,6,91.32,347.44,93.91,27.84939670562744,"[12, 16, 20000, 32, 0.5]",15.42397928237915,12.365553855895996,0.0,"{""binlog_cache_size"": ""2839763712"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""27"", ""innodb_adaptive_max_sleep_delay"": ""314153"", ""innodb_buffer_pool_instances"": ""47"", ""innodb_buffer_pool_size"": ""13630268416"", ""innodb_change_buffer_max_size"": ""36"", ""innodb_change_buffering"": ""deletes"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""2703"", ""innodb_io_capacity_max"": ""9113"", ""innodb_log_write_ahead_size"": ""10721"", ""innodb_lru_scan_depth"": ""3545"", ""innodb_max_dirty_pages_pct_lwm"": ""86"", ""innodb_purge_batch_size"": ""1592"", ""innodb_purge_rseg_truncate_frequency"": ""61"", ""innodb_stats_transient_sample_pages"": ""49"", ""innodb_thread_concurrency"": ""853"", ""join_buffer_size"": ""173321808"", ""key_cache_age_threshold"": ""9511"", ""max_allowed_packet"": ""587588928"", ""max_connections"": ""85486"", ""max_heap_table_size"": ""203661808"", ""max_prepared_stmt_count"": ""1018831"", ""max_sort_length"": ""215516"", ""query_cache_limit"": ""128881992"", ""query_prealloc_size"": ""17623648"", ""sort_buffer_size"": ""61828900"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""387724704"", ""transaction_alloc_block_size"": ""96094""}"
mysql,without_reliability,without reliability,9891,RQ4,7,161.78,196.75,164.41,31.357313632965088,"[12, 16, 20000, 32, 0.5]",19.158696174621582,12.17697262763977,0.0,"{""binlog_cache_size"": ""1378838272"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""56"", ""innodb_adaptive_max_sleep_delay"": ""793595"", ""innodb_buffer_pool_instances"": ""18"", ""innodb_buffer_pool_size"": ""12137259008"", ""innodb_change_buffer_max_size"": ""31"", ""innodb_change_buffering"": ""none"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""15000"", ""innodb_io_capacity_max"": ""14905"", ""innodb_log_write_ahead_size"": ""3931"", ""innodb_lru_scan_depth"": ""3810"", ""innodb_max_dirty_pages_pct_lwm"": ""87"", ""innodb_purge_batch_size"": ""2296"", ""innodb_purge_rseg_truncate_frequency"": ""118"", ""innodb_stats_transient_sample_pages"": ""81"", ""innodb_thread_concurrency"": ""802"", ""join_buffer_size"": ""1069026240"", ""key_cache_age_threshold"": ""1366"", ""max_allowed_packet"": ""980599360"", ""max_connections"": ""4305"", ""max_heap_table_size"": ""572607360"", ""max_prepared_stmt_count"": ""631132"", ""max_sort_length"": ""91663"", ""query_cache_limit"": ""85357144"", ""query_prealloc_size"": ""52501448"", ""sort_buffer_size"": ""78482328"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""984954304"", ""transaction_alloc_block_size"": ""56181""}"
mysql,without_reliability,without reliability,9891,RQ4,8,232.07,137.07,234.71,31.084901094436646,"[12, 16, 20000, 32, 0.5]",18.9177508354187,12.138962984085083,0.0,"{""binlog_cache_size"": ""2009415680"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""31"", ""innodb_adaptive_max_sleep_delay"": ""727933"", ""innodb_buffer_pool_instances"": ""28"", ""innodb_buffer_pool_size"": ""12217908224"", ""innodb_change_buffer_max_size"": ""32"", ""innodb_change_buffering"": ""inserts"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""8522"", ""innodb_io_capacity_max"": ""36134"", ""innodb_log_write_ahead_size"": ""15440"", ""innodb_lru_scan_depth"": ""3094"", ""innodb_max_dirty_pages_pct_lwm"": ""45"", ""innodb_purge_batch_size"": ""791"", ""innodb_purge_rseg_truncate_frequency"": ""81"", ""innodb_stats_transient_sample_pages"": ""55"", ""innodb_thread_concurrency"": ""238"", ""join_buffer_size"": ""263488064"", ""key_cache_age_threshold"": ""5656"", ""max_allowed_packet"": ""374457952"", ""max_connections"": ""33945"", ""max_heap_table_size"": ""139236864"", ""max_prepared_stmt_count"": ""519548"", ""max_sort_length"": ""39091"", ""query_cache_limit"": ""25648012"", ""query_prealloc_size"": ""18431644"", ""sort_buffer_size"": ""10083523"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""664217472"", ""transaction_alloc_block_size"": ""26850""}"
mysql,without_reliability,without reliability,9891,RQ4,9,99.77,317.76,102.36,23.02287745475769,"[12, 16, 20000, 32, 0.5]",10.639872550964355,12.340396881103516,0.0,"{""binlog_cache_size"": ""2359902464"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""61"", ""innodb_adaptive_max_sleep_delay"": ""129342"", ""innodb_buffer_pool_instances"": ""37"", ""innodb_buffer_pool_size"": ""12797165568"", ""innodb_change_buffer_max_size"": ""26"", ""innodb_change_buffering"": ""deletes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""18954"", ""innodb_io_capacity_max"": ""20067"", ""innodb_log_write_ahead_size"": ""6668"", ""innodb_lru_scan_depth"": ""2666"", ""innodb_max_dirty_pages_pct_lwm"": ""28"", ""innodb_purge_batch_size"": ""245"", ""innodb_purge_rseg_truncate_frequency"": ""26"", ""innodb_stats_transient_sample_pages"": ""25"", ""innodb_thread_concurrency"": ""172"", ""join_buffer_size"": ""978855936"", ""key_cache_age_threshold"": ""13863"", ""max_allowed_packet"": ""254207072"", ""max_connections"": ""52822"", ""max_heap_table_size"": ""642660288"", ""max_prepared_stmt_count"": ""116712"", ""max_sort_length"": ""178042"", ""query_cache_limit"": ""54508692"", ""query_prealloc_size"": ""53802836"", ""sort_buffer_size"": ""126583376"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""171844528"", ""transaction_alloc_block_size"": ""117548""}"
mysql,without_reliability,without reliability,9891,RQ4,10,160.87,197.56,163.49,39.488898515701294,"[12, 16, 20000, 32, 0.5]",27.265108346939087,12.19506573677063,0.0,"{""binlog_cache_size"": ""828964864"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""45"", ""innodb_adaptive_max_sleep_delay"": ""838225"", ""innodb_buffer_pool_instances"": ""53"", ""innodb_buffer_pool_size"": ""9289687040"", ""innodb_change_buffer_max_size"": ""26"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""620"", ""innodb_io_capacity_max"": ""18406"", ""innodb_log_write_ahead_size"": ""12821"", ""innodb_lru_scan_depth"": ""3477"", ""innodb_max_dirty_pages_pct_lwm"": ""47"", ""innodb_purge_batch_size"": ""346"", ""innodb_purge_rseg_truncate_frequency"": ""64"", ""innodb_stats_transient_sample_pages"": ""53"", ""innodb_thread_concurrency"": ""209"", ""join_buffer_size"": ""629327168"", ""key_cache_age_threshold"": ""25927"", ""max_allowed_packet"": ""88516616"", ""max_connections"": ""8902"", ""max_heap_table_size"": ""557738176"", ""max_prepared_stmt_count"": ""839916"", ""max_sort_length"": ""81374"", ""query_cache_limit"": ""96295488"", ""query_prealloc_size"": ""3178508"", ""sort_buffer_size"": ""24835792"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""60294520"", ""transaction_alloc_block_size"": ""67266""}"
