system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
tomcat,without_impact,without impact,9901,RQ4,1,2189.02,27.83,2189.02,10.019225597381592,"[8, 50, 10, False]",0.0,10.018326044082642,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,2,2170.47,24.36,2170.47,10.023542165756226,"[8, 50, 10, False]",0.0,10.0234534740448,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""65535"", ""maxHttpRequestHeaderSize"": ""65534"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,3,1987.7,27.44,1987.7,10.018110275268555,"[8, 50, 10, False]",0.0,10.018023490905762,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""65535"", ""maxHttpRequestHeaderSize"": ""36863"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,4,2150.5,26.05,2150.5,10.023285150527954,"[8, 50, 10, False]",0.0,10.023197174072266,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""65535"", ""maxHttpRequestHeaderSize"": ""33023"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,5,2171.42,28.11,2171.42,10.020655393600464,"[8, 50, 10, False]",0.0,10.020570755004883,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""4352"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,6,2145.37,27.8,2145.37,10.019767045974731,"[8, 50, 10, False]",0.0,10.019675493240356,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""513"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,7,2276.92,27.15,2276.92,10.019867658615112,"[8, 50, 10, False]",0.0,10.019774436950684,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""512"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""200"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,8,1796.5,45.82,1796.5,10.022700548171997,"[8, 50, 10, False]",0.0,10.022610425949097,0.0,"{""acceptCount"": ""100"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2048"", ""connectionTimeout"": ""60000"", ""connectionUploadTimeout"": ""300000"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""5000"", ""keepAliveTimeout"": ""60000"", ""maxConnections"": ""8192"", ""maxHeaderCount"": ""100"", ""maxHttpHeaderSize"": ""8192"", ""maxHttpRequestHeaderSize"": ""8192"", ""maxHttpResponseHeaderSize"": ""8192"", ""maxKeepAliveRequests"": ""100"", ""maxParameterCount"": ""10000"", ""maxSwallowSize"": ""2097152"", ""maxThreads"": ""200"", ""minSpareThreads"": ""10"", ""processorCache"": ""0"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""60000"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,without_impact,without impact,9901,RQ4,9,2032.73,24.48,2032.73,10.02066445350647,"[8, 50, 10, False]",0.0,10.020575284957886,0.0,"{""acceptCount"": ""380"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""2789"", ""connectionTimeout"": ""315870"", ""connectionUploadTimeout"": ""176940"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""237866"", ""keepAliveTimeout"": ""294169"", ""maxConnections"": ""6667"", ""maxHeaderCount"": ""710"", ""maxHttpHeaderSize"": ""4520"", ""maxHttpRequestHeaderSize"": ""31671"", ""maxHttpResponseHeaderSize"": ""59937"", ""maxKeepAliveRequests"": ""1582"", ""maxParameterCount"": ""6164"", ""maxSwallowSize"": ""11051614"", ""maxThreads"": ""59"", ""minSpareThreads"": ""145"", ""processorCache"": ""17"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""568623"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,without_impact,without impact,9901,RQ4,10,2208.2,27.12,2208.2,10.018397092819214,"[8, 50, 10, False]",0.0,10.018301248550415,0.0,"{""acceptCount"": ""884"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""7015"", ""connectionTimeout"": ""483263"", ""connectionUploadTimeout"": ""128512"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""594707"", ""keepAliveTimeout"": ""190989"", ""maxConnections"": ""11903"", ""maxHeaderCount"": ""723"", ""maxHttpHeaderSize"": ""8118"", ""maxHttpRequestHeaderSize"": ""7462"", ""maxHttpResponseHeaderSize"": ""42654"", ""maxKeepAliveRequests"": ""1370"", ""maxParameterCount"": ""70693"", ""maxSwallowSize"": ""10351456"", ""maxThreads"": ""249"", ""minSpareThreads"": ""934"", ""processorCache"": ""194"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""12865"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
