measurement,HEBO,HEBO+DepTune,TPE,TPE+DepTune,BO,BO+DepTune
0,0.0,0.0,0.0,0.0,0.0,0.0
20,31596.22,33210.7,33098.13,34069.9,25685.54,32849.09
40,31596.22,35458.47,33987.97,39259.33,28194.35,36625.67
60,31596.22,35920.9,34806.7,39259.33,30326.08,40470.48
80,31596.22,35999.95,34973.4,39381.19,30477.31,40888.66
100,31596.22,40163.93,36599.87,39381.19,30486.55,41708.51
120,31596.22,40163.93,36599.87,39381.19,30502.0,41940.86
140,31596.22,40227.38,36599.87,39889.29,30522.95,42376.14
160,31596.22,46485.99,36599.87,39889.29,30668.37,42975.82
180,31596.22,46804.45,36599.87,39913.61,30669.29,43801.63
200,31596.22,46804.45,36599.87,39913.61,30914.69,44188.93
