measurement,HEBO,HEBO+DepTune,TPE,TPE+DepTune,BO,BO+DepTune
0,0.0,0.0,0.0,0.0,0.0,0.0
20,217.35,216.31,227.99,277.16,186.59,191.74
40,235.57,236.7,238.97,277.77,201.37,221.6
60,256.72,266.73,243.41,277.77,213.94,240.98
80,263.28,302.12,244.57,277.77,224.41,246.36
100,276.51,311.81,252.2,277.77,229.96,254.27
120,277.96,335.88,273.42,277.77,237.15,261.79
140,285.5,349.77,276.21,279.79,240.26,276.75
160,288.47,388.64,276.21,279.79,245.79,294.01
180,294.81,402.07,276.21,279.79,247.68,308.23
200,314.05,409.45,277.51,280.12,260.09,317.25
