measurement,HEBO,HEBO+DepTune,TPE,TPE+DepTune,BO,BO+DepTune
0,0.0,0.0,0.0,0.0,0.0,0.0
20,314.2,336.26,322.46,362.51,290.63,293.79
40,338.68,337.22,322.63,368.33,305.93,306.05
60,347.51,355.16,327.51,375.99,317.6,318.23
80,356.17,389.2,331.16,378.43,318.52,321.25
100,357.49,389.2,331.16,387.11,319.91,322.72
120,361.36,401.56,335.76,387.11,325.25,325.66
140,365.37,412.86,335.76,391.43,334.83,328.69
160,389.54,417.86,335.76,399.23,338.28,330.74
180,414.61,417.86,335.76,399.23,349.36,331.79
200,414.61,417.86,335.76,399.23,352.92,333.48
