measurement,HEBO,HEBO+DepTune,TPE,TPE+DepTune,BO,BO+DepTune
0,0.0,0.0,0.0,0.0,0.0,0.0
20,2255.57,2118.98,2240.74,2276.61,1777.12,1944.0
40,2303.52,2232.36,2310.98,2322.83,2116.08,2286.61
60,2342.89,2238.33,2319.94,2325.08,2168.72,2346.44
80,2342.89,2245.17,2325.92,2325.08,2241.45,2429.23
100,2353.3,2827.52,2343.42,2325.22,2348.68,2517.89
120,2359.35,2827.52,2350.89,2327.5,2360.35,2553.8
140,2372.51,2835.77,2376.21,2336.51,2370.4,2566.35
160,2373.97,2835.77,2399.93,2337.69,2373.02,2566.4
180,2379.11,2835.77,2415.43,2341.14,2375.92,2566.4
200,2397.59,3095.82,2417.32,2341.14,2375.92,2973.23
