measurement,HEBO,HEBO+DepTune,TPE,TPE+DepTune,BO,BO+DepTune
0,0.0,0.0,0.0,0.0,0.0,0.0
20,75.81,118.04,71.54,116.14,84.12,114.44
40,105.25,118.04,124.21,118.35,98.69,117.6
60,106.61,120.54,129.05,118.75,104.57,120.9
80,108.86,120.54,129.05,131.76,106.62,123.35
100,108.97,128.18,129.05,143.93,107.26,123.89
120,115.84,131.47,132.08,146.55,109.84,129.64
140,126.47,139.65,140.05,156.25,118.63,131.43
160,132.46,154.76,140.05,156.25,123.57,137.48
180,132.46,155.8,146.36,156.25,125.93,141.57
200,142.58,169.43,146.36,157.18,131.22,143.54
