system,method_key,method,series,measurement,value,source_tex
httpd,hebo_dt,HEBO+DepTune,upper,20,44088.36,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,40,46659.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,60,46551.94,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,80,46471.61,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,100,49477.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,120,49477.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,140,49579.03,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,160,56997.71,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,180,57435.79,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,upper,200,57435.79,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,20,22333.05,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,40,24257.08,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,60,25289.87,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,80,25528.29,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,100,30850.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,120,30850.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,140,30875.74,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,160,35974.27,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,180,36173.12,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,hebo_dt,HEBO+DepTune,lower,200,36173.12,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,20,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,40,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,60,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,80,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,100,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,120,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,140,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
httpd,flash,FLASH,upper,160,57875.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/httpd_selected_runs_plot.tex
