system,method_key,method,series,measurement,value,source_tex
mysql,hebo_dt,HEBO+DepTune,upper,20,369.32,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,40,369.71,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,60,387.65,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,80,442.56,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,100,440.87,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,120,467.71,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,140,468.08,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,160,492.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,180,500.74,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,upper,200,504.63,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,20,63.29,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,40,103.69,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,60,145.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,80,161.69,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,100,182.74,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,120,204.06,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,140,231.46,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,160,284.88,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,180,303.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,hebo_dt,HEBO+DepTune,lower,200,314.28,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,20,336.30,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,40,348.20,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,60,365.56,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,80,379.91,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,100,400.89,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,120,399.42,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,140,373.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,160,364.79,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,180,382.20,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,upper,200,382.20,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,20,139.99,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,40,140.23,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,60,170.83,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,80,209.65,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,100,219.47,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,120,224.55,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,140,300.30,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,160,345.61,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,180,344.36,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,flash,FLASH,lower,200,344.36,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,20,350.44,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,40,352.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,60,349.38,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,80,357.92,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,100,364.17,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,120,370.31,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,140,365.31,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,160,355.54,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,180,352.34,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,upper,200,353.95,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,20,144.95,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,40,154.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,60,178.87,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,80,182.14,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,100,253.21,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,120,256.15,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,140,277.29,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,160,305.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,180,325.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,promise,PromiseTune,lower,200,325.54,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,20,263.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,40,286.93,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,60,291.90,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,80,294.34,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,100,302.49,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,120,303.01,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,140,303.01,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,160,303.01,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,180,314.49,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,upper,200,319.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,20,179.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,40,178.25,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,60,179.26,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,80,179.94,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,100,180.77,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,120,180.81,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,140,180.81,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,160,180.81,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,180,181.24,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,bestconfig,BestConfig,lower,200,181.38,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,20,383.67,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,40,389.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,60,390.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,80,392.99,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,100,394.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,120,394.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,140,394.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,160,394.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,180,394.67,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,upper,200,393.93,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,lower,20,106.43,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,lower,40,125.38,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
mysql,spl,SPL,lower,60,128.97,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/mysql_selected_runs_plot.tex
