system,method_key,method,series,measurement,value,source_tex
postgresql,hebo_dt,HEBO+DepTune,upper,20,371.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,40,372.23,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,60,374.20,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,80,420.66,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,100,420.66,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,120,440.11,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,140,428.11,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,160,427.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,180,427.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,upper,200,427.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,lower,20,301.42,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,lower,40,302.21,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
postgresql,hebo_dt,HEBO+DepTune,lower,60,336.11,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/postgresql_selected_runs_plot.tex
