system,method_key,method,series,measurement,value,source_tex
tomcat,hebo_dt,HEBO+DepTune,upper,20,2544.52,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,40,2668.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,60,2677.89,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,80,2688.14,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,100,3464.06,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,120,3464.06,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,140,3474.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,160,3474.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,180,3474.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,upper,200,3217.03,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,20,1693.44,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,40,1796.30,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,60,1798.77,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,80,1802.20,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,100,2190.97,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,120,2190.97,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,140,2197.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,160,2197.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,180,2197.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,lower,200,2974.61,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,20,2719.24,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,40,2723.50,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,60,2743.64,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,80,2753.96,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,100,2765.01,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,120,2776.23,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,140,2801.51,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,160,2913.51,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,180,2930.96,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,upper,200,2930.96,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,20,1847.24,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,40,1854.76,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,60,1866.03,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,80,1867.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,100,1869.37,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,120,1878.51,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,140,1902.73,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,160,1937.39,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
