system,method_key,method,series,measurement,value,source_tex
x265,hebo_dt,HEBO+DepTune,upper,20,130.94,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,40,130.94,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,60,130.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,80,130.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,100,150.25,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,120,159.85,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,140,178.38,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,160,189.54,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,180,190.52,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,upper,200,205.52,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,20,105.14,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,40,105.14,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,60,110.95,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,80,110.95,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,100,106.11,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,120,103.09,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,140,100.93,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,160,119.99,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,180,121.08,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,lower,200,133.35,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,upper,20,41.82,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,upper,40,97.93,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,upper,60,132.23,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,upper,80,156.60,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,upper,100,175.43,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,upper,120,170.70,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,upper,140,172.62,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
