system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
httpd,hebo,4401,plain,false,1,34015.99,1.57,34015.99,30.014132261276245,"[8, 50, 30, True]",0.0,30.013267517089844,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""60"", ""FlushMaxThreshold"": ""445309472"", ""ForceType"": ""unset"", ""HostnameLookups"": ""On"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""2791"", ""LimitInternalRecursion"": ""80"", ""LimitRequestBody"": ""521474912"", ""LimitRequestFieldSize"": ""1625"", ""LimitRequestFields"": ""5415"", ""LimitRequestLine"": ""28738"", ""LimitXMLRequestBody"": ""91766368"", ""MaxKeepAliveRequests"": ""1957"", ""MaxRangeOverlaps"": ""11"", ""MaxRangeReversals"": ""64"", ""MaxRanges"": ""1565"", ""RLimitCPU"": ""144864032"", ""RLimitMEM"": ""6887124232598192128"", ""RLimitNPROC"": ""2189"", ""ReadBufferSize"": ""884304000"", ""ServerSignature"": ""EMail"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""246"", ""TraceEnable"": ""on"", ""throughput__2"": ""34015.99""}"
httpd,hebo,4401,plain,false,2,33723.75,1.53,33723.75,30.01227116584778,"[8, 50, 30, True]",0.0,30.0121910572052,0.0,"{""AllowEncodedSlashes"": ""On"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""597"", ""FlushMaxThreshold"": ""599591552"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""Double"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""523"", ""LimitInternalRecursion"": ""789"", ""LimitRequestBody"": ""1748121728"", ""LimitRequestFieldSize"": ""35292"", ""LimitRequestFields"": ""405"", ""LimitRequestLine"": ""46798"", ""LimitXMLRequestBody"": ""1019609408"", ""MaxKeepAliveRequests"": ""9660"", ""MaxRangeOverlaps"": ""698"", ""MaxRangeReversals"": ""550"", ""MaxRanges"": ""8224"", ""RLimitCPU"": ""1148813440"", ""RLimitMEM"": ""1682351883982733312"", ""RLimitNPROC"": ""35439"", ""ReadBufferSize"": ""69665456"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""3571"", ""TraceEnable"": ""extended"", ""throughput__2"": ""33723.75""}"
httpd,hebo,4401,plain,false,3,32320.41,1.58,32320.41,30.018245935440063,"[8, 50, 30, True]",0.0,30.018153429031372,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""757"", ""FlushMaxThreshold"": ""136138960"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""2078"", ""LimitInternalRecursion"": ""292"", ""LimitRequestBody"": ""1546427392"", ""LimitRequestFieldSize"": ""27831"", ""LimitRequestFields"": ""3834"", ""LimitRequestLine"": ""55967"", ""LimitXMLRequestBody"": ""594122880"", ""MaxKeepAliveRequests"": ""6386"", ""MaxRangeOverlaps"": ""825"", ""MaxRangeReversals"": ""825"", ""MaxRanges"": ""4493"", ""RLimitCPU"": ""1830993536"", ""RLimitMEM"": ""9159605310246092800"", ""RLimitNPROC"": ""50799"", ""ReadBufferSize"": ""709804992"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""1588"", ""TraceEnable"": ""on"", ""throughput__2"": ""32320.41""}"
httpd,hebo,4401,plain,false,4,32184.39,1.6,32184.39,30.017923831939697,"[8, 50, 30, True]",0.0,30.017820119857788,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""338"", ""FlushMaxThreshold"": ""824883328"", ""ForceType"": ""None"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""1584"", ""LimitInternalRecursion"": ""591"", ""LimitRequestBody"": ""722186432"", ""LimitRequestFieldSize"": ""58162"", ""LimitRequestFields"": ""8864"", ""LimitRequestLine"": ""7187"", ""LimitXMLRequestBody"": ""450340736"", ""MaxKeepAliveRequests"": ""3991"", ""MaxRangeOverlaps"": ""389"", ""MaxRangeReversals"": ""312"", ""MaxRanges"": ""5372"", ""RLimitCPU"": ""569986496"", ""RLimitMEM"": ""4028875036717744128"", ""RLimitNPROC"": ""17548"", ""ReadBufferSize"": ""450715200"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""2198"", ""TraceEnable"": ""extended"", ""throughput__2"": ""32184.39""}"
httpd,hebo,4401,plain,false,5,30517.65,1.68,30517.65,30.012418746948242,"[8, 50, 30, True]",0.0,30.01232147216797,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""441"", ""FlushMaxThreshold"": ""88082536"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""104"", ""LimitInternalRecursion"": ""721"", ""LimitRequestBody"": ""1002793536"", ""LimitRequestFieldSize"": ""22805"", ""LimitRequestFields"": ""6966"", ""LimitRequestLine"": ""65061"", ""LimitXMLRequestBody"": ""714105216"", ""MaxKeepAliveRequests"": ""8441"", ""MaxRangeOverlaps"": ""894"", ""MaxRangeReversals"": ""483"", ""MaxRanges"": ""2580"", ""RLimitCPU"": ""978761088"", ""RLimitMEM"": ""3350504399926460416"", ""RLimitNPROC"": ""26105"", ""ReadBufferSize"": ""254928656"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""2591"", ""TraceEnable"": ""on"", ""throughput__2"": ""30517.65""}"
httpd,hebo,4401,plain,false,6,32986.79,1.58,32986.79,30.013813734054565,"[8, 50, 30, True]",0.0,30.013731718063354,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""904"", ""FlushMaxThreshold"": ""1014489152"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""3209"", ""LimitInternalRecursion"": ""397"", ""LimitRequestBody"": ""1289896192"", ""LimitRequestFieldSize"": ""54928"", ""LimitRequestFields"": ""1976"", ""LimitRequestLine"": ""14508"", ""LimitXMLRequestBody"": ""321805952"", ""MaxKeepAliveRequests"": ""1144"", ""MaxRangeOverlaps"": ""331"", ""MaxRangeReversals"": ""904"", ""MaxRanges"": ""7209"", ""RLimitCPU"": ""1988970240"", ""RLimitMEM"": ""7366403550169006080"", ""RLimitNPROC"": ""59162"", ""ReadBufferSize"": ""1067612864"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""1191"", ""TraceEnable"": ""extended"", ""throughput__2"": ""32986.79""}"
httpd,hebo,4401,plain,false,7,12232.72,4.54,12232.72,30.084059953689575,"[8, 50, 30, True]",0.0,30.083974599838257,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""744"", ""FlushMaxThreshold"": ""400013952"", ""ForceType"": ""unset"", ""HostnameLookups"": ""On"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""1165"", ""LimitInternalRecursion"": ""899"", ""LimitRequestBody"": ""2029838976"", ""LimitRequestFieldSize"": ""13308"", ""LimitRequestFields"": ""3550"", ""LimitRequestLine"": ""21755"", ""LimitXMLRequestBody"": ""209831760"", ""MaxKeepAliveRequests"": ""2870"", ""MaxRangeOverlaps"": ""207"", ""MaxRangeReversals"": ""722"", ""MaxRanges"": ""978"", ""RLimitCPU"": ""1607890944"", ""RLimitMEM"": ""1023642507960909824"", ""RLimitNPROC"": ""43802"", ""ReadBufferSize"": ""298469792"", ""ServerSignature"": ""On"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""3060"", ""TraceEnable"": ""on"", ""throughput__2"": ""12232.72""}"
httpd,hebo,4401,plain,false,8,931.57,62.19,931.57,30.04688024520874,"[8, 50, 30, True]",0.0,30.046776294708252,0.0,"{""AllowEncodedSlashes"": ""On"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""162"", ""FlushMaxThreshold"": ""786453184"", ""ForceType"": ""None"", ""HostnameLookups"": ""Double"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""2496"", ""LimitInternalRecursion"": ""235"", ""LimitRequestBody"": ""266062272"", ""LimitRequestFieldSize"": ""48254"", ""LimitRequestFields"": ""8521"", ""LimitRequestLine"": ""37494"", ""LimitXMLRequestBody"": ""893384768"", ""MaxKeepAliveRequests"": ""5475"", ""MaxRangeOverlaps"": ""521"", ""MaxRangeReversals"": ""141"", ""MaxRanges"": ""8887"", ""RLimitCPU"": ""319654752"", ""RLimitMEM"": ""5110277158228459520"", ""RLimitNPROC"": ""10745"", ""ReadBufferSize"": ""559538560"", ""ServerSignature"": ""EMail"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""746"", ""TraceEnable"": ""extended"", ""throughput__2"": ""931.57""}"
httpd,hebo,4401,plain,false,9,33779.22,1.56,33779.22,30.015270709991455,"[8, 50, 30, True]",0.0,30.01517605781555,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""240"", ""FlushMaxThreshold"": ""233321248"", ""ForceType"": ""media-type"", ""HostnameLookups"": ""On"", ""KeepAlive"": ""Off"", ""KeepAliveTimeout"": ""929"", ""LimitInternalRecursion"": ""451"", ""LimitRequestBody"": ""1634313216"", ""LimitRequestFieldSize"": ""19736"", ""LimitRequestFields"": ""9921"", ""LimitRequestLine"": ""59940"", ""LimitXMLRequestBody"": ""790767744"", ""MaxKeepAliveRequests"": ""4494"", ""MaxRangeOverlaps"": ""612"", ""MaxRangeReversals"": ""5"", ""MaxRanges"": ""6306"", ""RLimitCPU"": ""1669907968"", ""RLimitMEM"": ""2345877601970552832"", ""RLimitNPROC"": ""55047"", ""ReadBufferSize"": ""397872960"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""ON"", ""TimeOut"": ""1828"", ""TraceEnable"": ""extended"", ""throughput__2"": ""33779.22""}"
httpd,hebo,4401,plain,false,10,31938.75,1.64,31938.75,30.01126265525818,"[8, 50, 30, True]",0.0,30.011165142059326,0.0,"{""AllowEncodedSlashes"": ""NoDecode"", ""EnableSendfile"": ""On"", ""ExtendedStatus"": ""On"", ""FlushMaxPipelined"": ""667"", ""FlushMaxThreshold"": ""887085888"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Double"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""2268"", ""LimitInternalRecursion"": ""683"", ""LimitRequestBody"": ""374245632"", ""LimitRequestFieldSize"": ""49821"", ""LimitRequestFields"": ""4891"", ""LimitRequestLine"": ""11433"", ""LimitXMLRequestBody"": ""379328352"", ""MaxKeepAliveRequests"": ""7123"", ""MaxRangeOverlaps"": ""175"", ""MaxRangeReversals"": ""615"", ""MaxRanges"": ""3591"", ""RLimitCPU"": ""793982272"", ""RLimitMEM"": ""7515641912674484224"", ""RLimitNPROC"": ""21988"", ""ReadBufferSize"": ""656709504"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""Off"", ""TimeOut"": ""1539"", ""TraceEnable"": ""on"", ""throughput__2"": ""31938.75""}"
