system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
mysql,bo,9001,plain,true,1,132.780220,7.531242,132.780220,12.501172,"[12, 16, 20000, 32, 0.5]",0.3194444179534912,12.345505,0.0,"{""binlog_cache_size"": ""1276376529"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""46"", ""innodb_adaptive_max_sleep_delay"": ""495239"", ""innodb_buffer_pool_instances"": ""10"", ""innodb_buffer_pool_size"": ""11127086623"", ""innodb_change_buffer_max_size"": ""43"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""16020"", ""innodb_io_capacity_max"": ""16129"", ""innodb_log_write_ahead_size"": ""6325"", ""innodb_lru_scan_depth"": ""2876"", ""innodb_max_dirty_pages_pct_lwm"": ""45"", ""innodb_purge_batch_size"": ""440"", ""innodb_purge_rseg_truncate_frequency"": ""1"", ""innodb_stats_transient_sample_pages"": ""38"", ""innodb_thread_concurrency"": ""735"", ""join_buffer_size"": ""42122145"", ""key_cache_age_threshold"": ""10967"", ""max_allowed_packet"": ""485735088"", ""max_connections"": ""11895"", ""max_heap_table_size"": ""517398006"", ""max_prepared_stmt_count"": ""119234"", ""max_sort_length"": ""16448"", ""query_cache_limit"": ""88711257"", ""query_prealloc_size"": ""50280511"", ""sort_buffer_size"": ""38883993"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""75454308"", ""transaction_alloc_block_size"": ""95325""}"
mysql,bo,9001,plain,true,2,143.131729,6.986571,143.131729,12.574633,"[12, 16, 20000, 32, 0.5]",0.3194444179534912,12.494246,0.0,"{""binlog_cache_size"": ""1128964069"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""53"", ""innodb_adaptive_max_sleep_delay"": ""561405"", ""innodb_buffer_pool_instances"": ""14"", ""innodb_buffer_pool_size"": ""10886601699"", ""innodb_change_buffer_max_size"": ""39"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""13955"", ""innodb_io_capacity_max"": ""19168"", ""innodb_log_write_ahead_size"": ""7049"", ""innodb_lru_scan_depth"": ""3169"", ""innodb_max_dirty_pages_pct_lwm"": ""43"", ""innodb_purge_batch_size"": ""122"", ""innodb_purge_rseg_truncate_frequency"": ""8"", ""innodb_stats_transient_sample_pages"": ""33"", ""innodb_thread_concurrency"": ""803"", ""join_buffer_size"": ""188186991"", ""key_cache_age_threshold"": ""9508"", ""max_allowed_packet"": ""420082524"", ""max_connections"": ""9715"", ""max_heap_table_size"": ""504070504"", ""max_prepared_stmt_count"": ""96744"", ""max_sort_length"": ""16526"", ""query_cache_limit"": ""97372132"", ""query_prealloc_size"": ""45603805"", ""sort_buffer_size"": ""37645149"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""30135929"", ""transaction_alloc_block_size"": ""98080""}"
mysql,bo,9001,plain,true,3,154.961482,6.453217,154.961482,12.549441,"[12, 16, 20000, 32, 0.5]",0.2851583957672119,12.563626,0.0,"{""binlog_cache_size"": ""2213615481"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""31"", ""innodb_adaptive_max_sleep_delay"": ""236123"", ""innodb_buffer_pool_instances"": ""9"", ""innodb_buffer_pool_size"": ""10079082868"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""13437"", ""innodb_io_capacity_max"": ""33225"", ""innodb_log_write_ahead_size"": ""3512"", ""innodb_lru_scan_depth"": ""1655"", ""innodb_max_dirty_pages_pct_lwm"": ""60"", ""innodb_purge_batch_size"": ""1837"", ""innodb_purge_rseg_truncate_frequency"": ""45"", ""innodb_stats_transient_sample_pages"": ""70"", ""innodb_thread_concurrency"": ""602"", ""join_buffer_size"": ""182623412"", ""key_cache_age_threshold"": ""7994"", ""max_allowed_packet"": ""449710022"", ""max_connections"": ""5591"", ""max_heap_table_size"": ""433658949"", ""max_prepared_stmt_count"": ""881744"", ""max_sort_length"": ""4"", ""query_cache_limit"": ""36633963"", ""query_prealloc_size"": ""114164543"", ""sort_buffer_size"": ""74827948"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""335485080"", ""transaction_alloc_block_size"": ""129762""}"
mysql,bo,9001,plain,true,4,154.877552,6.456714,154.877552,19.945017,"[12, 16, 20000, 32, 0.5]",7.739225149154663,12.362736,0.0,"{""binlog_cache_size"": ""2061777793"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""32"", ""innodb_adaptive_max_sleep_delay"": ""184234"", ""innodb_buffer_pool_instances"": ""11"", ""innodb_buffer_pool_size"": ""10607539825"", ""innodb_change_buffer_max_size"": ""43"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""18328"", ""innodb_io_capacity_max"": ""13686"", ""innodb_log_write_ahead_size"": ""5495"", ""innodb_lru_scan_depth"": ""3851"", ""innodb_max_dirty_pages_pct_lwm"": ""72"", ""innodb_purge_batch_size"": ""1792"", ""innodb_purge_rseg_truncate_frequency"": ""39"", ""innodb_stats_transient_sample_pages"": ""65"", ""innodb_thread_concurrency"": ""629"", ""join_buffer_size"": ""189040878"", ""key_cache_age_threshold"": ""10891"", ""max_allowed_packet"": ""247927588"", ""max_connections"": ""36116"", ""max_heap_table_size"": ""118726727"", ""max_prepared_stmt_count"": ""744109"", ""max_sort_length"": ""7306"", ""query_cache_limit"": ""39167760"", ""query_prealloc_size"": ""112849879"", ""sort_buffer_size"": ""24585956"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""404552074"", ""transaction_alloc_block_size"": ""9868""}"
mysql,bo,9001,plain,true,5,154.115082,6.488658,154.115082,30.181051,"[12, 16, 20000, 32, 0.5]",17.868229627609253,12.761265,0.0,"{""binlog_cache_size"": ""1654375670"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""65"", ""innodb_adaptive_max_sleep_delay"": ""940217"", ""innodb_buffer_pool_instances"": ""16"", ""innodb_buffer_pool_size"": ""3977355163"", ""innodb_change_buffer_max_size"": ""19"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""10651"", ""innodb_io_capacity_max"": ""13862"", ""innodb_log_write_ahead_size"": ""1465"", ""innodb_lru_scan_depth"": ""391"", ""innodb_max_dirty_pages_pct_lwm"": ""49"", ""innodb_purge_batch_size"": ""3589"", ""innodb_purge_rseg_truncate_frequency"": ""40"", ""innodb_stats_transient_sample_pages"": ""58"", ""innodb_thread_concurrency"": ""620"", ""join_buffer_size"": ""262195561"", ""key_cache_age_threshold"": ""18978"", ""max_allowed_packet"": ""72101823"", ""max_connections"": ""16383"", ""max_heap_table_size"": ""682263334"", ""max_prepared_stmt_count"": ""746758"", ""max_sort_length"": ""32486"", ""query_cache_limit"": ""110773789"", ""query_prealloc_size"": ""21205869"", ""sort_buffer_size"": ""27499238"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""729726490"", ""transaction_alloc_block_size"": ""36132""}"
mysql,bo,9001,plain,true,6,145.483889,6.873613,145.483889,12.902432,"[12, 16, 20000, 32, 0.5]",0.41722774505615234,11.746781,0.0,"{""binlog_cache_size"": ""2973116435"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""68"", ""innodb_adaptive_max_sleep_delay"": ""512374"", ""innodb_buffer_pool_instances"": ""18"", ""innodb_buffer_pool_size"": ""7742451864"", ""innodb_change_buffer_max_size"": ""16"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""100"", ""innodb_io_capacity_max"": ""29118"", ""innodb_log_write_ahead_size"": ""4105"", ""innodb_lru_scan_depth"": ""8729"", ""innodb_max_dirty_pages_pct_lwm"": ""99"", ""innodb_purge_batch_size"": ""3213"", ""innodb_purge_rseg_truncate_frequency"": ""26"", ""innodb_stats_transient_sample_pages"": ""64"", ""innodb_thread_concurrency"": ""72"", ""join_buffer_size"": ""631156652"", ""key_cache_age_threshold"": ""13270"", ""max_allowed_packet"": ""469744194"", ""max_connections"": ""57629"", ""max_heap_table_size"": ""577930915"", ""max_prepared_stmt_count"": ""962889"", ""max_sort_length"": ""203118"", ""query_cache_limit"": ""64513456"", ""query_prealloc_size"": ""93289653"", ""sort_buffer_size"": ""48309809"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""789678496"", ""transaction_alloc_block_size"": ""93088""}"
mysql,bo,9001,plain,true,7,158.436628,6.311672,158.436628,12.439850,"[12, 16, 20000, 32, 0.5]",0.2984349727630615,12.828115,0.0,"{""binlog_cache_size"": ""1996200288"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""30"", ""innodb_adaptive_max_sleep_delay"": ""211666"", ""innodb_buffer_pool_instances"": ""14"", ""innodb_buffer_pool_size"": ""9657352027"", ""innodb_change_buffer_max_size"": ""46"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""5881"", ""innodb_io_capacity_max"": ""36744"", ""innodb_log_write_ahead_size"": ""5673"", ""innodb_lru_scan_depth"": ""4721"", ""innodb_max_dirty_pages_pct_lwm"": ""72"", ""innodb_purge_batch_size"": ""1410"", ""innodb_purge_rseg_truncate_frequency"": ""41"", ""innodb_stats_transient_sample_pages"": ""63"", ""innodb_thread_concurrency"": ""591"", ""join_buffer_size"": ""222571766"", ""key_cache_age_threshold"": ""8594"", ""max_allowed_packet"": ""206921457"", ""max_connections"": ""37381"", ""max_heap_table_size"": ""531610681"", ""max_prepared_stmt_count"": ""762190"", ""max_sort_length"": ""3429"", ""query_cache_limit"": ""35592056"", ""query_prealloc_size"": ""122100671"", ""sort_buffer_size"": ""21912837"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""350749930"", ""transaction_alloc_block_size"": ""76454""}"
mysql,bo,9001,plain,true,8,173.654224,5.758570,173.654224,13.009629,"[12, 16, 20000, 32, 0.5]",0.703988790512085,12.606314,0.0,"{""binlog_cache_size"": ""3425778498"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""36"", ""innodb_adaptive_max_sleep_delay"": ""565666"", ""innodb_buffer_pool_instances"": ""29"", ""innodb_buffer_pool_size"": ""11302992028"", ""innodb_change_buffer_max_size"": ""28"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""14384"", ""innodb_io_capacity_max"": ""29495"", ""innodb_log_write_ahead_size"": ""14218"", ""innodb_lru_scan_depth"": ""2879"", ""innodb_max_dirty_pages_pct_lwm"": ""85"", ""innodb_purge_batch_size"": ""2956"", ""innodb_purge_rseg_truncate_frequency"": ""34"", ""innodb_stats_transient_sample_pages"": ""49"", ""innodb_thread_concurrency"": ""266"", ""join_buffer_size"": ""129515540"", ""key_cache_age_threshold"": ""6792"", ""max_allowed_packet"": ""264687583"", ""max_connections"": ""92463"", ""max_heap_table_size"": ""113252911"", ""max_prepared_stmt_count"": ""275304"", ""max_sort_length"": ""20852"", ""query_cache_limit"": ""68957698"", ""query_prealloc_size"": ""33059888"", ""sort_buffer_size"": ""17990081"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""437108729"", ""transaction_alloc_block_size"": ""117746""}"
mysql,bo,9001,plain,true,9,175.597179,5.694852,175.597179,12.594421,"[12, 16, 20000, 32, 0.5]",0.3750271797180176,12.285347,0.0,"{""binlog_cache_size"": ""2650043866"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""32"", ""innodb_adaptive_max_sleep_delay"": ""270661"", ""innodb_buffer_pool_instances"": ""6"", ""innodb_buffer_pool_size"": ""9702512807"", ""innodb_change_buffer_max_size"": ""42"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""13982"", ""innodb_io_capacity_max"": ""14305"", ""innodb_log_write_ahead_size"": ""7997"", ""innodb_lru_scan_depth"": ""4309"", ""innodb_max_dirty_pages_pct_lwm"": ""62"", ""innodb_purge_batch_size"": ""2263"", ""innodb_purge_rseg_truncate_frequency"": ""54"", ""innodb_stats_transient_sample_pages"": ""74"", ""innodb_thread_concurrency"": ""788"", ""join_buffer_size"": ""182378152"", ""key_cache_age_threshold"": ""23187"", ""max_allowed_packet"": ""441585750"", ""max_connections"": ""60170"", ""max_heap_table_size"": ""408252647"", ""max_prepared_stmt_count"": ""406764"", ""max_sort_length"": ""4"", ""query_cache_limit"": ""90014529"", ""query_prealloc_size"": ""47396527"", ""sort_buffer_size"": ""17829828"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""341110876"", ""transaction_alloc_block_size"": ""68603""}"
mysql,bo,9001,plain,true,10,179.044382,5.585207,179.044382,20.525122,"[12, 16, 20000, 32, 0.5]",8.127577543258667,12.827283,0.0,"{""binlog_cache_size"": ""79732565"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""51"", ""innodb_adaptive_max_sleep_delay"": ""587640"", ""innodb_buffer_pool_instances"": ""53"", ""innodb_buffer_pool_size"": ""574139968"", ""innodb_change_buffer_max_size"": ""41"", ""innodb_change_buffering"": ""deletes"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""15950"", ""innodb_io_capacity_max"": ""26738"", ""innodb_log_write_ahead_size"": ""7053"", ""innodb_lru_scan_depth"": ""7434"", ""innodb_max_dirty_pages_pct_lwm"": ""81"", ""innodb_purge_batch_size"": ""4791"", ""innodb_purge_rseg_truncate_frequency"": ""16"", ""innodb_stats_transient_sample_pages"": ""94"", ""innodb_thread_concurrency"": ""824"", ""join_buffer_size"": ""951781996"", ""key_cache_age_threshold"": ""15557"", ""max_allowed_packet"": ""923575208"", ""max_connections"": ""73146"", ""max_heap_table_size"": ""16384"", ""max_prepared_stmt_count"": ""579116"", ""max_sort_length"": ""191597"", ""query_cache_limit"": ""112784611"", ""query_prealloc_size"": ""22911476"", ""sort_buffer_size"": ""84275099"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""917506421"", ""transaction_alloc_block_size"": ""18009""}"
