system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
mysql,tpe,5401,plain,false,1,298.37,107.74,295.73,21.019474506378174,"[12, 16, 20000, 32, 0.5]",8.850562334060669,12.134192705154419,0.0,"{""binlog_cache_size"": ""988178034"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""5"", ""innodb_adaptive_max_sleep_delay"": ""722922"", ""innodb_buffer_pool_instances"": ""21"", ""innodb_buffer_pool_size"": ""8172762269"", ""innodb_change_buffer_max_size"": ""8"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""10407"", ""innodb_io_capacity_max"": ""35301"", ""innodb_log_write_ahead_size"": ""4706"", ""innodb_lru_scan_depth"": ""1669"", ""innodb_max_dirty_pages_pct_lwm"": ""16"", ""innodb_purge_batch_size"": ""4714"", ""innodb_purge_rseg_truncate_frequency"": ""113"", ""innodb_stats_transient_sample_pages"": ""45"", ""innodb_thread_concurrency"": ""197"", ""join_buffer_size"": ""980246549"", ""key_cache_age_threshold"": ""19587"", ""max_allowed_packet"": ""417408859"", ""max_connections"": ""81008"", ""max_heap_table_size"": ""183785149"", ""max_prepared_stmt_count"": ""831775"", ""max_sort_length"": ""8828"", ""query_cache_limit"": ""11261273"", ""query_prealloc_size"": ""108534543"", ""sort_buffer_size"": ""131052304"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""272263598"", ""transaction_alloc_block_size"": ""40428""}"
mysql,tpe,5401,plain,false,2,307.34,104.58,304.7,34.33554816246033,"[12, 16, 20000, 32, 0.5]",22.07830500602722,12.152920246124268,0.0,"{""binlog_cache_size"": ""1973167611"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""35"", ""innodb_adaptive_max_sleep_delay"": ""743973"", ""innodb_buffer_pool_instances"": ""37"", ""innodb_buffer_pool_size"": ""8249297411"", ""innodb_change_buffer_max_size"": ""23"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""15196"", ""innodb_io_capacity_max"": ""8082"", ""innodb_log_write_ahead_size"": ""6459"", ""innodb_lru_scan_depth"": ""6687"", ""innodb_max_dirty_pages_pct_lwm"": ""70"", ""innodb_purge_batch_size"": ""3214"", ""innodb_purge_rseg_truncate_frequency"": ""104"", ""innodb_stats_transient_sample_pages"": ""60"", ""innodb_thread_concurrency"": ""620"", ""join_buffer_size"": ""956380863"", ""key_cache_age_threshold"": ""7405"", ""max_allowed_packet"": ""831161069"", ""max_connections"": ""60461"", ""max_heap_table_size"": ""847343202"", ""max_prepared_stmt_count"": ""967962"", ""max_sort_length"": ""5686"", ""query_cache_limit"": ""130925680"", ""query_prealloc_size"": ""118701390"", ""sort_buffer_size"": ""127652142"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""332247614"", ""transaction_alloc_block_size"": ""91399""}"
mysql,tpe,5401,plain,false,3,153.35,211.12,150.72,22.14368963241577,"[12, 16, 20000, 32, 0.5]",9.947280883789062,12.171535015106201,0.0,"{""binlog_cache_size"": ""1845500277"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""18"", ""innodb_adaptive_max_sleep_delay"": ""41757"", ""innodb_buffer_pool_instances"": ""21"", ""innodb_buffer_pool_size"": ""10158335824"", ""innodb_change_buffer_max_size"": ""24"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""15409"", ""innodb_io_capacity_max"": ""16024"", ""innodb_log_write_ahead_size"": ""14834"", ""innodb_lru_scan_depth"": ""10128"", ""innodb_max_dirty_pages_pct_lwm"": ""84"", ""innodb_purge_batch_size"": ""1532"", ""innodb_purge_rseg_truncate_frequency"": ""41"", ""innodb_stats_transient_sample_pages"": ""33"", ""innodb_thread_concurrency"": ""144"", ""join_buffer_size"": ""876501529"", ""key_cache_age_threshold"": ""29525"", ""max_allowed_packet"": ""346927614"", ""max_connections"": ""28248"", ""max_heap_table_size"": ""678998827"", ""max_prepared_stmt_count"": ""460133"", ""max_sort_length"": ""97639"", ""query_cache_limit"": ""82036475"", ""query_prealloc_size"": ""119325732"", ""sort_buffer_size"": ""84936580"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""924493759"", ""transaction_alloc_block_size"": ""15590""}"
mysql,tpe,5401,plain,false,4,230.1,140.08,227.47,18.356357097625732,"[12, 16, 20000, 32, 0.5]",6.160032749176025,12.164839029312134,0.0,"{""binlog_cache_size"": ""1599357750"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""65"", ""innodb_adaptive_max_sleep_delay"": ""338230"", ""innodb_buffer_pool_instances"": ""45"", ""innodb_buffer_pool_size"": ""3103357529"", ""innodb_change_buffer_max_size"": ""28"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""3480"", ""innodb_io_capacity_max"": ""27495"", ""innodb_log_write_ahead_size"": ""8150"", ""innodb_lru_scan_depth"": ""8282"", ""innodb_max_dirty_pages_pct_lwm"": ""34"", ""innodb_purge_batch_size"": ""844"", ""innodb_purge_rseg_truncate_frequency"": ""118"", ""innodb_stats_transient_sample_pages"": ""19"", ""innodb_thread_concurrency"": ""617"", ""join_buffer_size"": ""841970543"", ""key_cache_age_threshold"": ""25537"", ""max_allowed_packet"": ""819563487"", ""max_connections"": ""14047"", ""max_heap_table_size"": ""544777619"", ""max_prepared_stmt_count"": ""756269"", ""max_sort_length"": ""35644"", ""query_cache_limit"": ""38406673"", ""query_prealloc_size"": ""10024367"", ""sort_buffer_size"": ""34161747"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""47280103"", ""transaction_alloc_block_size"": ""112347""}"
mysql,tpe,5401,plain,false,5,267.48,120.37,264.84,23.1175320148468,"[12, 16, 20000, 32, 0.5]",10.948814630508423,12.130860090255737,0.0,"{""binlog_cache_size"": ""831380379"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""14"", ""innodb_adaptive_max_sleep_delay"": ""142481"", ""innodb_buffer_pool_instances"": ""22"", ""innodb_buffer_pool_size"": ""7620931137"", ""innodb_change_buffer_max_size"": ""36"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""16556"", ""innodb_io_capacity_max"": ""17922"", ""innodb_log_write_ahead_size"": ""15609"", ""innodb_lru_scan_depth"": ""4010"", ""innodb_max_dirty_pages_pct_lwm"": ""48"", ""innodb_purge_batch_size"": ""454"", ""innodb_purge_rseg_truncate_frequency"": ""124"", ""innodb_stats_transient_sample_pages"": ""91"", ""innodb_thread_concurrency"": ""910"", ""join_buffer_size"": ""394419346"", ""key_cache_age_threshold"": ""4234"", ""max_allowed_packet"": ""705368054"", ""max_connections"": ""58441"", ""max_heap_table_size"": ""254927390"", ""max_prepared_stmt_count"": ""629390"", ""max_sort_length"": ""20022"", ""query_cache_limit"": ""5501405"", ""query_prealloc_size"": ""132970986"", ""sort_buffer_size"": ""96352291"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""749001283"", ""transaction_alloc_block_size"": ""53163""}"
mysql,tpe,5401,plain,false,6,133.83,242.24,131.22,28.134528160095215,"[12, 16, 20000, 32, 0.5]",15.851215362548828,12.258739233016968,0.0,"{""binlog_cache_size"": ""1428800109"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""9"", ""innodb_adaptive_max_sleep_delay"": ""612412"", ""innodb_buffer_pool_instances"": ""26"", ""innodb_buffer_pool_size"": ""4354214708"", ""innodb_change_buffer_max_size"": ""43"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""10659"", ""innodb_io_capacity_max"": ""31552"", ""innodb_log_write_ahead_size"": ""1730"", ""innodb_lru_scan_depth"": ""476"", ""innodb_max_dirty_pages_pct_lwm"": ""81"", ""innodb_purge_batch_size"": ""1779"", ""innodb_purge_rseg_truncate_frequency"": ""30"", ""innodb_stats_transient_sample_pages"": ""14"", ""innodb_thread_concurrency"": ""94"", ""join_buffer_size"": ""480960999"", ""key_cache_age_threshold"": ""10763"", ""max_allowed_packet"": ""402949993"", ""max_connections"": ""50530"", ""max_heap_table_size"": ""948195806"", ""max_prepared_stmt_count"": ""971786"", ""max_sort_length"": ""128354"", ""query_cache_limit"": ""61851078"", ""query_prealloc_size"": ""28191361"", ""sort_buffer_size"": ""31003680"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""93827482"", ""transaction_alloc_block_size"": ""78596""}"
mysql,tpe,5401,plain,false,7,125.22,258.84,122.61,25.525221586227417,"[12, 16, 20000, 32, 0.5]",13.140517473220825,12.270252704620361,0.0,"{""binlog_cache_size"": ""2881321922"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""43"", ""innodb_adaptive_max_sleep_delay"": ""328687"", ""innodb_buffer_pool_instances"": ""40"", ""innodb_buffer_pool_size"": ""6556013571"", ""innodb_change_buffer_max_size"": ""48"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""2591"", ""innodb_io_capacity_max"": ""23436"", ""innodb_log_write_ahead_size"": ""602"", ""innodb_lru_scan_depth"": ""8656"", ""innodb_max_dirty_pages_pct_lwm"": ""23"", ""innodb_purge_batch_size"": ""4830"", ""innodb_purge_rseg_truncate_frequency"": ""99"", ""innodb_stats_transient_sample_pages"": ""27"", ""innodb_thread_concurrency"": ""237"", ""join_buffer_size"": ""344346990"", ""key_cache_age_threshold"": ""11449"", ""max_allowed_packet"": ""758856184"", ""max_connections"": ""51350"", ""max_heap_table_size"": ""121832087"", ""max_prepared_stmt_count"": ""709368"", ""max_sort_length"": ""135048"", ""query_cache_limit"": ""61039007"", ""query_prealloc_size"": ""22306139"", ""sort_buffer_size"": ""100911016"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""185029071"", ""transaction_alloc_block_size"": ""68071""}"
mysql,tpe,5401,plain,false,8,170.53,189.34,167.9,12.526983261108398,"[12, 16, 20000, 32, 0.5]",0.3306081295013428,12.178067684173584,0.0,"{""binlog_cache_size"": ""750592799"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""19"", ""innodb_adaptive_max_sleep_delay"": ""949498"", ""innodb_buffer_pool_instances"": ""58"", ""innodb_buffer_pool_size"": ""5519677383"", ""innodb_change_buffer_max_size"": ""30"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""19911"", ""innodb_io_capacity_max"": ""9793"", ""innodb_log_write_ahead_size"": ""2439"", ""innodb_lru_scan_depth"": ""7703"", ""innodb_max_dirty_pages_pct_lwm"": ""92"", ""innodb_purge_batch_size"": ""4154"", ""innodb_purge_rseg_truncate_frequency"": ""14"", ""innodb_stats_transient_sample_pages"": ""19"", ""innodb_thread_concurrency"": ""748"", ""join_buffer_size"": ""632192042"", ""key_cache_age_threshold"": ""29352"", ""max_allowed_packet"": ""140161111"", ""max_connections"": ""73748"", ""max_heap_table_size"": ""420260680"", ""max_prepared_stmt_count"": ""224754"", ""max_sort_length"": ""86565"", ""query_cache_limit"": ""88009027"", ""query_prealloc_size"": ""134006441"", ""sort_buffer_size"": ""10287562"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""429511881"", ""transaction_alloc_block_size"": ""50696""}"
mysql,tpe,5401,plain,false,9,186.74,172.85,184.1,19.415597915649414,"[12, 16, 20000, 32, 0.5]",7.229039430618286,12.164575338363647,0.0,"{""binlog_cache_size"": ""393164737"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""59"", ""innodb_adaptive_max_sleep_delay"": ""930902"", ""innodb_buffer_pool_instances"": ""39"", ""innodb_buffer_pool_size"": ""9892783914"", ""innodb_change_buffer_max_size"": ""43"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""2"", ""innodb_io_capacity"": ""12545"", ""innodb_io_capacity_max"": ""18149"", ""innodb_log_write_ahead_size"": ""5756"", ""innodb_lru_scan_depth"": ""5477"", ""innodb_max_dirty_pages_pct_lwm"": ""35"", ""innodb_purge_batch_size"": ""2070"", ""innodb_purge_rseg_truncate_frequency"": ""101"", ""innodb_stats_transient_sample_pages"": ""24"", ""innodb_thread_concurrency"": ""56"", ""join_buffer_size"": ""605350690"", ""key_cache_age_threshold"": ""2829"", ""max_allowed_packet"": ""731420614"", ""max_connections"": ""92705"", ""max_heap_table_size"": ""43698733"", ""max_prepared_stmt_count"": ""487597"", ""max_sort_length"": ""71978"", ""query_cache_limit"": ""114576915"", ""query_prealloc_size"": ""92136358"", ""sort_buffer_size"": ""19508213"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""468862690"", ""transaction_alloc_block_size"": ""50972""}"
mysql,tpe,5401,plain,false,10,0.3,159211.74,0.2,329.1613562107086,"[12, 16, 20000, 32, 0.5]",13.712297201156616,315.4094088077545,0.0,"{""binlog_cache_size"": ""3778799654"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""35"", ""innodb_adaptive_max_sleep_delay"": ""286936"", ""innodb_buffer_pool_instances"": ""24"", ""innodb_buffer_pool_size"": ""13732126793"", ""innodb_change_buffer_max_size"": ""28"", ""innodb_change_buffering"": ""none"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""6803"", ""innodb_io_capacity_max"": ""19754"", ""innodb_log_write_ahead_size"": ""15379"", ""innodb_lru_scan_depth"": ""3023"", ""innodb_max_dirty_pages_pct_lwm"": ""58"", ""innodb_purge_batch_size"": ""4448"", ""innodb_purge_rseg_truncate_frequency"": ""53"", ""innodb_stats_transient_sample_pages"": ""43"", ""innodb_thread_concurrency"": ""406"", ""join_buffer_size"": ""509157587"", ""key_cache_age_threshold"": ""28948"", ""max_allowed_packet"": ""802721300"", ""max_connections"": ""87021"", ""max_heap_table_size"": ""783074638"", ""max_prepared_stmt_count"": ""200816"", ""max_sort_length"": ""260057"", ""query_cache_limit"": ""28244275"", ""query_prealloc_size"": ""9532359"", ""sort_buffer_size"": ""4965746"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""417734578"", ""transaction_alloc_block_size"": ""74431""}"
