system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,bo,9001,depaware,true,1,173.480897,5.764323,173.480897,46.094132,"[20, 50, 1000, 1, 0.5]",25.932974576950073,20.422277,0.0,"{""backend_flush_after"": ""36"", ""bgwriter_delay"": ""7413"", ""bgwriter_flush_after"": ""82"", ""bgwriter_lru_maxpages"": ""844062193"", ""bgwriter_lru_multiplier"": ""0"", ""checkpoint_completion_target"": ""0.253683"", ""checkpoint_flush_after"": ""0"", ""checkpoint_timeout"": ""632"", ""commit_delay"": ""47905"", ""commit_siblings"": ""243"", ""deadlock_timeout"": ""658120006"", ""default_statistics_target"": ""176"", ""effective_cache_size"": ""766940"", ""effective_io_concurrency"": ""123"", ""from_collapse_limit"": ""798709584"", ""join_collapse_limit"": ""1527915385"", ""maintenance_work_mem"": ""293034"", ""max_parallel_workers"": ""380"", ""max_parallel_workers_per_gather"": ""426"", ""max_wal_size"": ""2633"", ""max_worker_processes"": ""0"", ""min_wal_size"": ""3426"", ""random_page_cost"": ""62.462337"", ""seq_page_cost"": ""77.263684"", ""shared_buffers"": ""261551"", ""temp_buffers"": ""8507"", ""throughput__2"": ""173.480897"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""3674"", ""wal_writer_flush_after"": ""0"", ""work_mem"": ""101481""}"
postgresql,bo,9001,depaware,true,2,194.127258,5.151260,194.127258,42.790001,"[20, 50, 1000, 1, 0.5]",22.67305898666382,20.517601,0.0,"{""backend_flush_after"": ""33"", ""bgwriter_delay"": ""5859"", ""bgwriter_flush_after"": ""96"", ""bgwriter_lru_maxpages"": ""662774271"", ""bgwriter_lru_multiplier"": ""0.199989"", ""checkpoint_completion_target"": ""0.134617"", ""checkpoint_flush_after"": ""43"", ""checkpoint_timeout"": ""10400"", ""commit_delay"": ""49512"", ""commit_siblings"": ""180"", ""deadlock_timeout"": ""745452252"", ""default_statistics_target"": ""850"", ""effective_cache_size"": ""747322"", ""effective_io_concurrency"": ""575"", ""from_collapse_limit"": ""743165117"", ""join_collapse_limit"": ""1591217924"", ""maintenance_work_mem"": ""265439"", ""max_parallel_workers"": ""371"", ""max_parallel_workers_per_gather"": ""436"", ""max_wal_size"": ""2362"", ""max_worker_processes"": ""0"", ""min_wal_size"": ""4116"", ""random_page_cost"": ""21.695677"", ""seq_page_cost"": ""71.965439"", ""shared_buffers"": ""208514"", ""temp_buffers"": ""7719"", ""throughput__2"": ""194.127258"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""3846"", ""wal_writer_flush_after"": ""0"", ""work_mem"": ""449951""}"
postgresql,bo,9001,depaware,true,3,203.520229,4.913516,203.520229,40.318254,"[20, 50, 1000, 1, 0.5]",20.270177125930786,19.674089,0.0,"{""backend_flush_after"": ""28"", ""bgwriter_delay"": ""5412"", ""bgwriter_flush_after"": ""78"", ""bgwriter_lru_maxpages"": ""776087666"", ""bgwriter_lru_multiplier"": ""1.229945"", ""checkpoint_completion_target"": ""0.224214"", ""checkpoint_flush_after"": ""27"", ""checkpoint_timeout"": ""30"", ""commit_delay"": ""47714"", ""commit_siblings"": ""176"", ""deadlock_timeout"": ""728245673"", ""default_statistics_target"": ""1157"", ""effective_cache_size"": ""762517"", ""effective_io_concurrency"": ""565"", ""from_collapse_limit"": ""824816017"", ""join_collapse_limit"": ""1319076250"", ""maintenance_work_mem"": ""313522"", ""max_parallel_workers"": ""327"", ""max_parallel_workers_per_gather"": ""478"", ""max_wal_size"": ""2705"", ""max_worker_processes"": ""7"", ""min_wal_size"": ""3475"", ""random_page_cost"": ""58.123077"", ""seq_page_cost"": ""71.916036"", ""shared_buffers"": ""240340"", ""temp_buffers"": ""8501"", ""throughput__2"": ""203.520229"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""3092"", ""wal_writer_flush_after"": ""38694910"", ""work_mem"": ""146585""}"
postgresql,bo,9001,depaware,true,4,218.321171,4.580408,218.321171,37.153346,"[20, 50, 1000, 1, 0.5]",16.93913722038269,21.111349,0.0,"{""backend_flush_after"": ""235"", ""bgwriter_delay"": ""6065"", ""bgwriter_flush_after"": ""171"", ""bgwriter_lru_maxpages"": ""985446817"", ""bgwriter_lru_multiplier"": ""9.895018"", ""checkpoint_completion_target"": ""0.299877"", ""checkpoint_flush_after"": ""211"", ""checkpoint_timeout"": ""81571"", ""commit_delay"": ""45254"", ""commit_siblings"": ""410"", ""deadlock_timeout"": ""1320156167"", ""default_statistics_target"": ""7043"", ""effective_cache_size"": ""759440"", ""effective_io_concurrency"": ""618"", ""from_collapse_limit"": ""1364829780"", ""join_collapse_limit"": ""1867429794"", ""maintenance_work_mem"": ""597803"", ""max_parallel_workers"": ""930"", ""max_parallel_workers_per_gather"": ""591"", ""max_wal_size"": ""6237"", ""max_worker_processes"": ""574"", ""min_wal_size"": ""7119"", ""random_page_cost"": ""92.13992"", ""seq_page_cost"": ""68.072894"", ""shared_buffers"": ""691607"", ""temp_buffers"": ""5100"", ""throughput__2"": ""218.321171"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""8914"", ""wal_writer_flush_after"": ""1588120824"", ""work_mem"": ""969416""}"
postgresql,bo,9001,depaware,true,5,228.902636,4.368670,228.902636,39.720176,"[20, 50, 1000, 1, 0.5]",19.295254468917847,21.290720,0.0,"{""backend_flush_after"": ""37"", ""bgwriter_delay"": ""6227"", ""bgwriter_flush_after"": ""101"", ""bgwriter_lru_maxpages"": ""834356113"", ""bgwriter_lru_multiplier"": ""0.545136"", ""checkpoint_completion_target"": ""0.158902"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""9244"", ""commit_delay"": ""52779"", ""commit_siblings"": ""188"", ""deadlock_timeout"": ""693234531"", ""default_statistics_target"": ""71"", ""effective_cache_size"": ""759069"", ""effective_io_concurrency"": ""603"", ""from_collapse_limit"": ""636266598"", ""join_collapse_limit"": ""1516170118"", ""maintenance_work_mem"": ""173016"", ""max_parallel_workers"": ""356"", ""max_parallel_workers_per_gather"": ""466"", ""max_wal_size"": ""3127"", ""max_worker_processes"": ""26"", ""min_wal_size"": ""3462"", ""random_page_cost"": ""29.923348"", ""seq_page_cost"": ""66.125739"", ""shared_buffers"": ""393328"", ""temp_buffers"": ""8083"", ""throughput__2"": ""228.902636"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""2617"", ""wal_writer_flush_after"": ""63599334"", ""work_mem"": ""459076""}"
postgresql,bo,9001,depaware,true,6,188.004662,5.319017,188.004662,51.637780,"[20, 50, 1000, 1, 0.5]",31.45869278907776,19.102067,0.0,"{""backend_flush_after"": ""132"", ""bgwriter_delay"": ""7598"", ""bgwriter_flush_after"": ""179"", ""bgwriter_lru_maxpages"": ""425785823"", ""bgwriter_lru_multiplier"": ""1.097545"", ""checkpoint_completion_target"": ""0.883193"", ""checkpoint_flush_after"": ""227"", ""checkpoint_timeout"": ""47267"", ""commit_delay"": ""20808"", ""commit_siblings"": ""96"", ""deadlock_timeout"": ""1678132443"", ""default_statistics_target"": ""9054"", ""effective_cache_size"": ""356934"", ""effective_io_concurrency"": ""515"", ""from_collapse_limit"": ""751427118"", ""join_collapse_limit"": ""680219900"", ""maintenance_work_mem"": ""812486"", ""max_parallel_workers"": ""118"", ""max_parallel_workers_per_gather"": ""667"", ""max_wal_size"": ""1840"", ""max_worker_processes"": ""452"", ""min_wal_size"": ""5235"", ""random_page_cost"": ""20.976916"", ""seq_page_cost"": ""18.664881"", ""shared_buffers"": ""199136"", ""temp_buffers"": ""8451"", ""throughput__2"": ""188.004662"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""3445"", ""wal_writer_flush_after"": ""636894988"", ""work_mem"": ""432155""}"
postgresql,bo,9001,depaware,true,7,147.562636,6.776783,147.562636,43.217049,"[20, 50, 1000, 1, 0.5]",23.167304515838623,20.021623,0.0,"{""backend_flush_after"": ""50"", ""bgwriter_delay"": ""6003"", ""bgwriter_flush_after"": ""76"", ""bgwriter_lru_maxpages"": ""794018762"", ""bgwriter_lru_multiplier"": ""0"", ""checkpoint_completion_target"": ""0.224634"", ""checkpoint_flush_after"": ""21"", ""checkpoint_timeout"": ""30"", ""commit_delay"": ""47523"", ""commit_siblings"": ""159"", ""deadlock_timeout"": ""595678745"", ""default_statistics_target"": ""161"", ""effective_cache_size"": ""737495"", ""effective_io_concurrency"": ""599"", ""from_collapse_limit"": ""739446502"", ""join_collapse_limit"": ""1292183784"", ""maintenance_work_mem"": ""281989"", ""max_parallel_workers"": ""394"", ""max_parallel_workers_per_gather"": ""123"", ""max_wal_size"": ""2762"", ""max_worker_processes"": ""57"", ""min_wal_size"": ""1961"", ""random_page_cost"": ""64.807962"", ""seq_page_cost"": ""76.923081"", ""shared_buffers"": ""242620"", ""temp_buffers"": ""7883"", ""throughput__2"": ""147.562636"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""3544"", ""wal_writer_flush_after"": ""233126520"", ""work_mem"": ""13167""}"
postgresql,bo,9001,depaware,true,8,258.714669,3.865262,258.714669,56.584367,"[20, 50, 1000, 1, 0.5]",36.48336434364319,19.567570,0.0,"{""backend_flush_after"": ""225"", ""bgwriter_delay"": ""9381"", ""bgwriter_flush_after"": ""208"", ""bgwriter_lru_maxpages"": ""102058251"", ""bgwriter_lru_multiplier"": ""3.921536"", ""checkpoint_completion_target"": ""0.331999"", ""checkpoint_flush_after"": ""238"", ""checkpoint_timeout"": ""14474"", ""commit_delay"": ""69873"", ""commit_siblings"": ""472"", ""deadlock_timeout"": ""768817128"", ""default_statistics_target"": ""9450"", ""effective_cache_size"": ""132115"", ""effective_io_concurrency"": ""150"", ""from_collapse_limit"": ""902611900"", ""join_collapse_limit"": ""1007061206"", ""maintenance_work_mem"": ""334334"", ""max_parallel_workers"": ""92"", ""max_parallel_workers_per_gather"": ""147"", ""max_wal_size"": ""5342"", ""max_worker_processes"": ""172"", ""min_wal_size"": ""6318"", ""random_page_cost"": ""40.030086"", ""seq_page_cost"": ""0.889533"", ""shared_buffers"": ""237420"", ""temp_buffers"": ""9335"", ""throughput__2"": ""258.714669"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""5095"", ""wal_writer_flush_after"": ""717923403"", ""work_mem"": ""225872""}"
postgresql,bo,9001,depaware,true,9,267.908374,3.732619,267.908374,39.213601,"[20, 50, 1000, 1, 0.5]",19.101285219192505,21.180358,0.0,"{""backend_flush_after"": ""256"", ""bgwriter_delay"": ""6198"", ""bgwriter_flush_after"": ""168"", ""bgwriter_lru_maxpages"": ""1008596722"", ""bgwriter_lru_multiplier"": ""9.714564"", ""checkpoint_completion_target"": ""0.294469"", ""checkpoint_flush_after"": ""196"", ""checkpoint_timeout"": ""79991"", ""commit_delay"": ""54619"", ""commit_siblings"": ""339"", ""deadlock_timeout"": ""1297669145"", ""default_statistics_target"": ""8720"", ""effective_cache_size"": ""925857"", ""effective_io_concurrency"": ""517"", ""from_collapse_limit"": ""1404683258"", ""join_collapse_limit"": ""1901532913"", ""maintenance_work_mem"": ""96793"", ""max_parallel_workers"": ""882"", ""max_parallel_workers_per_gather"": ""612"", ""max_wal_size"": ""6597"", ""max_worker_processes"": ""617"", ""min_wal_size"": ""7003"", ""random_page_cost"": ""88.67841"", ""seq_page_cost"": ""60.657536"", ""shared_buffers"": ""655267"", ""temp_buffers"": ""5081"", ""throughput__2"": ""267.908374"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""9334"", ""wal_writer_flush_after"": ""1655917932"", ""work_mem"": ""953348""}"
postgresql,bo,9001,depaware,true,10,201.436698,4.964339,201.436698,41.948537,"[20, 50, 1000, 1, 0.5]",21.753175973892212,20.222316,0.0,"{""backend_flush_after"": ""46"", ""bgwriter_delay"": ""5667"", ""bgwriter_flush_after"": ""97"", ""bgwriter_lru_maxpages"": ""840271738"", ""bgwriter_lru_multiplier"": ""0"", ""checkpoint_completion_target"": ""0.244872"", ""checkpoint_flush_after"": ""16"", ""checkpoint_timeout"": ""8258"", ""commit_delay"": ""49658"", ""commit_siblings"": ""216"", ""deadlock_timeout"": ""571493202"", ""default_statistics_target"": ""1594"", ""effective_cache_size"": ""831958"", ""effective_io_concurrency"": ""557"", ""from_collapse_limit"": ""543469753"", ""join_collapse_limit"": ""1513847997"", ""maintenance_work_mem"": ""307662"", ""max_parallel_workers"": ""359"", ""max_parallel_workers_per_gather"": ""487"", ""max_wal_size"": ""2779"", ""max_worker_processes"": ""40"", ""min_wal_size"": ""2424"", ""random_page_cost"": ""5.705077"", ""seq_page_cost"": ""76.272037"", ""shared_buffers"": ""352438"", ""temp_buffers"": ""8127"", ""throughput__2"": ""201.436698"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""3567"", ""wal_writer_flush_after"": ""83437413"", ""work_mem"": ""504204""}"
