system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,bo,9001,plain,true,1,181.241078,5.517513,181.241078,36.949407,"[20, 50, 1000, 1, 0.5]",16.729387998580933,20.630633,0.0,"{""backend_flush_after"": ""26"", ""bgwriter_delay"": ""2451"", ""bgwriter_flush_after"": ""56"", ""bgwriter_lru_maxpages"": ""887178459"", ""bgwriter_lru_multiplier"": ""1.441972"", ""checkpoint_completion_target"": ""0.577867"", ""checkpoint_flush_after"": ""122"", ""checkpoint_timeout"": ""19129"", ""commit_delay"": ""82421"", ""commit_siblings"": ""717"", ""deadlock_timeout"": ""302306825"", ""default_statistics_target"": ""3055"", ""effective_cache_size"": ""670831"", ""effective_io_concurrency"": ""858"", ""from_collapse_limit"": ""283607352"", ""join_collapse_limit"": ""753604653"", ""maintenance_work_mem"": ""495449"", ""max_parallel_workers"": ""355"", ""max_parallel_workers_per_gather"": ""730"", ""max_wal_size"": ""7681"", ""max_worker_processes"": ""593"", ""min_wal_size"": ""6595"", ""random_page_cost"": ""73.931097"", ""seq_page_cost"": ""41.013062"", ""shared_buffers"": ""593414"", ""temp_buffers"": ""107"", ""throughput__2"": ""181.241078"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""6503"", ""wal_writer_flush_after"": ""4698878"", ""work_mem"": ""513810""}"
postgresql,bo,9001,plain,true,2,222.696538,4.490416,222.696538,36.300316,"[20, 50, 1000, 1, 0.5]",16.1510329246521,21.133672,0.0,"{""backend_flush_after"": ""23"", ""bgwriter_delay"": ""1247"", ""bgwriter_flush_after"": ""49"", ""bgwriter_lru_maxpages"": ""85559907"", ""bgwriter_lru_multiplier"": ""2.102084"", ""checkpoint_completion_target"": ""0.406374"", ""checkpoint_flush_after"": ""96"", ""checkpoint_timeout"": ""65981"", ""commit_delay"": ""11330"", ""commit_siblings"": ""178"", ""deadlock_timeout"": ""1263427354"", ""default_statistics_target"": ""5723"", ""effective_cache_size"": ""398166"", ""effective_io_concurrency"": ""191"", ""from_collapse_limit"": ""1321644035"", ""join_collapse_limit"": ""1764440292"", ""maintenance_work_mem"": ""658284"", ""max_parallel_workers"": ""295"", ""max_parallel_workers_per_gather"": ""260"", ""max_wal_size"": ""3024"", ""max_worker_processes"": ""171"", ""min_wal_size"": ""1512"", ""random_page_cost"": ""54.592324"", ""seq_page_cost"": ""79.906683"", ""shared_buffers"": ""48285"", ""temp_buffers"": ""1288"", ""throughput__2"": ""222.696538"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""1018"", ""wal_writer_flush_after"": ""657594087"", ""work_mem"": ""817143""}"
postgresql,bo,9001,plain,true,3,242.206805,4.128703,242.206805,34.047915,"[20, 50, 1000, 1, 0.5]",13.902557373046875,20.662099,0.0,"{""backend_flush_after"": ""25"", ""bgwriter_delay"": ""1061"", ""bgwriter_flush_after"": ""68"", ""bgwriter_lru_maxpages"": ""174549030"", ""bgwriter_lru_multiplier"": ""2.09779"", ""checkpoint_completion_target"": ""0.510872"", ""checkpoint_flush_after"": ""74"", ""checkpoint_timeout"": ""60173"", ""commit_delay"": ""19560"", ""commit_siblings"": ""239"", ""deadlock_timeout"": ""1275197589"", ""default_statistics_target"": ""6319"", ""effective_cache_size"": ""468061"", ""effective_io_concurrency"": ""234"", ""from_collapse_limit"": ""1288073542"", ""join_collapse_limit"": ""1920104458"", ""maintenance_work_mem"": ""643697"", ""max_parallel_workers"": ""271"", ""max_parallel_workers_per_gather"": ""189"", ""max_wal_size"": ""3426"", ""max_worker_processes"": ""126"", ""min_wal_size"": ""1197"", ""random_page_cost"": ""52.253973"", ""seq_page_cost"": ""83.870536"", ""shared_buffers"": ""39851"", ""temp_buffers"": ""954"", ""throughput__2"": ""242.206805"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""1455"", ""wal_writer_flush_after"": ""521455676"", ""work_mem"": ""817475""}"
postgresql,bo,9001,plain,true,4,251.761899,3.972007,251.761899,40.371977,"[20, 50, 1000, 1, 0.5]",20.255603313446045,20.060374,0.0,"{""backend_flush_after"": ""209"", ""bgwriter_delay"": ""9126"", ""bgwriter_flush_after"": ""180"", ""bgwriter_lru_maxpages"": ""733940222"", ""bgwriter_lru_multiplier"": ""9.597527"", ""checkpoint_completion_target"": ""0.248962"", ""checkpoint_flush_after"": ""244"", ""checkpoint_timeout"": ""74966"", ""commit_delay"": ""55952"", ""commit_siblings"": ""247"", ""deadlock_timeout"": ""1930560848"", ""default_statistics_target"": ""5462"", ""effective_cache_size"": ""635305"", ""effective_io_concurrency"": ""740"", ""from_collapse_limit"": ""292918170"", ""join_collapse_limit"": ""2062874552"", ""maintenance_work_mem"": ""928916"", ""max_parallel_workers"": ""1015"", ""max_parallel_workers_per_gather"": ""758"", ""max_wal_size"": ""2649"", ""max_worker_processes"": ""818"", ""min_wal_size"": ""7329"", ""random_page_cost"": ""81.067741"", ""seq_page_cost"": ""71.687243"", ""shared_buffers"": ""283800"", ""temp_buffers"": ""6234"", ""throughput__2"": ""251.761899"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""1836"", ""wal_writer_flush_after"": ""320394194"", ""work_mem"": ""124471""}"
postgresql,bo,9001,plain,true,5,261.450762,3.824812,261.450762,37.669449,"[20, 50, 1000, 1, 0.5]",17.495168924331665,18.847227,0.0,"{""backend_flush_after"": ""119"", ""bgwriter_delay"": ""10"", ""bgwriter_flush_after"": ""183"", ""bgwriter_lru_maxpages"": ""803302032"", ""bgwriter_lru_multiplier"": ""0.137259"", ""checkpoint_completion_target"": ""0"", ""checkpoint_flush_after"": ""209"", ""checkpoint_timeout"": ""58425"", ""commit_delay"": ""40339"", ""commit_siblings"": ""291"", ""deadlock_timeout"": ""1655318071"", ""default_statistics_target"": ""8132"", ""effective_cache_size"": ""340108"", ""effective_io_concurrency"": ""569"", ""from_collapse_limit"": ""97505823"", ""join_collapse_limit"": ""443839325"", ""maintenance_work_mem"": ""389058"", ""max_parallel_workers"": ""391"", ""max_parallel_workers_per_gather"": ""406"", ""max_wal_size"": ""2400"", ""max_worker_processes"": ""157"", ""min_wal_size"": ""6356"", ""random_page_cost"": ""73.284303"", ""seq_page_cost"": ""39.822574"", ""shared_buffers"": ""1030636"", ""temp_buffers"": ""5475"", ""throughput__2"": ""261.450762"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""6861"", ""wal_writer_flush_after"": ""444673132"", ""work_mem"": ""166191""}"
postgresql,bo,9001,plain,true,6,259.852090,3.848343,259.852090,38.034796,"[20, 50, 1000, 1, 0.5]",17.840399503707886,20.537740,0.0,"{""backend_flush_after"": ""39"", ""bgwriter_delay"": ""2235"", ""bgwriter_flush_after"": ""66"", ""bgwriter_lru_maxpages"": ""408981723"", ""bgwriter_lru_multiplier"": ""0.339516"", ""checkpoint_completion_target"": ""0.265953"", ""checkpoint_flush_after"": ""99"", ""checkpoint_timeout"": ""37319"", ""commit_delay"": ""44131"", ""commit_siblings"": ""177"", ""deadlock_timeout"": ""445090623"", ""default_statistics_target"": ""2253"", ""effective_cache_size"": ""68876"", ""effective_io_concurrency"": ""143"", ""from_collapse_limit"": ""607678843"", ""join_collapse_limit"": ""557553122"", ""maintenance_work_mem"": ""287093"", ""max_parallel_workers"": ""220"", ""max_parallel_workers_per_gather"": ""1"", ""max_wal_size"": ""6403"", ""max_worker_processes"": ""0"", ""min_wal_size"": ""2810"", ""random_page_cost"": ""76.129486"", ""seq_page_cost"": ""5.374732"", ""shared_buffers"": ""410350"", ""temp_buffers"": ""526"", ""throughput__2"": ""259.852090"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""880"", ""wal_writer_flush_after"": ""11724684"", ""work_mem"": ""738651""}"
postgresql,bo,9001,plain,true,7,260.573770,3.837685,260.573770,37.742251,"[20, 50, 1000, 1, 0.5]",17.59339690208435,19.974634,0.0,"{""backend_flush_after"": ""92"", ""bgwriter_delay"": ""5624"", ""bgwriter_flush_after"": ""122"", ""bgwriter_lru_maxpages"": ""328982218"", ""bgwriter_lru_multiplier"": ""5.599242"", ""checkpoint_completion_target"": ""0.504154"", ""checkpoint_flush_after"": ""112"", ""checkpoint_timeout"": ""61068"", ""commit_delay"": ""33518"", ""commit_siblings"": ""39"", ""deadlock_timeout"": ""102732556"", ""default_statistics_target"": ""6493"", ""effective_cache_size"": ""820078"", ""effective_io_concurrency"": ""760"", ""from_collapse_limit"": ""1525759672"", ""join_collapse_limit"": ""1470327420"", ""maintenance_work_mem"": ""260764"", ""max_parallel_workers"": ""835"", ""max_parallel_workers_per_gather"": ""91"", ""max_wal_size"": ""2558"", ""max_worker_processes"": ""41"", ""min_wal_size"": ""7777"", ""random_page_cost"": ""34.148751"", ""seq_page_cost"": ""15.051049"", ""shared_buffers"": ""184854"", ""temp_buffers"": ""5644"", ""throughput__2"": ""260.573770"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""2191"", ""wal_writer_flush_after"": ""240973086"", ""work_mem"": ""361144""}"
postgresql,bo,9001,plain,true,8,267.384064,3.739939,267.384064,46.140340,"[20, 50, 1000, 1, 0.5]",26.055922269821167,20.281444,0.0,"{""backend_flush_after"": ""195"", ""bgwriter_delay"": ""7248"", ""bgwriter_flush_after"": ""133"", ""bgwriter_lru_maxpages"": ""359942225"", ""bgwriter_lru_multiplier"": ""4.171004"", ""checkpoint_completion_target"": ""0.147079"", ""checkpoint_flush_after"": ""247"", ""checkpoint_timeout"": ""30025"", ""commit_delay"": ""22781"", ""commit_siblings"": ""448"", ""deadlock_timeout"": ""1720086877"", ""default_statistics_target"": ""5132"", ""effective_cache_size"": ""19453"", ""effective_io_concurrency"": ""921"", ""from_collapse_limit"": ""420619381"", ""join_collapse_limit"": ""1069369207"", ""maintenance_work_mem"": ""727774"", ""max_parallel_workers"": ""788"", ""max_parallel_workers_per_gather"": ""69"", ""max_wal_size"": ""4405"", ""max_worker_processes"": ""72"", ""min_wal_size"": ""4899"", ""random_page_cost"": ""52.386653"", ""seq_page_cost"": ""87.959885"", ""shared_buffers"": ""417187"", ""temp_buffers"": ""2582"", ""throughput__2"": ""267.384064"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""9213"", ""wal_writer_flush_after"": ""1136852819"", ""work_mem"": ""916001""}"
postgresql,bo,9001,plain,true,9,277.351663,3.605531,277.351663,37.251193,"[20, 50, 1000, 1, 0.5]",17.116843700408936,19.556955,0.0,"{""backend_flush_after"": ""15"", ""bgwriter_delay"": ""804"", ""bgwriter_flush_after"": ""159"", ""bgwriter_lru_maxpages"": ""258160267"", ""bgwriter_lru_multiplier"": ""2.9822"", ""checkpoint_completion_target"": ""0.28613"", ""checkpoint_flush_after"": ""72"", ""checkpoint_timeout"": ""16353"", ""commit_delay"": ""70214"", ""commit_siblings"": ""321"", ""deadlock_timeout"": ""702641872"", ""default_statistics_target"": ""9193"", ""effective_cache_size"": ""345167"", ""effective_io_concurrency"": ""697"", ""from_collapse_limit"": ""174213163"", ""join_collapse_limit"": ""1532561177"", ""maintenance_work_mem"": ""890764"", ""max_parallel_workers"": ""645"", ""max_parallel_workers_per_gather"": ""59"", ""max_wal_size"": ""3771"", ""max_worker_processes"": ""667"", ""min_wal_size"": ""3233"", ""random_page_cost"": ""23.97748"", ""seq_page_cost"": ""84.810656"", ""shared_buffers"": ""231294"", ""temp_buffers"": ""2196"", ""throughput__2"": ""277.351663"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""7207"", ""wal_writer_flush_after"": ""578518946"", ""work_mem"": ""574797""}"
postgresql,bo,9001,plain,true,10,187.168783,5.342771,187.168783,35.899569,"[20, 50, 1000, 1, 0.5]",15.674731731414795,19.510860,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""3271"", ""bgwriter_flush_after"": ""21"", ""bgwriter_lru_maxpages"": ""780671465"", ""bgwriter_lru_multiplier"": ""1.213099"", ""checkpoint_completion_target"": ""0.730646"", ""checkpoint_flush_after"": ""148"", ""checkpoint_timeout"": ""30"", ""commit_delay"": ""100000"", ""commit_siblings"": ""260"", ""deadlock_timeout"": ""1116277427"", ""default_statistics_target"": ""3424"", ""effective_cache_size"": ""925652"", ""effective_io_concurrency"": ""623"", ""from_collapse_limit"": ""631007622"", ""join_collapse_limit"": ""669577078"", ""maintenance_work_mem"": ""456764"", ""max_parallel_workers"": ""227"", ""max_parallel_workers_per_gather"": ""485"", ""max_wal_size"": ""6656"", ""max_worker_processes"": ""221"", ""min_wal_size"": ""2"", ""random_page_cost"": ""85.704953"", ""seq_page_cost"": ""19.501422"", ""shared_buffers"": ""905912"", ""temp_buffers"": ""7312"", ""throughput__2"": ""187.168783"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""4098"", ""wal_writer_flush_after"": ""811095388"", ""work_mem"": ""607746""}"
