system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,tpe,1,plain,false,1,1315.82,3.03,328.95,35.641279220581055,"[20, 50, 1000, 1, 0.5]",15.581252098083496,20.023622035980225,0.0,"{""backend_flush_after"": ""32"", ""bgwriter_delay"": ""9962"", ""bgwriter_flush_after"": ""228"", ""bgwriter_lru_maxpages"": ""219531151"", ""bgwriter_lru_multiplier"": ""0.22322111021323865"", ""checkpoint_completion_target"": ""0.13436424411240122"", ""checkpoint_flush_after"": ""48"", ""checkpoint_timeout"": ""34938"", ""commit_delay"": ""51093"", ""commit_siblings"": ""214"", ""deadlock_timeout"": ""1549495424"", ""default_statistics_target"": ""35"", ""effective_cache_size"": ""945216"", ""effective_io_concurrency"": ""665"", ""from_collapse_limit"": ""1636984003"", ""join_collapse_limit"": ""929360196"", ""maintenance_work_mem"": ""268483"", ""max_parallel_workers"": ""780"", ""max_parallel_workers_per_gather"": ""241"", ""max_wal_size"": ""2602"", ""max_worker_processes"": ""18"", ""min_wal_size"": ""4060"", ""random_page_cost"": ""37.96152233237278"", ""seq_page_cost"": ""48.78566565241476"", ""shared_buffers"": ""567728"", ""temp_buffers"": ""3848"", ""throughput__2"": ""328.95"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""7738"", ""wal_writer_flush_after"": ""1930549411"", ""work_mem"": ""683308""}"
postgresql,tpe,1,plain,false,2,1305.53,3.06,326.38,35.243690490722656,"[20, 50, 1000, 1, 0.5]",15.193053722381592,20.02245330810547,0.0,"{""backend_flush_after"": ""216"", ""bgwriter_delay"": ""7540"", ""bgwriter_flush_after"": ""11"", ""bgwriter_lru_maxpages"": ""214748959"", ""bgwriter_lru_multiplier"": ""1.2088995980580641"", ""checkpoint_completion_target"": ""0.6864838541790798"", ""checkpoint_flush_after"": ""176"", ""checkpoint_timeout"": ""54579"", ""commit_delay"": ""28676"", ""commit_siblings"": ""238"", ""deadlock_timeout"": ""1798685008"", ""default_statistics_target"": ""4748"", ""effective_cache_size"": ""194937"", ""effective_io_concurrency"": ""340"", ""from_collapse_limit"": ""2044929404"", ""join_collapse_limit"": ""1634122830"", ""maintenance_work_mem"": ""762135"", ""max_parallel_workers"": ""388"", ""max_parallel_workers_per_gather"": ""59"", ""max_wal_size"": ""5157"", ""max_worker_processes"": ""864"", ""min_wal_size"": ""4324"", ""random_page_cost"": ""49.581224138185064"", ""seq_page_cost"": ""23.08665415409843"", ""shared_buffers"": ""939094"", ""temp_buffers"": ""9216"", ""throughput__2"": ""326.38"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""7175"", ""wal_writer_flush_after"": ""952158461"", ""work_mem"": ""984851""}"
postgresql,tpe,1,plain,false,3,1307.64,3.05,326.91,35.26936674118042,"[20, 50, 1000, 1, 0.5]",15.20595908164978,20.01979112625122,0.0,"{""backend_flush_after"": ""255"", ""bgwriter_delay"": ""6149"", ""bgwriter_flush_after"": ""55"", ""bgwriter_lru_maxpages"": ""795691372"", ""bgwriter_lru_multiplier"": ""4.693201411030239"", ""checkpoint_completion_target"": ""0.3033685109329176"", ""checkpoint_flush_after"": ""212"", ""checkpoint_timeout"": ""21486"", ""commit_delay"": ""48119"", ""commit_siblings"": ""413"", ""deadlock_timeout"": ""1118706723"", ""default_statistics_target"": ""7192"", ""effective_cache_size"": ""513481"", ""effective_io_concurrency"": ""315"", ""from_collapse_limit"": ""185687741"", ""join_collapse_limit"": ""1178536360"", ""maintenance_work_mem"": ""888326"", ""max_parallel_workers"": ""348"", ""max_parallel_workers_per_gather"": ""805"", ""max_wal_size"": ""6004"", ""max_worker_processes"": ""806"", ""min_wal_size"": ""4827"", ""random_page_cost"": ""74.37306552931983"", ""seq_page_cost"": ""66.47435216084673"", ""shared_buffers"": ""737565"", ""temp_buffers"": ""6543"", ""throughput__2"": ""326.91"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""7869"", ""wal_writer_flush_after"": ""148287319"", ""work_mem"": ""254595""}"
postgresql,tpe,1,plain,false,4,1298.63,3.08,324.66,35.14439034461975,"[20, 50, 1000, 1, 0.5]",15.092106819152832,20.023542165756226,0.0,"{""backend_flush_after"": ""116"", ""bgwriter_delay"": ""8988"", ""bgwriter_flush_after"": ""196"", ""bgwriter_lru_maxpages"": ""441276232"", ""bgwriter_lru_multiplier"": ""4.811018174142402"", ""checkpoint_completion_target"": ""0.16859429703830597"", ""checkpoint_flush_after"": ""180"", ""checkpoint_timeout"": ""67204"", ""commit_delay"": ""35294"", ""commit_siblings"": ""867"", ""deadlock_timeout"": ""1737614709"", ""default_statistics_target"": ""94"", ""effective_cache_size"": ""446789"", ""effective_io_concurrency"": ""373"", ""from_collapse_limit"": ""1307699046"", ""join_collapse_limit"": ""1415653026"", ""maintenance_work_mem"": ""13923"", ""max_parallel_workers"": ""846"", ""max_parallel_workers_per_gather"": ""408"", ""max_wal_size"": ""7782"", ""max_worker_processes"": ""409"", ""min_wal_size"": ""4422"", ""random_page_cost"": ""34.38258912598147"", ""seq_page_cost"": ""45.91317319106684"", ""shared_buffers"": ""597703"", ""temp_buffers"": ""2217"", ""throughput__2"": ""324.66"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""6627"", ""wal_writer_flush_after"": ""997188871"", ""work_mem"": ""538792""}"
postgresql,tpe,1,plain,false,5,1320.86,3.02,330.22,31.668692111968994,"[20, 50, 1000, 1, 0.5]",11.619894742965698,20.020779609680176,0.0,"{""backend_flush_after"": ""182"", ""bgwriter_delay"": ""1510"", ""bgwriter_flush_after"": ""130"", ""bgwriter_lru_maxpages"": ""178743945"", ""bgwriter_lru_multiplier"": ""0.14559974924812313"", ""checkpoint_completion_target"": ""0.48492511222773416"", ""checkpoint_flush_after"": ""90"", ""checkpoint_timeout"": ""4284"", ""commit_delay"": ""23695"", ""commit_siblings"": ""235"", ""deadlock_timeout"": ""1807633249"", ""default_statistics_target"": ""9029"", ""effective_cache_size"": ""910246"", ""effective_io_concurrency"": ""773"", ""from_collapse_limit"": ""1714634572"", ""join_collapse_limit"": ""1849002454"", ""maintenance_work_mem"": ""435579"", ""max_parallel_workers"": ""550"", ""max_parallel_workers_per_gather"": ""708"", ""max_wal_size"": ""138"", ""max_worker_processes"": ""511"", ""min_wal_size"": ""14"", ""random_page_cost"": ""2.797498408384236"", ""seq_page_cost"": ""55.07562651072507"", ""shared_buffers"": ""294872"", ""temp_buffers"": ""1254"", ""throughput__2"": ""330.22"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""7507"", ""wal_writer_flush_after"": ""1422224538"", ""work_mem"": ""629057""}"
postgresql,tpe,1,plain,false,6,1327.41,3.01,331.85,30.953680515289307,"[20, 50, 1000, 1, 0.5]",10.891621828079224,20.01972723007202,0.0,"{""backend_flush_after"": ""94"", ""bgwriter_delay"": ""5285"", ""bgwriter_flush_after"": ""58"", ""bgwriter_lru_maxpages"": ""737322342"", ""bgwriter_lru_multiplier"": ""2.584208332654959"", ""checkpoint_completion_target"": ""0.10948862729435938"", ""checkpoint_flush_after"": ""139"", ""checkpoint_timeout"": ""3127"", ""commit_delay"": ""38599"", ""commit_siblings"": ""172"", ""deadlock_timeout"": ""670025486"", ""default_statistics_target"": ""7763"", ""effective_cache_size"": ""441366"", ""effective_io_concurrency"": ""259"", ""from_collapse_limit"": ""1066212016"", ""join_collapse_limit"": ""976464318"", ""maintenance_work_mem"": ""362177"", ""max_parallel_workers"": ""884"", ""max_parallel_workers_per_gather"": ""594"", ""max_wal_size"": ""6524"", ""max_worker_processes"": ""428"", ""min_wal_size"": ""571"", ""random_page_cost"": ""52.73803990480128"", ""seq_page_cost"": ""64.82028045623743"", ""shared_buffers"": ""943544"", ""temp_buffers"": ""6433"", ""throughput__2"": ""331.85"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""2616"", ""wal_writer_flush_after"": ""719279514"", ""work_mem"": ""267677""}"
postgresql,tpe,1,plain,false,7,1320.2,3.02,330.05,30.94158673286438,"[20, 50, 1000, 1, 0.5]",10.892447710037231,20.020127534866333,0.0,"{""backend_flush_after"": ""10"", ""bgwriter_delay"": ""8473"", ""bgwriter_flush_after"": ""15"", ""bgwriter_lru_maxpages"": ""689870122"", ""bgwriter_lru_multiplier"": ""0.587851162064913"", ""checkpoint_completion_target"": ""0.8170396683778869"", ""checkpoint_flush_after"": ""218"", ""checkpoint_timeout"": ""51790"", ""commit_delay"": ""28914"", ""commit_siblings"": ""456"", ""deadlock_timeout"": ""1449342252"", ""default_statistics_target"": ""3657"", ""effective_cache_size"": ""691876"", ""effective_io_concurrency"": ""305"", ""from_collapse_limit"": ""968182334"", ""join_collapse_limit"": ""2098040313"", ""maintenance_work_mem"": ""237345"", ""max_parallel_workers"": ""97"", ""max_parallel_workers_per_gather"": ""36"", ""max_wal_size"": ""5170"", ""max_worker_processes"": ""434"", ""min_wal_size"": ""3256"", ""random_page_cost"": ""95.98933172242909"", ""seq_page_cost"": ""54.47021635789044"", ""shared_buffers"": ""131804"", ""temp_buffers"": ""9534"", ""throughput__2"": ""330.05"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""579"", ""wal_writer_flush_after"": ""629048404"", ""work_mem"": ""753817""}"
postgresql,tpe,1,plain,false,8,1324.86,3.01,331.22,31.09027886390686,"[20, 50, 1000, 1, 0.5]",11.039417505264282,20.018259286880493,0.0,"{""backend_flush_after"": ""39"", ""bgwriter_delay"": ""9353"", ""bgwriter_flush_after"": ""19"", ""bgwriter_lru_maxpages"": ""212655351"", ""bgwriter_lru_multiplier"": ""5.914093121448057"", ""checkpoint_completion_target"": ""0.30638662033324593"", ""checkpoint_flush_after"": ""19"", ""checkpoint_timeout"": ""49571"", ""commit_delay"": ""28520"", ""commit_siblings"": ""8"", ""deadlock_timeout"": ""430371743"", ""default_statistics_target"": ""2811"", ""effective_cache_size"": ""215757"", ""effective_io_concurrency"": ""504"", ""from_collapse_limit"": ""989673197"", ""join_collapse_limit"": ""2066311173"", ""maintenance_work_mem"": ""326463"", ""max_parallel_workers"": ""606"", ""max_parallel_workers_per_gather"": ""610"", ""max_wal_size"": ""4699"", ""max_worker_processes"": ""798"", ""min_wal_size"": ""6095"", ""random_page_cost"": ""25.235810227983535"", ""seq_page_cost"": ""59.058397128741525"", ""shared_buffers"": ""109512"", ""temp_buffers"": ""5784"", ""throughput__2"": ""331.22"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""6819"", ""wal_writer_flush_after"": ""679495568"", ""work_mem"": ""592447""}"
postgresql,tpe,1,plain,false,9,1303.19,3.06,325.8,35.5060498714447,"[20, 50, 1000, 1, 0.5]",15.44388461112976,20.02071452140808,0.0,"{""backend_flush_after"": ""8"", ""bgwriter_delay"": ""1589"", ""bgwriter_flush_after"": ""176"", ""bgwriter_lru_maxpages"": ""503886500"", ""bgwriter_lru_multiplier"": ""0.846802304164842"", ""checkpoint_completion_target"": ""0.5041073672458524"", ""checkpoint_flush_after"": ""69"", ""checkpoint_timeout"": ""70065"", ""commit_delay"": ""27922"", ""commit_siblings"": ""335"", ""deadlock_timeout"": ""1040453084"", ""default_statistics_target"": ""6214"", ""effective_cache_size"": ""68496"", ""effective_io_concurrency"": ""173"", ""from_collapse_limit"": ""1798949356"", ""join_collapse_limit"": ""572380515"", ""maintenance_work_mem"": ""342173"", ""max_parallel_workers"": ""548"", ""max_parallel_workers_per_gather"": ""823"", ""max_wal_size"": ""5945"", ""max_worker_processes"": ""436"", ""min_wal_size"": ""7372"", ""random_page_cost"": ""20.08530114407594"", ""seq_page_cost"": ""33.90956478509337"", ""shared_buffers"": ""174659"", ""temp_buffers"": ""8824"", ""throughput__2"": ""325.8"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""297"", ""wal_writer_flush_after"": ""1208396417"", ""work_mem"": ""164654""}"
postgresql,tpe,1,plain,false,10,1328.97,3.0,332.24,31.954634189605713,"[20, 50, 1000, 1, 0.5]",11.900817394256592,20.024389505386353,0.0,"{""backend_flush_after"": ""130"", ""bgwriter_delay"": ""1718"", ""bgwriter_flush_after"": ""208"", ""bgwriter_lru_maxpages"": ""268472504"", ""bgwriter_lru_multiplier"": ""0.7665163703845079"", ""checkpoint_completion_target"": ""0.7591161827164402"", ""checkpoint_flush_after"": ""250"", ""checkpoint_timeout"": ""9623"", ""commit_delay"": ""72243"", ""commit_siblings"": ""618"", ""deadlock_timeout"": ""816538224"", ""default_statistics_target"": ""642"", ""effective_cache_size"": ""357457"", ""effective_io_concurrency"": ""563"", ""from_collapse_limit"": ""688753749"", ""join_collapse_limit"": ""1654106080"", ""maintenance_work_mem"": ""387013"", ""max_parallel_workers"": ""546"", ""max_parallel_workers_per_gather"": ""693"", ""max_wal_size"": ""941"", ""max_worker_processes"": ""167"", ""min_wal_size"": ""2789"", ""random_page_cost"": ""86.74198235869028"", ""seq_page_cost"": ""13.534597739545296"", ""shared_buffers"": ""234597"", ""temp_buffers"": ""2513"", ""throughput__2"": ""332.24"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""4772"", ""wal_writer_flush_after"": ""489252232"", ""work_mem"": ""246678""}"
