system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
tomcat,bo,9001,depaware,true,1,1465.802963,0.682220,1465.802963,10.170622,"[8, 50, 10, False]",0.0,9.781061,0.0,"{""acceptCount"": ""581"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""5139"", ""connectionTimeout"": ""99809"", ""connectionUploadTimeout"": ""467322"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""80698"", ""keepAliveTimeout"": ""149414"", ""maxConnections"": ""8711"", ""maxHeaderCount"": ""1000"", ""maxHttpHeaderSize"": ""12537"", ""maxHttpRequestHeaderSize"": ""588"", ""maxHttpResponseHeaderSize"": ""35497"", ""maxKeepAliveRequests"": ""5000"", ""maxParameterCount"": ""100"", ""maxSwallowSize"": ""17809952"", ""maxThreads"": ""162"", ""minSpareThreads"": ""93"", ""processorCache"": ""124"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""1"", ""threadsMaxIdleTime"": ""28755"", ""throughput__2"": ""1465.802963"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,depaware,true,2,1609.790182,0.621199,1609.790182,10.121398,"[8, 50, 10, False]",0.0,9.979614,0.0,"{""acceptCount"": ""260"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""8240"", ""connectionTimeout"": ""94914"", ""connectionUploadTimeout"": ""122133"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""178927"", ""keepAliveTimeout"": ""239528"", ""maxConnections"": ""8706"", ""maxHeaderCount"": ""547"", ""maxHttpHeaderSize"": ""27960"", ""maxHttpRequestHeaderSize"": ""35905"", ""maxHttpResponseHeaderSize"": ""54724"", ""maxKeepAliveRequests"": ""1612"", ""maxParameterCount"": ""83603"", ""maxSwallowSize"": ""5304211"", ""maxThreads"": ""77"", ""minSpareThreads"": ""465"", ""processorCache"": ""335"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""3"", ""threadsMaxIdleTime"": ""350230"", ""throughput__2"": ""1609.790182"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,depaware,true,3,1655.052377,0.604210,1655.052377,10.064225,"[8, 50, 10, False]",0.0,10.613036,0.0,"{""acceptCount"": ""501"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""1952"", ""connectionTimeout"": ""448109"", ""connectionUploadTimeout"": ""547558"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""327656"", ""keepAliveTimeout"": ""302608"", ""maxConnections"": ""7938"", ""maxHeaderCount"": ""235"", ""maxHttpHeaderSize"": ""36976"", ""maxHttpRequestHeaderSize"": ""52129"", ""maxHttpResponseHeaderSize"": ""33159"", ""maxKeepAliveRequests"": ""1957"", ""maxParameterCount"": ""55702"", ""maxSwallowSize"": ""6049789"", ""maxThreads"": ""162"", ""minSpareThreads"": ""546"", ""processorCache"": ""377"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""385360"", ""throughput__2"": ""1655.052377"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,depaware,true,4,1726.421918,0.579233,1726.421918,10.166251,"[8, 50, 10, False]",0.0,9.540765,0.0,"{""acceptCount"": ""151"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""5919"", ""connectionTimeout"": ""460328"", ""connectionUploadTimeout"": ""293917"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""197250"", ""keepAliveTimeout"": ""162373"", ""maxConnections"": ""18283"", ""maxHeaderCount"": ""52"", ""maxHttpHeaderSize"": ""5376"", ""maxHttpRequestHeaderSize"": ""28639"", ""maxHttpResponseHeaderSize"": ""31251"", ""maxKeepAliveRequests"": ""1342"", ""maxParameterCount"": ""65333"", ""maxSwallowSize"": ""6139594"", ""maxThreads"": ""91"", ""minSpareThreads"": ""662"", ""processorCache"": ""254"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""102181"", ""throughput__2"": ""1726.421918"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,depaware,true,5,1793.774315,0.557484,1793.774315,10.076073,"[8, 50, 10, False]",0.0,9.478697,0.0,"{""acceptCount"": ""836"", ""allowBackslash"": ""FALSE"", ""compression"": ""off"", ""compressionMinSize"": ""5846"", ""connectionTimeout"": ""183510"", ""connectionUploadTimeout"": ""484433"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""575213"", ""keepAliveTimeout"": ""74494"", ""maxConnections"": ""16289"", ""maxHeaderCount"": ""846"", ""maxHttpHeaderSize"": ""5946"", ""maxHttpRequestHeaderSize"": ""38025"", ""maxHttpResponseHeaderSize"": ""34074"", ""maxKeepAliveRequests"": ""2148"", ""maxParameterCount"": ""2876"", ""maxSwallowSize"": ""3502374"", ""maxThreads"": ""214"", ""minSpareThreads"": ""290"", ""processorCache"": ""253"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""3"", ""threadsMaxIdleTime"": ""50523"", ""throughput__2"": ""1793.774315"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,depaware,true,6,1184.513093,0.844229,1184.513093,10.227330,"[8, 50, 10, False]",0.0,10.417197,0.0,"{""acceptCount"": ""854"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""7220"", ""connectionTimeout"": ""236454"", ""connectionUploadTimeout"": ""237670"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""395188"", ""keepAliveTimeout"": ""252857"", ""maxConnections"": ""4432"", ""maxHeaderCount"": ""176"", ""maxHttpHeaderSize"": ""24809"", ""maxHttpRequestHeaderSize"": ""38537"", ""maxHttpResponseHeaderSize"": ""50381"", ""maxKeepAliveRequests"": ""2474"", ""maxParameterCount"": ""36860"", ""maxSwallowSize"": ""9541019"", ""maxThreads"": ""165"", ""minSpareThreads"": ""621"", ""processorCache"": ""372"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""10"", ""threadsMaxIdleTime"": ""268470"", ""throughput__2"": ""1184.513093"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,depaware,true,7,1121.550254,0.891623,1121.550254,10.123056,"[8, 50, 10, False]",0.0,9.890511,0.0,"{""acceptCount"": ""1"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""2815"", ""connectionTimeout"": ""533396"", ""connectionUploadTimeout"": ""131446"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""176559"", ""keepAliveTimeout"": ""181057"", ""maxConnections"": ""787"", ""maxHeaderCount"": ""829"", ""maxHttpHeaderSize"": ""19233"", ""maxHttpRequestHeaderSize"": ""37957"", ""maxHttpResponseHeaderSize"": ""33040"", ""maxKeepAliveRequests"": ""1058"", ""maxParameterCount"": ""81859"", ""maxSwallowSize"": ""5467229"", ""maxThreads"": ""1"", ""minSpareThreads"": ""770"", ""processorCache"": ""75"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""335391"", ""throughput__2"": ""1121.550254"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,depaware,true,8,1184.693893,0.844100,1184.693893,10.113676,"[8, 50, 10, False]",0.0,9.914609,0.0,"{""acceptCount"": ""732"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""1784"", ""connectionTimeout"": ""434093"", ""connectionUploadTimeout"": ""192322"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""352310"", ""keepAliveTimeout"": ""531227"", ""maxConnections"": ""10685"", ""maxHeaderCount"": ""454"", ""maxHttpHeaderSize"": ""53508"", ""maxHttpRequestHeaderSize"": ""60583"", ""maxHttpResponseHeaderSize"": ""58077"", ""maxKeepAliveRequests"": ""982"", ""maxParameterCount"": ""46585"", ""maxSwallowSize"": ""9508430"", ""maxThreads"": ""9"", ""minSpareThreads"": ""235"", ""processorCache"": ""19"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""254987"", ""throughput__2"": ""1184.693893"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,depaware,true,9,1187.640515,0.842006,1187.640515,10.055558,"[8, 50, 10, False]",0.0,10.442339,0.0,"{""acceptCount"": ""1000"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""2755"", ""connectionTimeout"": ""442677"", ""connectionUploadTimeout"": ""115108"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""563822"", ""keepAliveTimeout"": ""219992"", ""maxConnections"": ""10145"", ""maxHeaderCount"": ""432"", ""maxHttpHeaderSize"": ""30626"", ""maxHttpRequestHeaderSize"": ""52644"", ""maxHttpResponseHeaderSize"": ""34935"", ""maxKeepAliveRequests"": ""4342"", ""maxParameterCount"": ""10972"", ""maxSwallowSize"": ""1025492"", ""maxThreads"": ""390"", ""minSpareThreads"": ""595"", ""processorCache"": ""185"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""134857"", ""throughput__2"": ""1187.640515"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,depaware,true,10,1258.407287,0.794655,1258.407287,10.104194,"[8, 50, 10, False]",0.0,9.700722,0.0,"{""acceptCount"": ""915"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""3577"", ""connectionTimeout"": ""335312"", ""connectionUploadTimeout"": ""412852"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""167996"", ""keepAliveTimeout"": ""104374"", ""maxConnections"": ""722"", ""maxHeaderCount"": ""493"", ""maxHttpHeaderSize"": ""39872"", ""maxHttpRequestHeaderSize"": ""50183"", ""maxHttpResponseHeaderSize"": ""36277"", ""maxKeepAliveRequests"": ""3279"", ""maxParameterCount"": ""29980"", ""maxSwallowSize"": ""10719611"", ""maxThreads"": ""165"", ""minSpareThreads"": ""544"", ""processorCache"": ""61"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""407975"", ""throughput__2"": ""1258.407287"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
