system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
tomcat,bo,9001,plain,true,1,1210.800555,0.825900,1210.800555,10.111349,"[8, 50, 10, False]",0.0,9.834428,0.0,"{""acceptCount"": ""317"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""1"", ""connectionTimeout"": ""253643"", ""connectionUploadTimeout"": ""28538"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""116358"", ""keepAliveTimeout"": ""64993"", ""maxConnections"": ""3497"", ""maxHeaderCount"": ""664"", ""maxHttpHeaderSize"": ""23056"", ""maxHttpRequestHeaderSize"": ""43662"", ""maxHttpResponseHeaderSize"": ""25227"", ""maxKeepAliveRequests"": ""912"", ""maxParameterCount"": ""36435"", ""maxSwallowSize"": ""14420991"", ""maxThreads"": ""87"", ""minSpareThreads"": ""0"", ""processorCache"": ""340"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""157875"", ""throughput__2"": ""1210.800555"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,plain,true,2,1360.435166,0.735059,1360.435166,10.138927,"[8, 50, 10, False]",0.0,9.771784,0.0,"{""acceptCount"": ""770"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""1732"", ""connectionTimeout"": ""412481"", ""connectionUploadTimeout"": ""274668"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""364062"", ""keepAliveTimeout"": ""451794"", ""maxConnections"": ""4484"", ""maxHeaderCount"": ""58"", ""maxHttpHeaderSize"": ""60197"", ""maxHttpRequestHeaderSize"": ""44663"", ""maxHttpResponseHeaderSize"": ""28213"", ""maxKeepAliveRequests"": ""4567"", ""maxParameterCount"": ""6259"", ""maxSwallowSize"": ""15884183"", ""maxThreads"": ""288"", ""minSpareThreads"": ""16"", ""processorCache"": ""215"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""2352"", ""throughput__2"": ""1360.435166"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,plain,true,3,1455.288891,0.687149,1455.288891,10.099760,"[8, 50, 10, False]",0.0,10.338854,0.0,"{""acceptCount"": ""268"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""1267"", ""connectionTimeout"": ""359015"", ""connectionUploadTimeout"": ""289548"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""191089"", ""keepAliveTimeout"": ""299774"", ""maxConnections"": ""8146"", ""maxHeaderCount"": ""148"", ""maxHttpHeaderSize"": ""57935"", ""maxHttpRequestHeaderSize"": ""10414"", ""maxHttpResponseHeaderSize"": ""37120"", ""maxKeepAliveRequests"": ""2492"", ""maxParameterCount"": ""32785"", ""maxSwallowSize"": ""9850780"", ""maxThreads"": ""216"", ""minSpareThreads"": ""518"", ""processorCache"": ""53"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""3"", ""threadsMaxIdleTime"": ""173924"", ""throughput__2"": ""1455.288891"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,plain,true,4,1551.200459,0.644662,1551.200459,10.123915,"[8, 50, 10, False]",0.0,10.295113,0.0,"{""acceptCount"": ""506"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""7587"", ""connectionTimeout"": ""258855"", ""connectionUploadTimeout"": ""329472"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""595143"", ""keepAliveTimeout"": ""360264"", ""maxConnections"": ""9521"", ""maxHeaderCount"": ""646"", ""maxHttpHeaderSize"": ""22144"", ""maxHttpRequestHeaderSize"": ""45897"", ""maxHttpResponseHeaderSize"": ""65535"", ""maxKeepAliveRequests"": ""3888"", ""maxParameterCount"": ""28006"", ""maxSwallowSize"": ""213060"", ""maxThreads"": ""71"", ""minSpareThreads"": ""240"", ""processorCache"": ""152"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""59800"", ""throughput__2"": ""1551.200459"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,plain,true,5,1648.885929,0.606470,1648.885929,10.173589,"[8, 50, 10, False]",0.0,10.397071,0.0,"{""acceptCount"": ""758"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""1318"", ""connectionTimeout"": ""151025"", ""connectionUploadTimeout"": ""343687"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""232044"", ""keepAliveTimeout"": ""365196"", ""maxConnections"": ""5988"", ""maxHeaderCount"": ""305"", ""maxHttpHeaderSize"": ""18251"", ""maxHttpRequestHeaderSize"": ""24259"", ""maxHttpResponseHeaderSize"": ""33302"", ""maxKeepAliveRequests"": ""3417"", ""maxParameterCount"": ""15079"", ""maxSwallowSize"": ""9055493"", ""maxThreads"": ""365"", ""minSpareThreads"": ""122"", ""processorCache"": ""313"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""44620"", ""throughput__2"": ""1648.885929"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,plain,true,6,1267.269770,0.789098,1267.269770,10.157085,"[8, 50, 10, False]",0.0,10.597750,0.0,"{""acceptCount"": ""754"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""6636"", ""connectionTimeout"": ""148331"", ""connectionUploadTimeout"": ""346921"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""356263"", ""keepAliveTimeout"": ""582665"", ""maxConnections"": ""16432"", ""maxHeaderCount"": ""283"", ""maxHttpHeaderSize"": ""51629"", ""maxHttpRequestHeaderSize"": ""14940"", ""maxHttpResponseHeaderSize"": ""5077"", ""maxKeepAliveRequests"": ""1233"", ""maxParameterCount"": ""28863"", ""maxSwallowSize"": ""6691097"", ""maxThreads"": ""51"", ""minSpareThreads"": ""325"", ""processorCache"": ""309"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""72225"", ""throughput__2"": ""1267.269770"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,plain,true,7,1567.008414,0.638159,1567.008414,10.141670,"[8, 50, 10, False]",0.0,10.014854,0.0,"{""acceptCount"": ""745"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""1018"", ""connectionTimeout"": ""150621"", ""connectionUploadTimeout"": ""321285"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""231105"", ""keepAliveTimeout"": ""339092"", ""maxConnections"": ""7438"", ""maxHeaderCount"": ""293"", ""maxHttpHeaderSize"": ""62591"", ""maxHttpRequestHeaderSize"": ""21466"", ""maxHttpResponseHeaderSize"": ""29157"", ""maxKeepAliveRequests"": ""3861"", ""maxParameterCount"": ""15633"", ""maxSwallowSize"": ""9839634"", ""maxThreads"": ""368"", ""minSpareThreads"": ""65"", ""processorCache"": ""330"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""53772"", ""throughput__2"": ""1567.008414"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,bo,9001,plain,true,8,1442.400323,0.693289,1442.400323,10.055127,"[8, 50, 10, False]",0.0,10.562426,0.0,"{""acceptCount"": ""138"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""2498"", ""connectionTimeout"": ""8614"", ""connectionUploadTimeout"": ""1000"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""142845"", ""keepAliveTimeout"": ""350735"", ""maxConnections"": ""17508"", ""maxHeaderCount"": ""454"", ""maxHttpHeaderSize"": ""16458"", ""maxHttpRequestHeaderSize"": ""24511"", ""maxHttpResponseHeaderSize"": ""8653"", ""maxKeepAliveRequests"": ""1477"", ""maxParameterCount"": ""92826"", ""maxSwallowSize"": ""7203724"", ""maxThreads"": ""258"", ""minSpareThreads"": ""439"", ""processorCache"": ""351"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""534955"", ""throughput__2"": ""1442.400323"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,plain,true,9,1108.238867,0.902333,1108.238867,10.038415,"[8, 50, 10, False]",0.0,10.581479,0.0,"{""acceptCount"": ""341"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""1849"", ""connectionTimeout"": ""479063"", ""connectionUploadTimeout"": ""109031"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""563593"", ""keepAliveTimeout"": ""298394"", ""maxConnections"": ""15031"", ""maxHeaderCount"": ""616"", ""maxHttpHeaderSize"": ""24853"", ""maxHttpRequestHeaderSize"": ""36958"", ""maxHttpResponseHeaderSize"": ""54462"", ""maxKeepAliveRequests"": ""742"", ""maxParameterCount"": ""88913"", ""maxSwallowSize"": ""6075360"", ""maxThreads"": ""312"", ""minSpareThreads"": ""353"", ""processorCache"": ""391"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""1"", ""threadsMaxIdleTime"": ""413479"", ""throughput__2"": ""1108.238867"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,bo,9001,plain,true,10,1678.949132,0.595611,1678.949132,10.053012,"[8, 50, 10, False]",0.0,9.750012,0.0,"{""acceptCount"": ""321"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""5046"", ""connectionTimeout"": ""56263"", ""connectionUploadTimeout"": ""150387"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""275844"", ""keepAliveTimeout"": ""579028"", ""maxConnections"": ""9905"", ""maxHeaderCount"": ""357"", ""maxHttpHeaderSize"": ""48606"", ""maxHttpRequestHeaderSize"": ""33760"", ""maxHttpResponseHeaderSize"": ""11521"", ""maxKeepAliveRequests"": ""4362"", ""maxParameterCount"": ""40519"", ""maxSwallowSize"": ""3565757"", ""maxThreads"": ""335"", ""minSpareThreads"": ""329"", ""processorCache"": ""356"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""4"", ""threadsMaxIdleTime"": ""274217"", ""throughput__2"": ""1678.949132"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
