system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
tomcat,hebo,3301,plain,false,1,2213.19,22.99,2213.19,10.014879941940308,"[8, 50, 10, False]",0.0,10.013985872268677,0.0,"{""acceptCount"": ""98"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""7560"", ""connectionTimeout"": ""384813"", ""connectionUploadTimeout"": ""505442"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""563140"", ""keepAliveTimeout"": ""523447"", ""maxConnections"": ""18013"", ""maxHeaderCount"": ""666"", ""maxHttpHeaderSize"": ""27052"", ""maxHttpRequestHeaderSize"": ""54491"", ""maxHttpResponseHeaderSize"": ""15217"", ""maxKeepAliveRequests"": ""1803"", ""maxParameterCount"": ""10751"", ""maxSwallowSize"": ""11030601"", ""maxThreads"": ""235"", ""minSpareThreads"": ""405"", ""processorCache"": ""270"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""2"", ""threadsMaxIdleTime"": ""449569"", ""throughput__2"": ""2213.19"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,hebo,3301,plain,false,2,2297.18,29.46,2297.18,10.022771835327148,"[8, 50, 10, False]",0.0,10.02266550064087,0.0,"{""acceptCount"": ""856"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""2644"", ""connectionTimeout"": ""291752"", ""connectionUploadTimeout"": ""255125"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""50639"", ""keepAliveTimeout"": ""120749"", ""maxConnections"": ""7113"", ""maxHeaderCount"": ""81"", ""maxHttpHeaderSize"": ""63544"", ""maxHttpRequestHeaderSize"": ""12928"", ""maxHttpResponseHeaderSize"": ""65092"", ""maxKeepAliveRequests"": ""4626"", ""maxParameterCount"": ""62370"", ""maxSwallowSize"": ""7793349"", ""maxThreads"": ""107"", ""minSpareThreads"": ""996"", ""processorCache"": ""107"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""7"", ""threadsMaxIdleTime"": ""84611"", ""throughput__2"": ""2297.18"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,hebo,3301,plain,false,3,2119.24,23.73,2119.24,10.033254146575928,"[8, 50, 10, False]",0.0,10.03316617012024,0.0,"{""acceptCount"": ""676"", ""allowBackslash"": ""FALSE"", ""compression"": ""off"", ""compressionMinSize"": ""2071"", ""connectionTimeout"": ""65661"", ""connectionUploadTimeout"": ""109611"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""271869"", ""keepAliveTimeout"": ""290428"", ""maxConnections"": ""14528"", ""maxHeaderCount"": ""789"", ""maxHttpHeaderSize"": ""36103"", ""maxHttpRequestHeaderSize"": ""35180"", ""maxHttpResponseHeaderSize"": ""32202"", ""maxKeepAliveRequests"": ""3596"", ""maxParameterCount"": ""32578"", ""maxSwallowSize"": ""16913572"", ""maxThreads"": ""328"", ""minSpareThreads"": ""712"", ""processorCache"": ""57"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""471675"", ""throughput__2"": ""2119.24"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,hebo,3301,plain,false,4,2198.91,24.07,2198.91,10.052424669265747,"[8, 50, 10, False]",0.0,10.052331686019897,0.0,"{""acceptCount"": ""435"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""8207"", ""connectionTimeout"": ""460114"", ""connectionUploadTimeout"": ""350586"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""351870"", ""keepAliveTimeout"": ""354428"", ""maxConnections"": ""348"", ""maxHeaderCount"": ""465"", ""maxHttpHeaderSize"": ""7739"", ""maxHttpRequestHeaderSize"": ""27968"", ""maxHttpResponseHeaderSize"": ""48111"", ""maxKeepAliveRequests"": ""168"", ""maxParameterCount"": ""84347"", ""maxSwallowSize"": ""1961741"", ""maxThreads"": ""7"", ""minSpareThreads"": ""182"", ""processorCache"": ""322"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""4"", ""threadsMaxIdleTime"": ""194445"", ""throughput__2"": ""2198.91"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,hebo,3301,plain,false,5,2431.91,20.89,2431.91,10.072102546691895,"[8, 50, 10, False]",0.0,10.072019100189209,0.0,"{""acceptCount"": ""248"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""880"", ""connectionTimeout"": ""85335"", ""connectionUploadTimeout"": ""429336"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""220341"", ""keepAliveTimeout"": ""14307"", ""maxConnections"": ""12325"", ""maxHeaderCount"": ""368"", ""maxHttpHeaderSize"": ""15103"", ""maxHttpRequestHeaderSize"": ""44086"", ""maxHttpResponseHeaderSize"": ""50491"", ""maxKeepAliveRequests"": ""2646"", ""maxParameterCount"": ""43546"", ""maxSwallowSize"": ""8882780"", ""maxThreads"": ""61"", ""minSpareThreads"": ""11"", ""processorCache"": ""390"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""5"", ""threadsMaxIdleTime"": ""292113"", ""throughput__2"": ""2431.91"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,hebo,3301,plain,false,6,2454.98,23.4,2454.98,10.058364629745483,"[8, 50, 10, False]",0.0,10.058276176452637,0.0,"{""acceptCount"": ""986"", ""allowBackslash"": ""FALSE"", ""compression"": ""on"", ""compressionMinSize"": ""9403"", ""connectionTimeout"": ""591176"", ""connectionUploadTimeout"": ""29104"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""440313"", ""keepAliveTimeout"": ""550284"", ""maxConnections"": ""2529"", ""maxHeaderCount"": ""878"", ""maxHttpHeaderSize"": ""43475"", ""maxHttpRequestHeaderSize"": ""20811"", ""maxHttpResponseHeaderSize"": ""1371"", ""maxKeepAliveRequests"": ""1094"", ""maxParameterCount"": ""92020"", ""maxSwallowSize"": ""14902453"", ""maxThreads"": ""382"", ""minSpareThreads"": ""602"", ""processorCache"": ""25"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""542389"", ""throughput__2"": ""2454.98"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,hebo,3301,plain,false,7,2445.89,20.68,2445.89,10.027518272399902,"[8, 50, 10, False]",0.0,10.027393579483032,0.0,"{""acceptCount"": ""545"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""6191"", ""connectionTimeout"": ""366238"", ""connectionUploadTimeout"": ""185736"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""519668"", ""keepAliveTimeout"": ""381214"", ""maxConnections"": ""15207"", ""maxHeaderCount"": ""241"", ""maxHttpHeaderSize"": ""56692"", ""maxHttpRequestHeaderSize"": ""63368"", ""maxHttpResponseHeaderSize"": ""33503"", ""maxKeepAliveRequests"": ""1938"", ""maxParameterCount"": ""15375"", ""maxSwallowSize"": ""3010232"", ""maxThreads"": ""153"", ""minSpareThreads"": ""826"", ""processorCache"": ""176"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""24143"", ""throughput__2"": ""2445.89"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,hebo,3301,plain,false,8,2379.41,24.97,2379.41,10.017818450927734,"[8, 50, 10, False]",0.0,10.017728328704834,0.0,"{""acceptCount"": ""285"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""4008"", ""connectionTimeout"": ""159592"", ""connectionUploadTimeout"": ""576589"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""132196"", ""keepAliveTimeout"": ""183890"", ""maxConnections"": ""9941"", ""maxHeaderCount"": ""513"", ""maxHttpHeaderSize"": ""20193"", ""maxHttpRequestHeaderSize"": ""5357"", ""maxHttpResponseHeaderSize"": ""18361"", ""maxKeepAliveRequests"": ""4134"", ""maxParameterCount"": ""64095"", ""maxSwallowSize"": ""20744444"", ""maxThreads"": ""281"", ""minSpareThreads"": ""296"", ""processorCache"": ""240"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""2"", ""threadsMaxIdleTime"": ""341054"", ""throughput__2"": ""2379.41"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,hebo,3301,plain,false,9,2361.12,21.84,2361.12,10.019164085388184,"[8, 50, 10, False]",0.0,10.019077777862549,0.0,"{""acceptCount"": ""447"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""180"", ""connectionTimeout"": ""120515"", ""connectionUploadTimeout"": ""469926"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""157706"", ""keepAliveTimeout"": ""333474"", ""maxConnections"": ""10680"", ""maxHeaderCount"": ""260"", ""maxHttpHeaderSize"": ""24203"", ""maxHttpRequestHeaderSize"": ""38968"", ""maxHttpResponseHeaderSize"": ""40943"", ""maxKeepAliveRequests"": ""3789"", ""maxParameterCount"": ""96758"", ""maxSwallowSize"": ""5064698"", ""maxThreads"": ""362"", ""minSpareThreads"": ""631"", ""processorCache"": ""136"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""10"", ""threadsMaxIdleTime"": ""174056"", ""throughput__2"": ""2361.12"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,hebo,3301,plain,false,10,2293.93,25.64,2293.93,10.029175758361816,"[8, 50, 10, False]",0.0,10.029091835021973,0.0,"{""acceptCount"": ""695"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""10024"", ""connectionTimeout"": ""551365"", ""connectionUploadTimeout"": ""271011"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""390449"", ""keepAliveTimeout"": ""231108"", ""maxConnections"": ""4155"", ""maxHeaderCount"": ""986"", ""maxHttpHeaderSize"": ""52599"", ""maxHttpRequestHeaderSize"": ""29724"", ""maxHttpResponseHeaderSize"": ""23002"", ""maxKeepAliveRequests"": ""2215"", ""maxParameterCount"": ""45136"", ""maxSwallowSize"": ""18705824"", ""maxThreads"": ""84"", ""minSpareThreads"": ""224"", ""processorCache"": ""299"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""4"", ""threadsMaxIdleTime"": ""491113"", ""throughput__2"": ""2293.93"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,hebo,3301,plain,false,11,2153.48,25.36,2153.48,10.063713073730469,"[8, 50, 10, False]",0.0,10.063600778579712,0.0,"{""acceptCount"": ""774"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""5572"", ""connectionTimeout"": ""326372"", ""connectionUploadTimeout"": ""117012"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""452225"", ""keepAliveTimeout"": ""100673"", ""maxConnections"": ""16862"", ""maxHeaderCount"": ""132"", ""maxHttpHeaderSize"": ""47526"", ""maxHttpRequestHeaderSize"": ""52230"", ""maxHttpResponseHeaderSize"": ""55892"", ""maxKeepAliveRequests"": ""737"", ""maxParameterCount"": ""74928"", ""maxSwallowSize"": ""9585728"", ""maxThreads"": ""251"", ""minSpareThreads"": ""438"", ""processorCache"": ""349"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""1"", ""threadsMaxIdleTime"": ""142209"", ""throughput__2"": ""2153.48"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
