system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
x265,bo,9001,depaware,true,1,66.342263,15.073348,66.342263,20.506668,"['Standard', '320p', 30, '10s']",0.0,21.137859,0.0,"{""amp"": ""1"", ""aq-mode"": ""2"", ""aq-strength"": ""1.003509"", ""b-adapt"": ""2"", ""bframes"": ""3"", ""crf"": ""25.178533"", ""ctu"": ""31"", ""keyint"": ""272"", ""limit-refs"": ""2"", ""limit-tu"": ""2"", ""me"": ""dia"", ""merange"": ""58"", ""open-gop"": ""1"", ""psy-rd"": ""0.386744"", ""psy-rdoq"": ""1.05732"", ""qcomp"": ""0.916744"", ""qpmax"": ""43"", ""qpmin"": ""5"", ""rc-lookahead"": ""41"", ""rd"": ""5"", ""rdoq-level"": ""0"", ""rect"": ""1"", ""ref"": ""4"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""52"", ""subme"": ""1"", ""tu-inter-depth"": ""4"", ""tu-intra-depth"": ""4"", ""weightb"": ""1"", ""weightp"": ""1"", ""wpp"": ""0""}"
x265,bo,9001,depaware,true,2,69.361648,14.417189,69.361648,9.385288,"['Standard', '320p', 30, '10s']",0.0,9.507696,0.0,"{""amp"": ""0"", ""aq-mode"": ""3"", ""aq-strength"": ""1.088024"", ""b-adapt"": ""1"", ""bframes"": ""5"", ""crf"": ""25.040559"", ""ctu"": ""64"", ""keyint"": ""315"", ""limit-refs"": ""0"", ""limit-tu"": ""4"", ""me"": ""hex"", ""merange"": ""56"", ""open-gop"": ""1"", ""psy-rd"": ""1.780351"", ""psy-rdoq"": ""3.198763"", ""qcomp"": ""0.738161"", ""qpmax"": ""35"", ""qpmin"": ""4"", ""rc-lookahead"": ""36"", ""rd"": ""3"", ""rdoq-level"": ""2"", ""rect"": ""0"", ""ref"": ""3"", ""rskip"": ""0"", ""sao"": ""1"", ""scenecut"": ""17"", ""subme"": ""4"", ""tu-inter-depth"": ""4"", ""tu-intra-depth"": ""3"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,bo,9001,depaware,true,3,86.609860,11.546030,86.609860,6.161565,"['Standard', '320p', 30, '10s']",0.0,5.748827,0.0,"{""amp"": ""0"", ""aq-mode"": ""3"", ""aq-strength"": ""0.370219"", ""b-adapt"": ""1"", ""bframes"": ""2"", ""crf"": ""32"", ""ctu"": ""16"", ""keyint"": ""336"", ""limit-refs"": ""2"", ""limit-tu"": ""1"", ""me"": ""star"", ""merange"": ""60"", ""open-gop"": ""0"", ""psy-rd"": ""0.546132"", ""psy-rdoq"": ""0"", ""qcomp"": ""0.751463"", ""qpmax"": ""30"", ""qpmin"": ""9"", ""rc-lookahead"": ""23"", ""rd"": ""4"", ""rdoq-level"": ""2"", ""rect"": ""0"", ""ref"": ""2"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""63"", ""subme"": ""3"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""2"", ""weightb"": ""0"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,bo,9001,depaware,true,4,86.331834,11.583213,86.331834,6.758987,"['Standard', '320p', 30, '10s']",0.0,6.767132,0.0,"{""amp"": ""1"", ""aq-mode"": ""3"", ""aq-strength"": ""2"", ""b-adapt"": ""0"", ""bframes"": ""2"", ""crf"": ""32"", ""ctu"": ""32"", ""keyint"": ""430"", ""limit-refs"": ""1"", ""limit-tu"": ""3"", ""me"": ""umh"", ""merange"": ""62"", ""open-gop"": ""0"", ""psy-rd"": ""3.531444"", ""psy-rdoq"": ""4.846434"", ""qcomp"": ""0.757827"", ""qpmax"": ""29"", ""qpmin"": ""6"", ""rc-lookahead"": ""40"", ""rd"": ""3"", ""rdoq-level"": ""1"", ""rect"": ""0"", ""ref"": ""1"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""10"", ""subme"": ""3"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""2"", ""weightb"": ""1"", ""weightp"": ""1"", ""wpp"": ""0""}"
x265,bo,9001,depaware,true,5,86.892348,11.508493,86.892348,5.876053,"['Standard', '320p', 30, '10s']",0.0,5.596775,0.0,"{""amp"": ""0"", ""aq-mode"": ""0"", ""aq-strength"": ""1.869073"", ""b-adapt"": ""1"", ""bframes"": ""6"", ""crf"": ""27.873293"", ""ctu"": ""16"", ""keyint"": ""373"", ""limit-refs"": ""2"", ""limit-tu"": ""3"", ""me"": ""hex"", ""merange"": ""42"", ""open-gop"": ""1"", ""psy-rd"": ""3.980342"", ""psy-rdoq"": ""1.953265"", ""qcomp"": ""0.611502"", ""qpmax"": ""26"", ""qpmin"": ""6"", ""rc-lookahead"": ""13"", ""rd"": ""3"", ""rdoq-level"": ""0"", ""rect"": ""0"", ""ref"": ""6"", ""rskip"": ""1"", ""sao"": ""0"", ""scenecut"": ""47"", ""subme"": ""2"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""3"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""0""}"
x265,bo,9001,depaware,true,6,78.369969,12.759990,78.369969,11.646817,"['Standard', '320p', 30, '10s']",0.0,11.017020,0.0,"{""amp"": ""0"", ""aq-mode"": ""1"", ""aq-strength"": ""0.983297"", ""b-adapt"": ""2"", ""bframes"": ""3"", ""crf"": ""30.548025"", ""ctu"": ""19"", ""keyint"": ""208"", ""limit-refs"": ""1"", ""limit-tu"": ""4"", ""me"": ""umh"", ""merange"": ""17"", ""open-gop"": ""0"", ""psy-rd"": ""2.474857"", ""psy-rdoq"": ""3.34581"", ""qcomp"": ""0.79984"", ""qpmax"": ""33"", ""qpmin"": ""15"", ""rc-lookahead"": ""40"", ""rd"": ""5"", ""rdoq-level"": ""0"", ""rect"": ""0"", ""ref"": ""4"", ""rskip"": ""1"", ""sao"": ""0"", ""scenecut"": ""35"", ""subme"": ""3"", ""tu-inter-depth"": ""1"", ""tu-intra-depth"": ""2"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,bo,9001,depaware,true,7,71.808998,13.925831,71.808998,6.734559,"['Standard', '320p', 30, '10s']",0.0,6.800908,0.0,"{""amp"": ""1"", ""aq-mode"": ""1"", ""aq-strength"": ""1.602749"", ""b-adapt"": ""0"", ""bframes"": ""8"", ""crf"": ""19.651131"", ""ctu"": ""31"", ""keyint"": ""266"", ""limit-refs"": ""2"", ""limit-tu"": ""2"", ""me"": ""star"", ""merange"": ""35"", ""open-gop"": ""1"", ""psy-rd"": ""0.497778"", ""psy-rdoq"": ""0.529207"", ""qcomp"": ""0.74497"", ""qpmax"": ""44"", ""qpmin"": ""3"", ""rc-lookahead"": ""39"", ""rd"": ""3"", ""rdoq-level"": ""1"", ""rect"": ""1"", ""ref"": ""5"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""89"", ""subme"": ""4"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""4"", ""weightb"": ""1"", ""weightp"": ""1"", ""wpp"": ""1""}"
x265,bo,9001,depaware,true,8,84.255937,11.868600,84.255937,4.994372,"['Standard', '320p', 30, '10s']",0.0,5.177243,0.0,"{""amp"": ""0"", ""aq-mode"": ""0"", ""aq-strength"": ""0.785856"", ""b-adapt"": ""0"", ""bframes"": ""6"", ""crf"": ""27.325512"", ""ctu"": ""35"", ""keyint"": ""51"", ""limit-refs"": ""0"", ""limit-tu"": ""2"", ""me"": ""star"", ""merange"": ""22"", ""open-gop"": ""0"", ""psy-rd"": ""3.548287"", ""psy-rdoq"": ""1.431357"", ""qcomp"": ""0.66518"", ""qpmax"": ""35"", ""qpmin"": ""3"", ""rc-lookahead"": ""22"", ""rd"": ""3"", ""rdoq-level"": ""0"", ""rect"": ""0"", ""ref"": ""1"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""81"", ""subme"": ""4"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""4"", ""weightb"": ""0"", ""weightp"": ""0"", ""wpp"": ""0""}"
x265,bo,9001,depaware,true,9,93.711718,10.671024,93.711718,39.456345,"['Standard', '320p', 30, '10s']",0.0,37.501324,0.0,"{""amp"": ""1"", ""aq-mode"": ""4"", ""aq-strength"": ""0.989233"", ""b-adapt"": ""1"", ""bframes"": ""7"", ""crf"": ""28.415434"", ""ctu"": ""30"", ""keyint"": ""490"", ""limit-refs"": ""3"", ""limit-tu"": ""3"", ""me"": ""dia"", ""merange"": ""63"", ""open-gop"": ""0"", ""psy-rd"": ""3.406571"", ""psy-rdoq"": ""0.50508"", ""qcomp"": ""0.605828"", ""qpmax"": ""38"", ""qpmin"": ""13"", ""rc-lookahead"": ""33"", ""rd"": ""3"", ""rdoq-level"": ""0"", ""rect"": ""1"", ""ref"": ""2"", ""rskip"": ""1"", ""sao"": ""0"", ""scenecut"": ""42"", ""subme"": ""2"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""2"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,bo,9001,depaware,true,10,57.966408,17.251371,57.966408,35.468693,"['Standard', '320p', 30, '10s']",0.0,36.707664,0.0,"{""amp"": ""0"", ""aq-mode"": ""0"", ""aq-strength"": ""0.562106"", ""b-adapt"": ""1"", ""bframes"": ""5"", ""crf"": ""21.626533"", ""ctu"": ""33"", ""keyint"": ""470"", ""limit-refs"": ""1"", ""limit-tu"": ""3"", ""me"": ""dia"", ""merange"": ""42"", ""open-gop"": ""0"", ""psy-rd"": ""3.104754"", ""psy-rdoq"": ""2.801067"", ""qcomp"": ""0.816971"", ""qpmax"": ""24"", ""qpmin"": ""11"", ""rc-lookahead"": ""14"", ""rd"": ""5"", ""rdoq-level"": ""1"", ""rect"": ""1"", ""ref"": ""2"", ""rskip"": ""0"", ""sao"": ""1"", ""scenecut"": ""90"", ""subme"": ""3"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""3"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""1""}"
