system,method,run_id,variant,is_simulated,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
x265,hebo,7301,plain,false,1,81.34,3.58,81.34,3.913513660430908,"['Standard', '320p', 30, '10s']",0.0,3.9128193855285645,0.0,"{""amp"": ""1"", ""aq-mode"": ""1"", ""aq-strength"": ""0.5"", ""b-adapt"": ""1"", ""bframes"": ""5"", ""crf"": ""32.0"", ""ctu"": ""64"", ""keyint"": ""254"", ""limit-refs"": ""2"", ""limit-tu"": ""2"", ""me"": ""hex"", ""merange"": ""46"", ""open-gop"": ""1"", ""psy-rd"": ""4.0"", ""psy-rdoq"": ""0.0"", ""qcomp"": ""0.5"", ""qpmax"": ""38"", ""qpmin"": ""11"", ""rc-lookahead"": ""25"", ""rd"": ""4"", ""rdoq-level"": ""0"", ""rect"": ""0"", ""ref"": ""2"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""96"", ""subme"": ""3"", ""tu-inter-depth"": ""1"", ""tu-intra-depth"": ""3"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""0""}"
x265,hebo,7301,plain,false,2,20.09,12.22,20.09,12.602710962295532,"['Standard', '320p', 30, '10s']",0.0,12.60262131690979,0.0,"{""amp"": ""0"", ""aq-mode"": ""2"", ""aq-strength"": ""1.8"", ""b-adapt"": ""0"", ""bframes"": ""3"", ""crf"": ""20.0"", ""ctu"": ""32"", ""keyint"": ""362"", ""limit-refs"": ""1"", ""limit-tu"": ""2"", ""me"": ""star"", ""merange"": ""39"", ""open-gop"": ""0"", ""psy-rd"": ""0.5"", ""psy-rdoq"": ""2.5"", ""qcomp"": ""0.8"", ""qpmax"": ""31"", ""qpmin"": ""5"", ""rc-lookahead"": ""47"", ""rd"": ""3"", ""rdoq-level"": ""1"", ""rect"": ""1"", ""ref"": ""4"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""2"", ""subme"": ""3"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""2"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""1""}"
x265,hebo,7301,plain,false,3,36.33,7.41,36.33,7.741008520126343,"['Standard', '320p', 30, '10s']",0.0,7.7409186363220215,0.0,"{""amp"": ""0"", ""aq-mode"": ""1"", ""aq-strength"": ""1.0"", ""b-adapt"": ""2"", ""bframes"": ""0"", ""crf"": ""22.0"", ""ctu"": ""16"", ""keyint"": ""390"", ""limit-refs"": ""3"", ""limit-tu"": ""0"", ""me"": ""star"", ""merange"": ""24"", ""open-gop"": ""1"", ""psy-rd"": ""2.5"", ""psy-rdoq"": ""1.5"", ""qcomp"": ""0.75"", ""qpmax"": ""45"", ""qpmin"": ""5"", ""rc-lookahead"": ""52"", ""rd"": ""2"", ""rdoq-level"": ""1"", ""rect"": ""0"", ""ref"": ""6"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""65"", ""subme"": ""4"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""1"", ""weightb"": ""0"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,hebo,7301,plain,false,4,3.85,34.42,3.85,34.773603677749634,"['Standard', '320p', 30, '10s']",0.0,34.77351212501526,0.0,"{""amp"": ""1"", ""aq-mode"": ""4"", ""aq-strength"": ""1.5"", ""b-adapt"": ""1"", ""bframes"": ""8"", ""crf"": ""25.0"", ""ctu"": ""32"", ""keyint"": ""45"", ""limit-refs"": ""1"", ""limit-tu"": ""4"", ""me"": ""hex"", ""merange"": ""62"", ""open-gop"": ""0"", ""psy-rd"": ""1.0"", ""psy-rdoq"": ""4.0"", ""qcomp"": ""1.0"", ""qpmax"": ""24"", ""qpmin"": ""19"", ""rc-lookahead"": ""18"", ""rd"": ""5"", ""rdoq-level"": ""2"", ""rect"": ""1"", ""ref"": ""2"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""31"", ""subme"": ""2"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""3"", ""weightb"": ""1"", ""weightp"": ""1"", ""wpp"": ""0""}"
x265,hebo,7301,plain,false,5,18.59,12.98,18.59,13.481260061264038,"['Standard', '320p', 30, '10s']",0.0,13.481165170669556,0.0,"{""amp"": ""1"", ""aq-mode"": ""0"", ""aq-strength"": ""1.0"", ""b-adapt"": ""2"", ""bframes"": ""1"", ""crf"": ""25.0"", ""ctu"": ""32"", ""keyint"": ""102"", ""limit-refs"": ""0"", ""limit-tu"": ""3"", ""me"": ""umh"", ""merange"": ""41"", ""open-gop"": ""1"", ""psy-rd"": ""3.0"", ""psy-rdoq"": ""2.5"", ""qcomp"": ""0.6"", ""qpmax"": ""26"", ""qpmin"": ""15"", ""rc-lookahead"": ""55"", ""rd"": ""3"", ""rdoq-level"": ""2"", ""rect"": ""0"", ""ref"": ""5"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""60"", ""subme"": ""1"", ""tu-inter-depth"": ""4"", ""tu-intra-depth"": ""2"", ""weightb"": ""1"", ""weightp"": ""0"", ""wpp"": ""0""}"
x265,hebo,7301,plain,false,6,15.02,15.24,15.02,15.58057951927185,"['Standard', '320p', 30, '10s']",0.0,15.580488204956055,0.0,"{""amp"": ""0"", ""aq-mode"": ""3"", ""aq-strength"": ""1.2"", ""b-adapt"": ""1"", ""bframes"": ""7"", ""crf"": ""28.0"", ""ctu"": ""64"", ""keyint"": ""455"", ""limit-refs"": ""3"", ""limit-tu"": ""1"", ""me"": ""full"", ""merange"": ""33"", ""open-gop"": ""0"", ""psy-rd"": ""0.5"", ""psy-rdoq"": ""5.0"", ""qcomp"": ""0.8"", ""qpmax"": ""47"", ""qpmin"": ""9"", ""rc-lookahead"": ""14"", ""rd"": ""4"", ""rdoq-level"": ""1"", ""rect"": ""1"", ""ref"": ""2"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""44"", ""subme"": ""5"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""3"", ""weightb"": ""0"", ""weightp"": ""1"", ""wpp"": ""1""}"
x265,hebo,7301,plain,false,7,21.09,11.7,21.09,12.034981966018677,"['Standard', '320p', 30, '10s']",0.0,12.034897565841675,0.0,"{""amp"": ""0"", ""aq-mode"": ""2"", ""aq-strength"": ""0.5"", ""b-adapt"": ""1"", ""bframes"": ""4"", ""crf"": ""30.0"", ""ctu"": ""32"", ""keyint"": ""304"", ""limit-refs"": ""1"", ""limit-tu"": ""3"", ""me"": ""umh"", ""merange"": ""19"", ""open-gop"": ""1"", ""psy-rd"": ""2.5"", ""psy-rdoq"": ""0.5"", ""qcomp"": ""0.7"", ""qpmax"": ""33"", ""qpmin"": ""1"", ""rc-lookahead"": ""32"", ""rd"": ""5"", ""rdoq-level"": ""1"", ""rect"": ""0"", ""ref"": ""3"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""79"", ""subme"": ""4"", ""tu-inter-depth"": ""3"", ""tu-intra-depth"": ""4"", ""weightb"": ""0"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,hebo,7301,plain,false,8,36.75,7.34,36.75,7.681806802749634,"['Standard', '320p', 30, '10s']",0.0,7.6817238330841064,0.0,"{""amp"": ""1"", ""aq-mode"": ""3"", ""aq-strength"": ""1.8"", ""b-adapt"": ""0"", ""bframes"": ""4"", ""crf"": ""20.0"", ""ctu"": ""16"", ""keyint"": ""189"", ""limit-refs"": ""2"", ""limit-tu"": ""1"", ""me"": ""dia"", ""merange"": ""56"", ""open-gop"": ""0"", ""psy-rd"": ""2.0"", ""psy-rdoq"": ""3.5"", ""qcomp"": ""0.9"", ""qpmax"": ""40"", ""qpmin"": ""15"", ""rc-lookahead"": ""35"", ""rd"": ""2"", ""rdoq-level"": ""0"", ""rect"": ""1"", ""ref"": ""4"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""24"", ""subme"": ""2"", ""tu-inter-depth"": ""1"", ""tu-intra-depth"": ""2"", ""weightb"": ""1"", ""weightp"": ""1"", ""wpp"": ""0""}"
x265,hebo,7301,plain,false,9,5.90,27.94,5.90,28.27440333366394,"['Standard', '320p', 30, '10s']",0.0,28.274303913116455,0.0,"{""amp"": ""1"", ""aq-mode"": ""1"", ""aq-strength"": ""2.0"", ""b-adapt"": ""2"", ""bframes"": ""2"", ""crf"": ""30.0"", ""ctu"": ""64"", ""keyint"": ""213"", ""limit-refs"": ""0"", ""limit-tu"": ""1"", ""me"": ""umh"", ""merange"": ""60"", ""open-gop"": ""1"", ""psy-rd"": ""1.0"", ""psy-rdoq"": ""2.0"", ""qcomp"": ""1.0"", ""qpmax"": ""28"", ""qpmin"": ""7"", ""rc-lookahead"": ""40"", ""rd"": ""6"", ""rdoq-level"": ""1"", ""rect"": ""0"", ""ref"": ""5"", ""rskip"": ""1"", ""sao"": ""1"", ""scenecut"": ""44"", ""subme"": ""3"", ""tu-inter-depth"": ""4"", ""tu-intra-depth"": ""1"", ""weightb"": ""0"", ""weightp"": ""0"", ""wpp"": ""1""}"
x265,hebo,7301,plain,false,10,29.67,8.82,29.67,9.16411018371582,"['Standard', '320p', 30, '10s']",0.0,9.16402006149292,0.0,"{""amp"": ""0"", ""aq-mode"": ""4"", ""aq-strength"": ""0.0"", ""b-adapt"": ""1"", ""bframes"": ""6"", ""crf"": ""20.0"", ""ctu"": ""32"", ""keyint"": ""343"", ""limit-refs"": ""2"", ""limit-tu"": ""3"", ""me"": ""dia"", ""merange"": ""25"", ""open-gop"": ""0"", ""psy-rd"": ""3.5"", ""psy-rdoq"": ""4.5"", ""qcomp"": ""0.7"", ""qpmax"": ""50"", ""qpmin"": ""18"", ""rc-lookahead"": ""31"", ""rd"": ""2"", ""rdoq-level"": ""2"", ""rect"": ""1"", ""ref"": ""1"", ""rskip"": ""0"", ""sao"": ""0"", ""scenecut"": ""52"", ""subme"": ""3"", ""tu-inter-depth"": ""2"", ""tu-intra-depth"": ""3"", ""weightb"": ""1"", ""weightp"": ""1"", ""wpp"": ""0""}"
