system,method,run_id,variant,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,bestconfig,1,single,1,,,170.27,45.925039291381836,"[20, 50, 1000, 1, 0.5]",25.86082434654236,20.02830219268799,0.0,"{""backend_flush_after"": ""75"", ""bgwriter_delay"": ""8806"", ""bgwriter_flush_after"": ""182"", ""bgwriter_lru_maxpages"": ""145345117"", ""bgwriter_lru_multiplier"": ""1.2316852186104092"", ""checkpoint_completion_target"": ""0.957259269675135"", ""checkpoint_flush_after"": ""255"", ""checkpoint_timeout"": ""71655"", ""commit_delay"": ""26922"", ""commit_siblings"": ""80"", ""deadlock_timeout"": ""29157684"", ""default_statistics_target"": ""321"", ""effective_cache_size"": ""99468"", ""effective_io_concurrency"": ""619"", ""from_collapse_limit"": ""659368835"", ""join_collapse_limit"": ""1980675215"", ""maintenance_work_mem"": ""860632"", ""max_parallel_workers"": ""82"", ""max_parallel_workers_per_gather"": ""946"", ""max_wal_size"": ""6074"", ""max_worker_processes"": ""693"", ""min_wal_size"": ""5017"", ""random_page_cost"": ""81.64996863352206"", ""seq_page_cost"": ""44.30212634464833"", ""shared_buffers"": ""98425"", ""temp_buffers"": ""1969"", ""throughput__2"": """", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""6266"", ""wal_writer_flush_after"": ""491667419"", ""work_mem"": ""749710""}"
postgresql,bestconfig,1,single,2,,,327.49,35.71151638031006,"[20, 50, 1000, 1, 0.5]",15.651762008666992,20.02105402946472,0.0,"{""backend_flush_after"": ""130"", ""bgwriter_delay"": ""4296"", ""bgwriter_flush_after"": ""124"", ""bgwriter_lru_maxpages"": ""943316824"", ""bgwriter_lru_multiplier"": ""4.375153138346761"", ""checkpoint_completion_target"": ""0.23548501726536125"", ""checkpoint_flush_after"": ""108"", ""checkpoint_timeout"": ""61786"", ""commit_delay"": ""63995"", ""commit_siblings"": ""472"", ""deadlock_timeout"": ""1790151590"", ""default_statistics_target"": ""7526"", ""effective_cache_size"": ""665607"", ""effective_io_concurrency"": ""716"", ""from_collapse_limit"": ""1647124196"", ""join_collapse_limit"": ""483794954"", ""maintenance_work_mem"": ""959923"", ""max_parallel_workers"": ""671"", ""max_parallel_workers_per_gather"": ""342"", ""max_wal_size"": ""4516"", ""max_worker_processes"": ""268"", ""min_wal_size"": ""6079"", ""random_page_cost"": ""72.15564315354668"", ""seq_page_cost"": ""74.68661957771744"", ""shared_buffers"": ""379258"", ""temp_buffers"": ""4343"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""5484"", ""wal_writer_flush_after"": ""1625956295"", ""work_mem"": ""268314""}"
postgresql,bestconfig,1,single,3,,,331.27,32.43426728248596,"[20, 50, 1000, 1, 0.5]",12.359859228134155,20.023036241531372,0.0,"{""backend_flush_after"": ""30"", ""bgwriter_delay"": ""3002"", ""bgwriter_flush_after"": ""29"", ""bgwriter_lru_maxpages"": ""48405048"", ""bgwriter_lru_multiplier"": ""5.270742920881938"", ""checkpoint_completion_target"": ""0.40806857440450245"", ""checkpoint_flush_after"": ""144"", ""checkpoint_timeout"": ""49792"", ""commit_delay"": ""46422"", ""commit_siblings"": ""767"", ""deadlock_timeout"": ""1165921099"", ""default_statistics_target"": ""3263"", ""effective_cache_size"": ""545231"", ""effective_io_concurrency"": ""418"", ""from_collapse_limit"": ""494012566"", ""join_collapse_limit"": ""1574951537"", ""maintenance_work_mem"": ""120417"", ""max_parallel_workers"": ""236"", ""max_parallel_workers_per_gather"": ""666"", ""max_wal_size"": ""7856"", ""max_worker_processes"": ""177"", ""min_wal_size"": ""196"", ""random_page_cost"": ""24.11717901849279"", ""seq_page_cost"": ""59.71193053091174"", ""shared_buffers"": ""500766"", ""temp_buffers"": ""7676"", ""throughput__2"": """", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""7896"", ""wal_writer_flush_after"": ""1404166550"", ""work_mem"": ""444352""}"
postgresql,bestconfig,1,single,4,,,331.33,30.775386810302734,"[20, 50, 1000, 1, 0.5]",10.723950624465942,20.022749423980713,0.0,"{""backend_flush_after"": ""123"", ""bgwriter_delay"": ""5426"", ""bgwriter_flush_after"": ""215"", ""bgwriter_lru_maxpages"": ""656530395"", ""bgwriter_lru_multiplier"": ""7.1321860941136705"", ""checkpoint_completion_target"": ""0.6875593497096367"", ""checkpoint_flush_after"": ""169"", ""checkpoint_timeout"": ""38196"", ""commit_delay"": ""53105"", ""commit_siblings"": ""530"", ""deadlock_timeout"": ""1610111897"", ""default_statistics_target"": ""1786"", ""effective_cache_size"": ""324712"", ""effective_io_concurrency"": ""40"", ""from_collapse_limit"": ""48910507"", ""join_collapse_limit"": ""1208226863"", ""maintenance_work_mem"": ""546529"", ""max_parallel_workers"": ""534"", ""max_parallel_workers_per_gather"": ""400"", ""max_wal_size"": ""465"", ""max_worker_processes"": ""112"", ""min_wal_size"": ""3504"", ""random_page_cost"": ""57.16912902571216"", ""seq_page_cost"": ""82.0345813009442"", ""shared_buffers"": ""816265"", ""temp_buffers"": ""2978"", ""throughput__2"": """", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""3815"", ""wal_writer_flush_after"": ""1965547225"", ""work_mem"": ""787328""}"
postgresql,bestconfig,1,single,5,,,331.62,30.655686378479004,"[20, 50, 1000, 1, 0.5]",10.604227066040039,20.021990537643433,0.0,"{""backend_flush_after"": ""51"", ""bgwriter_delay"": ""1875"", ""bgwriter_flush_after"": ""93"", ""bgwriter_lru_maxpages"": ""392542849"", ""bgwriter_lru_multiplier"": ""7.640899366536624"", ""checkpoint_completion_target"": ""0.7947032101684962"", ""checkpoint_flush_after"": ""205"", ""checkpoint_timeout"": ""4388"", ""commit_delay"": ""97021"", ""commit_siblings"": ""204"", ""deadlock_timeout"": ""271376472"", ""default_statistics_target"": ""6216"", ""effective_cache_size"": ""466347"", ""effective_io_concurrency"": ""777"", ""from_collapse_limit"": ""1323282246"", ""join_collapse_limit"": ""1749472110"", ""maintenance_work_mem"": ""709519"", ""max_parallel_workers"": ""924"", ""max_parallel_workers_per_gather"": ""134"", ""max_wal_size"": ""5699"", ""max_worker_processes"": ""572"", ""min_wal_size"": ""2765"", ""random_page_cost"": ""47.59218191684213"", ""seq_page_cost"": ""88.88685061225219"", ""shared_buffers"": ""229213"", ""temp_buffers"": ""6964"", ""throughput__2"": """", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""9030"", ""wal_writer_flush_after"": ""618140499"", ""work_mem"": ""12967""}"
postgresql,bestconfig,1,single,6,,,328.98,35.43075466156006,"[20, 50, 1000, 1, 0.5]",15.348124504089355,20.021357774734497,0.0,"{""backend_flush_after"": ""210"", ""bgwriter_delay"": ""7173"", ""bgwriter_flush_after"": ""60"", ""bgwriter_lru_maxpages"": ""422303892"", ""bgwriter_lru_multiplier"": ""1.4396218314244087"", ""checkpoint_completion_target"": ""0.6150068849647448"", ""checkpoint_flush_after"": ""41"", ""checkpoint_timeout"": ""20018"", ""commit_delay"": ""1322"", ""commit_siblings"": ""306"", ""deadlock_timeout"": ""580509390"", ""default_statistics_target"": ""6475"", ""effective_cache_size"": ""803776"", ""effective_io_concurrency"": ""337"", ""from_collapse_limit"": ""1934332769"", ""join_collapse_limit"": ""159134760"", ""maintenance_work_mem"": ""260392"", ""max_parallel_workers"": ""361"", ""max_parallel_workers_per_gather"": ""623"", ""max_wal_size"": ""1663"", ""max_worker_processes"": ""824"", ""min_wal_size"": ""4140"", ""random_page_cost"": ""31.89750263603494"", ""seq_page_cost"": ""4.882327926961487"", ""shared_buffers"": ""611897"", ""temp_buffers"": ""510"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""158"", ""wal_writer_flush_after"": ""1267140455"", ""work_mem"": ""615834""}"
postgresql,bestconfig,2,single,1,1324.35,3.01,331.09,32.39010310173035,"[20, 50, 1000, 1, 0.5]",12.319545269012451,20.025257110595703,0.0,"{""backend_flush_after"": ""75"", ""bgwriter_delay"": ""8806"", ""bgwriter_flush_after"": ""182"", ""bgwriter_lru_maxpages"": ""145345117"", ""bgwriter_lru_multiplier"": ""1.2316852186104092"", ""checkpoint_completion_target"": ""0.957259269675135"", ""checkpoint_flush_after"": ""255"", ""checkpoint_timeout"": ""71655"", ""commit_delay"": ""26922"", ""commit_siblings"": ""80"", ""deadlock_timeout"": ""29157684"", ""default_statistics_target"": ""321"", ""effective_cache_size"": ""99468"", ""effective_io_concurrency"": ""619"", ""from_collapse_limit"": ""659368835"", ""join_collapse_limit"": ""1980675215"", ""maintenance_work_mem"": ""860632"", ""max_parallel_workers"": ""82"", ""max_parallel_workers_per_gather"": ""946"", ""max_wal_size"": ""6074"", ""max_worker_processes"": ""693"", ""min_wal_size"": ""5017"", ""random_page_cost"": ""81.64996863352206"", ""seq_page_cost"": ""44.30212634464833"", ""shared_buffers"": ""98425"", ""temp_buffers"": ""1969"", ""throughput__2"": ""331.09"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""6266"", ""wal_writer_flush_after"": ""491667419"", ""work_mem"": ""749710""}"
postgresql,bestconfig,2,single,2,1305.04,3.06,326.26,35.13885283470154,"[20, 50, 1000, 1, 0.5]",15.076082706451416,20.019596815109253,0.0,"{""backend_flush_after"": ""130"", ""bgwriter_delay"": ""4296"", ""bgwriter_flush_after"": ""124"", ""bgwriter_lru_maxpages"": ""943316824"", ""bgwriter_lru_multiplier"": ""4.375153138346761"", ""checkpoint_completion_target"": ""0.23548501726536125"", ""checkpoint_flush_after"": ""108"", ""checkpoint_timeout"": ""61786"", ""commit_delay"": ""63995"", ""commit_siblings"": ""472"", ""deadlock_timeout"": ""1790151590"", ""default_statistics_target"": ""7526"", ""effective_cache_size"": ""665607"", ""effective_io_concurrency"": ""716"", ""from_collapse_limit"": ""1647124196"", ""join_collapse_limit"": ""483794954"", ""maintenance_work_mem"": ""959923"", ""max_parallel_workers"": ""671"", ""max_parallel_workers_per_gather"": ""342"", ""max_wal_size"": ""4516"", ""max_worker_processes"": ""268"", ""min_wal_size"": ""6079"", ""random_page_cost"": ""72.15564315354668"", ""seq_page_cost"": ""74.68661957771744"", ""shared_buffers"": ""379258"", ""temp_buffers"": ""4343"", ""throughput__2"": ""326.26"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""5484"", ""wal_writer_flush_after"": ""1625956295"", ""work_mem"": ""268314""}"
postgresql,bestconfig,2,single,3,1329.08,3.0,332.27,33.06580376625061,"[20, 50, 1000, 1, 0.5]",13.014616012573242,20.01908278465271,0.0,"{""backend_flush_after"": ""30"", ""bgwriter_delay"": ""3002"", ""bgwriter_flush_after"": ""29"", ""bgwriter_lru_maxpages"": ""48405048"", ""bgwriter_lru_multiplier"": ""5.270742920881938"", ""checkpoint_completion_target"": ""0.40806857440450245"", ""checkpoint_flush_after"": ""144"", ""checkpoint_timeout"": ""49792"", ""commit_delay"": ""46422"", ""commit_siblings"": ""767"", ""deadlock_timeout"": ""1165921099"", ""default_statistics_target"": ""3263"", ""effective_cache_size"": ""545231"", ""effective_io_concurrency"": ""418"", ""from_collapse_limit"": ""494012566"", ""join_collapse_limit"": ""1574951537"", ""maintenance_work_mem"": ""120417"", ""max_parallel_workers"": ""236"", ""max_parallel_workers_per_gather"": ""666"", ""max_wal_size"": ""7856"", ""max_worker_processes"": ""177"", ""min_wal_size"": ""196"", ""random_page_cost"": ""24.11717901849279"", ""seq_page_cost"": ""59.71193053091174"", ""shared_buffers"": ""500766"", ""temp_buffers"": ""7676"", ""throughput__2"": ""332.27"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""7896"", ""wal_writer_flush_after"": ""1404166550"", ""work_mem"": ""444352""}"
postgresql,bestconfig,2,single,4,1353.83,2.95,338.46,30.85996437072754,"[20, 50, 1000, 1, 0.5]",10.808059692382812,20.02092719078064,0.0,"{""backend_flush_after"": ""123"", ""bgwriter_delay"": ""5426"", ""bgwriter_flush_after"": ""215"", ""bgwriter_lru_maxpages"": ""656530395"", ""bgwriter_lru_multiplier"": ""7.1321860941136705"", ""checkpoint_completion_target"": ""0.6875593497096367"", ""checkpoint_flush_after"": ""169"", ""checkpoint_timeout"": ""38196"", ""commit_delay"": ""53105"", ""commit_siblings"": ""530"", ""deadlock_timeout"": ""1610111897"", ""default_statistics_target"": ""1786"", ""effective_cache_size"": ""324712"", ""effective_io_concurrency"": ""40"", ""from_collapse_limit"": ""48910507"", ""join_collapse_limit"": ""1208226863"", ""maintenance_work_mem"": ""546529"", ""max_parallel_workers"": ""534"", ""max_parallel_workers_per_gather"": ""400"", ""max_wal_size"": ""465"", ""max_worker_processes"": ""112"", ""min_wal_size"": ""3504"", ""random_page_cost"": ""57.16912902571216"", ""seq_page_cost"": ""82.0345813009442"", ""shared_buffers"": ""816265"", ""temp_buffers"": ""2978"", ""throughput__2"": ""338.46"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""3815"", ""wal_writer_flush_after"": ""1965547225"", ""work_mem"": ""787328""}"
