system,method,run_id,variant,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,flash,1,single,1,,,329.27,32.944074630737305,"[20, 50, 1000, 1, 0.5]",12.892611265182495,20.024447917938232,0.0,"{""backend_flush_after"": ""134"", ""bgwriter_delay"": ""5965"", ""bgwriter_flush_after"": ""117"", ""bgwriter_lru_maxpages"": ""128261235"", ""bgwriter_lru_multiplier"": ""9.640591723038819"", ""checkpoint_completion_target"": ""0.9136459118642296"", ""checkpoint_flush_after"": ""172"", ""checkpoint_timeout"": ""53208"", ""commit_delay"": ""76834"", ""commit_siblings"": ""586"", ""deadlock_timeout"": ""1142455908"", ""default_statistics_target"": ""5766"", ""effective_cache_size"": ""669832"", ""effective_io_concurrency"": ""645"", ""from_collapse_limit"": ""27550303"", ""join_collapse_limit"": ""189316338"", ""maintenance_work_mem"": ""179414"", ""max_parallel_workers"": ""990"", ""max_parallel_workers_per_gather"": ""685"", ""max_wal_size"": ""2358"", ""max_worker_processes"": ""477"", ""min_wal_size"": ""2762"", ""random_page_cost"": ""45.67670702014537"", ""seq_page_cost"": ""1.6308294155164549"", ""shared_buffers"": ""755300"", ""temp_buffers"": ""8308"", ""throughput__2"": """", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""1201"", ""wal_writer_flush_after"": ""1680162435"", ""work_mem"": ""758303""}"
postgresql,flash,1,single,2,,,324.74,35.19680690765381,"[20, 50, 1000, 1, 0.5]",15.13359260559082,20.021132469177246,0.0,"{""backend_flush_after"": ""78"", ""bgwriter_delay"": ""4465"", ""bgwriter_flush_after"": ""215"", ""bgwriter_lru_maxpages"": ""762488641"", ""bgwriter_lru_multiplier"": ""4.332003138771611"", ""checkpoint_completion_target"": ""0.9806745885132978"", ""checkpoint_flush_after"": ""10"", ""checkpoint_timeout"": ""76"", ""commit_delay"": ""46143"", ""commit_siblings"": ""197"", ""deadlock_timeout"": ""233261465"", ""default_statistics_target"": ""7116"", ""effective_cache_size"": ""741399"", ""effective_io_concurrency"": ""8"", ""from_collapse_limit"": ""2050142753"", ""join_collapse_limit"": ""1470954065"", ""maintenance_work_mem"": ""563459"", ""max_parallel_workers"": ""150"", ""max_parallel_workers_per_gather"": ""910"", ""max_wal_size"": ""729"", ""max_worker_processes"": ""773"", ""min_wal_size"": ""3103"", ""random_page_cost"": ""13.472760063663358"", ""seq_page_cost"": ""25.63623472965425"", ""shared_buffers"": ""834404"", ""temp_buffers"": ""1125"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""724"", ""wal_writer_flush_after"": ""1981251496"", ""work_mem"": ""10709""}"
postgresql,flash,1,single,3,,,326.91,36.399479389190674,"[20, 50, 1000, 1, 0.5]",16.319772481918335,20.019358158111572,0.0,"{""backend_flush_after"": ""206"", ""bgwriter_delay"": ""2694"", ""bgwriter_flush_after"": ""32"", ""bgwriter_lru_maxpages"": ""168312195"", ""bgwriter_lru_multiplier"": ""7.58062932779611"", ""checkpoint_completion_target"": ""0.5465829051599347"", ""checkpoint_flush_after"": ""178"", ""checkpoint_timeout"": ""18902"", ""commit_delay"": ""83372"", ""commit_siblings"": ""424"", ""deadlock_timeout"": ""799099328"", ""default_statistics_target"": ""6866"", ""effective_cache_size"": ""864821"", ""effective_io_concurrency"": ""396"", ""from_collapse_limit"": ""1898118138"", ""join_collapse_limit"": ""2082384994"", ""maintenance_work_mem"": ""31576"", ""max_parallel_workers"": ""299"", ""max_parallel_workers_per_gather"": ""660"", ""max_wal_size"": ""7202"", ""max_worker_processes"": ""627"", ""min_wal_size"": ""2152"", ""random_page_cost"": ""56.15882153423916"", ""seq_page_cost"": ""2.379225670641605"", ""shared_buffers"": ""563663"", ""temp_buffers"": ""3949"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""542"", ""wal_writer_flush_after"": ""2029418206"", ""work_mem"": ""787350""}"
postgresql,flash,1,single,4,,,325.73,32.50577664375305,"[20, 50, 1000, 1, 0.5]",12.421792984008789,20.022014379501343,0.0,"{""backend_flush_after"": ""149"", ""bgwriter_delay"": ""1026"", ""bgwriter_flush_after"": ""232"", ""bgwriter_lru_maxpages"": ""968834549"", ""bgwriter_lru_multiplier"": ""1.5857741625302113"", ""checkpoint_completion_target"": ""0.9137221251125016"", ""checkpoint_flush_after"": ""85"", ""checkpoint_timeout"": ""2731"", ""commit_delay"": ""50626"", ""commit_siblings"": ""644"", ""deadlock_timeout"": ""750630760"", ""default_statistics_target"": ""2229"", ""effective_cache_size"": ""318564"", ""effective_io_concurrency"": ""332"", ""from_collapse_limit"": ""1592059385"", ""join_collapse_limit"": ""928104330"", ""maintenance_work_mem"": ""814858"", ""max_parallel_workers"": ""703"", ""max_parallel_workers_per_gather"": ""797"", ""max_wal_size"": ""3516"", ""max_worker_processes"": ""281"", ""min_wal_size"": ""3020"", ""random_page_cost"": ""51.71034866539107"", ""seq_page_cost"": ""80.22766455210378"", ""shared_buffers"": ""913739"", ""temp_buffers"": ""7468"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""8765"", ""wal_writer_flush_after"": ""543184321"", ""work_mem"": ""354193""}"
postgresql,flash,1,single,5,,,327.65,35.29559826850891,"[20, 50, 1000, 1, 0.5]",15.22327184677124,20.021092891693115,0.0,"{""backend_flush_after"": ""188"", ""bgwriter_delay"": ""3239"", ""bgwriter_flush_after"": ""8"", ""bgwriter_lru_maxpages"": ""495914171"", ""bgwriter_lru_multiplier"": ""0.8374091491955693"", ""checkpoint_completion_target"": ""0.5001225106774085"", ""checkpoint_flush_after"": ""135"", ""checkpoint_timeout"": ""25479"", ""commit_delay"": ""65607"", ""commit_siblings"": ""329"", ""deadlock_timeout"": ""576062058"", ""default_statistics_target"": ""3269"", ""effective_cache_size"": ""89234"", ""effective_io_concurrency"": ""567"", ""from_collapse_limit"": ""1084760585"", ""join_collapse_limit"": ""172575678"", ""maintenance_work_mem"": ""236853"", ""max_parallel_workers"": ""277"", ""max_parallel_workers_per_gather"": ""696"", ""max_wal_size"": ""4918"", ""max_worker_processes"": ""273"", ""min_wal_size"": ""762"", ""random_page_cost"": ""20.327205126356084"", ""seq_page_cost"": ""39.81701809393218"", ""shared_buffers"": ""563816"", ""temp_buffers"": ""9350"", ""throughput__2"": """", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""8296"", ""wal_writer_flush_after"": ""1167163316"", ""work_mem"": ""255118""}"
postgresql,flash,1,single,6,,,317.46,35.232192039489746,"[20, 50, 1000, 1, 0.5]",15.179992437362671,20.02084708213806,0.0,"{""backend_flush_after"": ""247"", ""bgwriter_delay"": ""8222"", ""bgwriter_flush_after"": ""3"", ""bgwriter_lru_maxpages"": ""737434193"", ""bgwriter_lru_multiplier"": ""6.912696439954294"", ""checkpoint_completion_target"": ""0.7860800542078382"", ""checkpoint_flush_after"": ""248"", ""checkpoint_timeout"": ""78830"", ""commit_delay"": ""29379"", ""commit_siblings"": ""591"", ""deadlock_timeout"": ""1308156384"", ""default_statistics_target"": ""2067"", ""effective_cache_size"": ""729581"", ""effective_io_concurrency"": ""369"", ""from_collapse_limit"": ""1986334289"", ""join_collapse_limit"": ""1804616865"", ""maintenance_work_mem"": ""517224"", ""max_parallel_workers"": ""741"", ""max_parallel_workers_per_gather"": ""815"", ""max_wal_size"": ""4791"", ""max_worker_processes"": ""943"", ""min_wal_size"": ""6366"", ""random_page_cost"": ""83.27770443873531"", ""seq_page_cost"": ""34.05217408821978"", ""shared_buffers"": ""903518"", ""temp_buffers"": ""8201"", ""throughput__2"": """", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""4209"", ""wal_writer_flush_after"": ""121223708"", ""work_mem"": ""748499""}"
postgresql,flash,2,single,1,1325.71,3.01,331.43,33.57867670059204,"[20, 50, 1000, 1, 0.5]",13.527332544326782,20.02129864692688,0.0,"{""backend_flush_after"": ""134"", ""bgwriter_delay"": ""5965"", ""bgwriter_flush_after"": ""117"", ""bgwriter_lru_maxpages"": ""128261235"", ""bgwriter_lru_multiplier"": ""9.640591723038819"", ""checkpoint_completion_target"": ""0.9136459118642296"", ""checkpoint_flush_after"": ""172"", ""checkpoint_timeout"": ""53208"", ""commit_delay"": ""76834"", ""commit_siblings"": ""586"", ""deadlock_timeout"": ""1142455908"", ""default_statistics_target"": ""5766"", ""effective_cache_size"": ""669832"", ""effective_io_concurrency"": ""645"", ""from_collapse_limit"": ""27550303"", ""join_collapse_limit"": ""189316338"", ""maintenance_work_mem"": ""179414"", ""max_parallel_workers"": ""990"", ""max_parallel_workers_per_gather"": ""685"", ""max_wal_size"": ""2358"", ""max_worker_processes"": ""477"", ""min_wal_size"": ""2762"", ""random_page_cost"": ""45.67670702014537"", ""seq_page_cost"": ""1.6308294155164549"", ""shared_buffers"": ""755300"", ""temp_buffers"": ""8308"", ""throughput__2"": ""331.43"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""1201"", ""wal_writer_flush_after"": ""1680162435"", ""work_mem"": ""758303""}"
postgresql,flash,2,single,2,1297.95,3.08,324.49,35.165754556655884,"[20, 50, 1000, 1, 0.5]",15.111207246780396,20.022338390350342,0.0,"{""backend_flush_after"": ""78"", ""bgwriter_delay"": ""4465"", ""bgwriter_flush_after"": ""215"", ""bgwriter_lru_maxpages"": ""762488641"", ""bgwriter_lru_multiplier"": ""4.332003138771611"", ""checkpoint_completion_target"": ""0.9806745885132978"", ""checkpoint_flush_after"": ""10"", ""checkpoint_timeout"": ""76"", ""commit_delay"": ""46143"", ""commit_siblings"": ""197"", ""deadlock_timeout"": ""233261465"", ""default_statistics_target"": ""7116"", ""effective_cache_size"": ""741399"", ""effective_io_concurrency"": ""8"", ""from_collapse_limit"": ""2050142753"", ""join_collapse_limit"": ""1470954065"", ""maintenance_work_mem"": ""563459"", ""max_parallel_workers"": ""150"", ""max_parallel_workers_per_gather"": ""910"", ""max_wal_size"": ""729"", ""max_worker_processes"": ""773"", ""min_wal_size"": ""3103"", ""random_page_cost"": ""13.472760063663358"", ""seq_page_cost"": ""25.63623472965425"", ""shared_buffers"": ""834404"", ""temp_buffers"": ""1125"", ""throughput__2"": ""324.49"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""724"", ""wal_writer_flush_after"": ""1981251496"", ""work_mem"": ""10709""}"
postgresql,flash,2,single,3,1174.77,3.4,293.69,35.208012342453,"[20, 50, 1000, 1, 0.5]",15.153809547424316,20.02373433113098,0.0,"{""backend_flush_after"": ""206"", ""bgwriter_delay"": ""2694"", ""bgwriter_flush_after"": ""32"", ""bgwriter_lru_maxpages"": ""168312195"", ""bgwriter_lru_multiplier"": ""7.58062932779611"", ""checkpoint_completion_target"": ""0.5465829051599347"", ""checkpoint_flush_after"": ""178"", ""checkpoint_timeout"": ""18902"", ""commit_delay"": ""83372"", ""commit_siblings"": ""424"", ""deadlock_timeout"": ""799099328"", ""default_statistics_target"": ""6866"", ""effective_cache_size"": ""864821"", ""effective_io_concurrency"": ""396"", ""from_collapse_limit"": ""1898118138"", ""join_collapse_limit"": ""2082384994"", ""maintenance_work_mem"": ""31576"", ""max_parallel_workers"": ""299"", ""max_parallel_workers_per_gather"": ""660"", ""max_wal_size"": ""7202"", ""max_worker_processes"": ""627"", ""min_wal_size"": ""2152"", ""random_page_cost"": ""56.15882153423916"", ""seq_page_cost"": ""2.379225670641605"", ""shared_buffers"": ""563663"", ""temp_buffers"": ""3949"", ""throughput__2"": ""293.69"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""542"", ""wal_writer_flush_after"": ""2029418206"", ""work_mem"": ""787350""}"
postgresql,flash,2,single,4,1316.89,3.03,329.22,35.18002367019653,"[20, 50, 1000, 1, 0.5]",15.11990213394165,20.021547555923462,0.0,"{""backend_flush_after"": ""149"", ""bgwriter_delay"": ""1026"", ""bgwriter_flush_after"": ""232"", ""bgwriter_lru_maxpages"": ""968834549"", ""bgwriter_lru_multiplier"": ""1.5857741625302113"", ""checkpoint_completion_target"": ""0.9137221251125016"", ""checkpoint_flush_after"": ""85"", ""checkpoint_timeout"": ""2731"", ""commit_delay"": ""50626"", ""commit_siblings"": ""644"", ""deadlock_timeout"": ""750630760"", ""default_statistics_target"": ""2229"", ""effective_cache_size"": ""318564"", ""effective_io_concurrency"": ""332"", ""from_collapse_limit"": ""1592059385"", ""join_collapse_limit"": ""928104330"", ""maintenance_work_mem"": ""814858"", ""max_parallel_workers"": ""703"", ""max_parallel_workers_per_gather"": ""797"", ""max_wal_size"": ""3516"", ""max_worker_processes"": ""281"", ""min_wal_size"": ""3020"", ""random_page_cost"": ""51.71034866539107"", ""seq_page_cost"": ""80.22766455210378"", ""shared_buffers"": ""913739"", ""temp_buffers"": ""7468"", ""throughput__2"": ""329.22"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""8765"", ""wal_writer_flush_after"": ""543184321"", ""work_mem"": ""354193""}"
