system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,1,27807.51,3.06,27807.51,30.036731719970703,"[8, 50, 30, True]",0.0,30.035839319229126,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,2,24169.15,3.01,24169.15,30.032900094985962,"[8, 50, 30, True]",0.0,30.032811641693115,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""9999"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,3,24011.17,3.18,24011.17,30.024418592453003,"[8, 50, 30, True]",0.0,30.024316549301147,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""5050"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,4,27378.79,2.81,27378.79,30.027574062347412,"[8, 50, 30, True]",0.0,30.02748465538025,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""5000"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,5,31499.12,1.75,31499.12,30.032947301864624,"[8, 50, 30, True]",0.0,30.03284454345703,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,6,27248.36,2.99,27248.36,30.022440910339355,"[8, 50, 30, True]",0.0,30.022330284118652,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""4095"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,7,13406.05,5.28,13406.05,30.104126930236816,"[8, 50, 30, True]",0.0,30.10403871536255,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""1"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,8,920.2,27.52,920.2,30.06548023223877,"[8, 50, 30, True]",0.0,30.065372943878174,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,9,23106.71,3.65,23106.71,30.043567895889282,"[8, 50, 30, True]",0.0,30.04346466064453,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""0"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
httpd,lf09_hard01,"lambda_f=0.9, hard=0.1",12031,RQ3,10,27951.84,2.42,27951.84,30.033681392669678,"[8, 50, 30, True]",0.0,30.03358006477356,0.0,"{""AllowEncodedSlashes"": ""Off"", ""EnableSendfile"": ""Off"", ""ExtendedStatus"": ""Off"", ""FlushMaxPipelined"": ""5"", ""FlushMaxThreshold"": ""65535"", ""ForceType"": ""unset"", ""HostnameLookups"": ""Off"", ""KeepAlive"": ""On"", ""KeepAliveTimeout"": ""5"", ""LimitInternalRecursion"": ""10"", ""LimitRequestBody"": ""1073741824"", ""LimitRequestFieldSize"": ""8190"", ""LimitRequestFields"": ""100"", ""LimitRequestLine"": ""8190"", ""LimitXMLRequestBody"": ""1000000"", ""MaxKeepAliveRequests"": ""100"", ""MaxRangeOverlaps"": ""20"", ""MaxRangeReversals"": ""20"", ""MaxRanges"": ""200"", ""RLimitCPU"": ""unset"", ""RLimitMEM"": ""unset"", ""RLimitNPROC"": ""unset"", ""ReadBufferSize"": ""8192"", ""ServerSignature"": ""Off"", ""StrictHostCheck"": ""OFF"", ""TimeOut"": ""60"", ""TraceEnable"": ""on""}"
