system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
mysql,without_impact,without impact,9991,RQ4,1,323.81,98.4,326.45,40.17347693443298,"[12, 16, 20000, 32, 0.5]",27.98403525352478,12.143608570098877,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,without_impact,without impact,9991,RQ4,2,312.01,102.06,314.65,22.516366481781006,"[12, 16, 20000, 32, 0.5]",10.303740739822388,12.141782283782959,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""0"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,without_impact,without impact,9991,RQ4,3,315.97,100.82,318.61,24.24823260307312,"[12, 16, 20000, 32, 0.5]",12.090272903442383,12.138020992279053,0.0,"{""binlog_cache_size"": ""32768"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""10"", ""innodb_adaptive_max_sleep_delay"": ""150000"", ""innodb_buffer_pool_instances"": ""1"", ""innodb_buffer_pool_size"": ""13958643712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""0"", ""innodb_io_capacity"": ""200"", ""innodb_io_capacity_max"": ""400"", ""innodb_log_write_ahead_size"": ""8192"", ""innodb_lru_scan_depth"": ""1024"", ""innodb_max_dirty_pages_pct_lwm"": ""0"", ""innodb_purge_batch_size"": ""300"", ""innodb_purge_rseg_truncate_frequency"": ""128"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""0"", ""join_buffer_size"": ""262144"", ""key_cache_age_threshold"": ""300"", ""max_allowed_packet"": ""4194304"", ""max_connections"": ""151"", ""max_heap_table_size"": ""16777216"", ""max_prepared_stmt_count"": ""65536"", ""max_sort_length"": ""1024"", ""query_cache_limit"": ""1048576"", ""query_prealloc_size"": ""8192"", ""sort_buffer_size"": ""262144"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""16777216"", ""transaction_alloc_block_size"": ""8192""}"
mysql,without_impact,without impact,9991,RQ4,4,146.47,217.34,149.09,156.26297307014465,"[12, 16, 20000, 32, 0.5]",143.92273664474487,12.199414491653442,0.0,"{""binlog_cache_size"": ""574309248"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""42"", ""innodb_adaptive_max_sleep_delay"": ""560038"", ""innodb_buffer_pool_instances"": ""5"", ""innodb_buffer_pool_size"": ""6697262080"", ""innodb_change_buffer_max_size"": ""34"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""18056"", ""innodb_io_capacity_max"": ""33303"", ""innodb_log_write_ahead_size"": ""16011"", ""innodb_lru_scan_depth"": ""8191"", ""innodb_max_dirty_pages_pct_lwm"": ""39"", ""innodb_purge_batch_size"": ""723"", ""innodb_purge_rseg_truncate_frequency"": ""104"", ""innodb_stats_transient_sample_pages"": ""46"", ""innodb_thread_concurrency"": ""143"", ""join_buffer_size"": ""746044416"", ""key_cache_age_threshold"": ""3763"", ""max_allowed_packet"": ""583526080"", ""max_connections"": ""41033"", ""max_heap_table_size"": ""652614528"", ""max_prepared_stmt_count"": ""259556"", ""max_sort_length"": ""95905"", ""query_cache_limit"": ""68714616"", ""query_prealloc_size"": ""103005080"", ""sort_buffer_size"": ""49485132"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""836726784"", ""transaction_alloc_block_size"": ""88909""}"
mysql,without_impact,without impact,9991,RQ4,5,79.29,399.93,81.9,34.6115460395813,"[12, 16, 20000, 32, 0.5]",22.281984567642212,12.302831172943115,0.0,"{""binlog_cache_size"": ""3526514432"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""12"", ""innodb_adaptive_max_sleep_delay"": ""288521"", ""innodb_buffer_pool_instances"": ""37"", ""innodb_buffer_pool_size"": ""6889617408"", ""innodb_change_buffer_max_size"": ""31"", ""innodb_change_buffering"": ""purges"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""3499"", ""innodb_io_capacity_max"": ""22591"", ""innodb_log_write_ahead_size"": ""5975"", ""innodb_lru_scan_depth"": ""7778"", ""innodb_max_dirty_pages_pct_lwm"": ""29"", ""innodb_purge_batch_size"": ""513"", ""innodb_purge_rseg_truncate_frequency"": ""61"", ""innodb_stats_transient_sample_pages"": ""85"", ""innodb_thread_concurrency"": ""229"", ""join_buffer_size"": ""26943716"", ""key_cache_age_threshold"": ""8769"", ""max_allowed_packet"": ""1018561280"", ""max_connections"": ""90674"", ""max_heap_table_size"": ""491100"", ""max_prepared_stmt_count"": ""462006"", ""max_sort_length"": ""224786"", ""query_cache_limit"": ""102456520"", ""query_prealloc_size"": ""67193632"", ""sort_buffer_size"": ""108364288"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""152316048"", ""transaction_alloc_block_size"": ""24982""}"
mysql,without_impact,without impact,9991,RQ4,6,81.66,387.58,84.26,38.99201965332031,"[12, 16, 20000, 32, 0.5]",26.635154008865356,12.326780080795288,0.0,"{""binlog_cache_size"": ""3040338176"", ""binlog_row_image"": ""noblob"", ""innodb_adaptive_flushing_lwm"": ""55"", ""innodb_adaptive_max_sleep_delay"": ""115575"", ""innodb_buffer_pool_instances"": ""11"", ""innodb_buffer_pool_size"": ""12803471360"", ""innodb_change_buffer_max_size"": ""16"", ""innodb_change_buffering"": ""changes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""7898"", ""innodb_io_capacity_max"": ""39636"", ""innodb_log_write_ahead_size"": ""7293"", ""innodb_lru_scan_depth"": ""3358"", ""innodb_max_dirty_pages_pct_lwm"": ""86"", ""innodb_purge_batch_size"": ""4364"", ""innodb_purge_rseg_truncate_frequency"": ""90"", ""innodb_stats_transient_sample_pages"": ""78"", ""innodb_thread_concurrency"": ""648"", ""join_buffer_size"": ""668700352"", ""key_cache_age_threshold"": ""10850"", ""max_allowed_packet"": ""186243376"", ""max_connections"": ""98281"", ""max_heap_table_size"": ""828605056"", ""max_prepared_stmt_count"": ""478412"", ""max_sort_length"": ""245496"", ""query_cache_limit"": ""132738584"", ""query_prealloc_size"": ""3248590"", ""sort_buffer_size"": ""70314424"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""856043712"", ""transaction_alloc_block_size"": ""103828""}"
mysql,without_impact,without impact,9991,RQ4,7,135.33,234.85,137.95,36.90989899635315,"[12, 16, 20000, 32, 0.5]",24.526517868041992,12.251023292541504,0.0,"{""binlog_cache_size"": ""1161742720"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""33"", ""innodb_adaptive_max_sleep_delay"": ""855781"", ""innodb_buffer_pool_instances"": ""43"", ""innodb_buffer_pool_size"": ""12492905472"", ""innodb_change_buffer_max_size"": ""19"", ""innodb_change_buffering"": ""all"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""13241"", ""innodb_io_capacity_max"": ""28922"", ""innodb_log_write_ahead_size"": ""13205"", ""innodb_lru_scan_depth"": ""3897"", ""innodb_max_dirty_pages_pct_lwm"": ""96"", ""innodb_purge_batch_size"": ""4408"", ""innodb_purge_rseg_truncate_frequency"": ""15"", ""innodb_stats_transient_sample_pages"": ""44"", ""innodb_thread_concurrency"": ""734"", ""join_buffer_size"": ""171382192"", ""key_cache_age_threshold"": ""1202"", ""max_allowed_packet"": ""359150816"", ""max_connections"": ""47870"", ""max_heap_table_size"": ""394424672"", ""max_prepared_stmt_count"": ""243098"", ""max_sort_length"": ""108155"", ""query_cache_limit"": ""99267240"", ""query_prealloc_size"": ""34870608"", ""sort_buffer_size"": ""12736127"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""198016336"", ""transaction_alloc_block_size"": ""37837""}"
mysql,without_impact,without impact,9991,RQ4,8,0.42,72695.09,0.67,155.98486924171448,"[12, 16, 20000, 32, 0.5]",25.789916038513184,130.16462349891663,0.0,"{""binlog_cache_size"": ""2837968896"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""34"", ""innodb_adaptive_max_sleep_delay"": ""348779"", ""innodb_buffer_pool_instances"": ""22"", ""innodb_buffer_pool_size"": ""3537961984"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""deletes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""16989"", ""innodb_io_capacity_max"": ""25792"", ""innodb_log_write_ahead_size"": ""8945"", ""innodb_lru_scan_depth"": ""8263"", ""innodb_max_dirty_pages_pct_lwm"": ""80"", ""innodb_purge_batch_size"": ""1450"", ""innodb_purge_rseg_truncate_frequency"": ""107"", ""innodb_stats_transient_sample_pages"": ""65"", ""innodb_thread_concurrency"": ""673"", ""join_buffer_size"": ""458126016"", ""key_cache_age_threshold"": ""22038"", ""max_allowed_packet"": ""2355260"", ""max_connections"": ""96679"", ""max_heap_table_size"": ""63452880"", ""max_prepared_stmt_count"": ""35740"", ""max_sort_length"": ""204643"", ""query_cache_limit"": ""113183880"", ""query_prealloc_size"": ""119105552"", ""sort_buffer_size"": ""9786179"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""662245696"", ""transaction_alloc_block_size"": ""67538""}"
mysql,without_impact,without impact,9991,RQ4,9,172.82,184.13,175.44,206.04604721069336,"[12, 16, 20000, 32, 0.5]",193.7842071056366,12.218664169311523,0.0,"{""binlog_cache_size"": ""1496227712"", ""binlog_row_image"": ""minimal"", ""innodb_adaptive_flushing_lwm"": ""57"", ""innodb_adaptive_max_sleep_delay"": ""624202"", ""innodb_buffer_pool_instances"": ""54"", ""innodb_buffer_pool_size"": ""2248475648"", ""innodb_change_buffer_max_size"": ""35"", ""innodb_change_buffering"": ""none"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""1657"", ""innodb_io_capacity_max"": ""35258"", ""innodb_log_write_ahead_size"": ""3110"", ""innodb_lru_scan_depth"": ""7845"", ""innodb_max_dirty_pages_pct_lwm"": ""90"", ""innodb_purge_batch_size"": ""2284"", ""innodb_purge_rseg_truncate_frequency"": ""63"", ""innodb_stats_transient_sample_pages"": ""7"", ""innodb_thread_concurrency"": ""696"", ""join_buffer_size"": ""916646336"", ""key_cache_age_threshold"": ""27978"", ""max_allowed_packet"": ""508693952"", ""max_connections"": ""46257"", ""max_heap_table_size"": ""623305024"", ""max_prepared_stmt_count"": ""291534"", ""max_sort_length"": ""67568"", ""query_cache_limit"": ""79482936"", ""query_prealloc_size"": ""87815816"", ""sort_buffer_size"": ""69511192"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""531777504"", ""transaction_alloc_block_size"": ""1417""}"
mysql,without_impact,without impact,9991,RQ4,10,129.99,244.62,132.61,25.881834506988525,"[12, 16, 20000, 32, 0.5]",13.627872943878174,12.227833032608032,0.0,"{""binlog_cache_size"": ""1043015936"", ""binlog_row_image"": ""full"", ""innodb_adaptive_flushing_lwm"": ""13"", ""innodb_adaptive_max_sleep_delay"": ""794943"", ""innodb_buffer_pool_instances"": ""28"", ""innodb_buffer_pool_size"": ""8167091712"", ""innodb_change_buffer_max_size"": ""25"", ""innodb_change_buffering"": ""deletes"", ""innodb_flush_log_at_trx_commit"": ""1"", ""innodb_io_capacity"": ""7247"", ""innodb_io_capacity_max"": ""21993"", ""innodb_log_write_ahead_size"": ""2289"", ""innodb_lru_scan_depth"": ""3271"", ""innodb_max_dirty_pages_pct_lwm"": ""45"", ""innodb_purge_batch_size"": ""3471"", ""innodb_purge_rseg_truncate_frequency"": ""92"", ""innodb_stats_transient_sample_pages"": ""8"", ""innodb_thread_concurrency"": ""177"", ""join_buffer_size"": ""283264896"", ""key_cache_age_threshold"": ""29126"", ""max_allowed_packet"": ""704503360"", ""max_connections"": ""39814"", ""max_heap_table_size"": ""339916768"", ""max_prepared_stmt_count"": ""275124"", ""max_sort_length"": ""120590"", ""query_cache_limit"": ""89055976"", ""query_prealloc_size"": ""17546898"", ""sort_buffer_size"": ""105589696"", ""sync_binlog"": ""1"", ""tmp_table_size"": ""631263872"", ""transaction_alloc_block_size"": ""117709""}"
