system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,without_impact,without impact,9966,RQ4,1,166.53,6.0,666.13,49.57275652885437,"[20, 50, 1000, 1, 0.5]",29.5241961479187,20.023677825927734,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_impact,without impact,9966,RQ4,2,167.07,5.98,668.29,50.7568621635437,"[20, 50, 1000, 1, 0.5]",30.71334147453308,20.017722129821777,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""9999"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""1024""}"
postgresql,without_impact,without impact,9966,RQ4,3,166.85,5.99,667.4,49.41494417190552,"[20, 50, 1000, 1, 0.5]",29.366280555725098,20.018789052963257,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""10000"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""1024""}"
postgresql,without_impact,without impact,9966,RQ4,4,166.86,5.98,667.42,50.54561519622803,"[20, 50, 1000, 1, 0.5]",30.498997688293457,20.02062726020813,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""5512"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""1024""}"
postgresql,without_impact,without impact,9966,RQ4,5,166.36,6.0,665.43,49.87707757949829,"[20, 50, 1000, 1, 0.5]",29.829580783843994,20.024456024169922,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""1"", ""commit_siblings"": ""1"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_impact,without impact,9966,RQ4,6,166.25,6.01,664.99,49.80595684051514,"[20, 50, 1000, 1, 0.5]",29.7569100856781,20.020825147628784,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""50000"", ""commit_siblings"": ""1"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_impact,without impact,9966,RQ4,7,164.25,6.08,656.98,49.22404718399048,"[20, 50, 1000, 1, 0.5]",29.1799418926239,20.023330688476562,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""99999"", ""commit_siblings"": ""1"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_impact,without impact,9966,RQ4,8,239.87,4.16,959.5,44.831910133361816,"[20, 50, 1000, 1, 0.5]",24.787139892578125,20.017483711242676,0.0,"{""backend_flush_after"": ""245"", ""bgwriter_delay"": ""2919"", ""bgwriter_flush_after"": ""54"", ""bgwriter_lru_maxpages"": ""5338454"", ""bgwriter_lru_multiplier"": ""1.7349170446395874"", ""checkpoint_completion_target"": ""0.6243448853492737"", ""checkpoint_flush_after"": ""40"", ""checkpoint_timeout"": ""60152"", ""commit_delay"": ""338"", ""commit_siblings"": ""916"", ""deadlock_timeout"": ""1883002752"", ""default_statistics_target"": ""3299"", ""effective_cache_size"": ""109129"", ""effective_io_concurrency"": ""508"", ""from_collapse_limit"": ""988385984"", ""join_collapse_limit"": ""723084224"", ""maintenance_work_mem"": ""107538"", ""max_parallel_workers"": ""253"", ""max_parallel_workers_per_gather"": ""190"", ""max_wal_size"": ""4652"", ""max_worker_processes"": ""865"", ""min_wal_size"": ""5674"", ""random_page_cost"": ""57.35940170288086"", ""seq_page_cost"": ""90.60826110839844"", ""shared_buffers"": ""986391"", ""temp_buffers"": ""4042"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""6987"", ""wal_writer_flush_after"": ""764117824"", ""work_mem"": ""610274""}"
postgresql,without_impact,without impact,9966,RQ4,9,167.6,5.96,670.41,50.196393966674805,"[20, 50, 1000, 1, 0.5]",30.150302171707153,20.01814317703247,0.0,"{""backend_flush_after"": ""129"", ""bgwriter_delay"": ""1873"", ""bgwriter_flush_after"": ""177"", ""bgwriter_lru_maxpages"": ""670732992"", ""bgwriter_lru_multiplier"": ""8.778656005859375"", ""checkpoint_completion_target"": ""0.5079823732376099"", ""checkpoint_flush_after"": ""61"", ""checkpoint_timeout"": ""20651"", ""commit_delay"": ""82491"", ""commit_siblings"": ""752"", ""deadlock_timeout"": ""1982751872"", ""default_statistics_target"": ""9033"", ""effective_cache_size"": ""534120"", ""effective_io_concurrency"": ""646"", ""from_collapse_limit"": ""1069775168"", ""join_collapse_limit"": ""1632402176"", ""maintenance_work_mem"": ""379739"", ""max_parallel_workers"": ""120"", ""max_parallel_workers_per_gather"": ""531"", ""max_wal_size"": ""1224"", ""max_worker_processes"": ""13"", ""min_wal_size"": ""7768"", ""random_page_cost"": ""96.36040496826172"", ""seq_page_cost"": ""52.443199157714844"", ""shared_buffers"": ""914557"", ""temp_buffers"": ""9434"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""4556"", ""wal_writer_flush_after"": ""1840972416"", ""work_mem"": ""181358""}"
postgresql,without_impact,without impact,9966,RQ4,10,229.94,4.34,919.76,55.57585620880127,"[20, 50, 1000, 1, 0.5]",35.52619552612305,20.01995873451233,0.0,"{""backend_flush_after"": ""186"", ""bgwriter_delay"": ""9012"", ""bgwriter_flush_after"": ""56"", ""bgwriter_lru_maxpages"": ""916071808"", ""bgwriter_lru_multiplier"": ""0.9526770710945129"", ""checkpoint_completion_target"": ""0.5687755346298218"", ""checkpoint_flush_after"": ""115"", ""checkpoint_timeout"": ""68343"", ""commit_delay"": ""29146"", ""commit_siblings"": ""901"", ""deadlock_timeout"": ""564614272"", ""default_statistics_target"": ""4483"", ""effective_cache_size"": ""461706"", ""effective_io_concurrency"": ""711"", ""from_collapse_limit"": ""881030656"", ""join_collapse_limit"": ""1279713152"", ""maintenance_work_mem"": ""593493"", ""max_parallel_workers"": ""39"", ""max_parallel_workers_per_gather"": ""765"", ""max_wal_size"": ""2473"", ""max_worker_processes"": ""677"", ""min_wal_size"": ""4560"", ""random_page_cost"": ""49.426456451416016"", ""seq_page_cost"": ""7.694199085235596"", ""shared_buffers"": ""889843"", ""temp_buffers"": ""1431"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""1937"", ""wal_writer_flush_after"": ""1669580032"", ""work_mem"": ""316216""}"
postgresql,without_impact,without impact,9966,RQ4,11,174.6,5.72,698.4,40.39138102531433,"[20, 50, 1000, 1, 0.5]",20.343592882156372,20.018338441848755,0.0,"{""backend_flush_after"": ""206"", ""bgwriter_delay"": ""5142"", ""bgwriter_flush_after"": ""189"", ""bgwriter_lru_maxpages"": ""288473760"", ""bgwriter_lru_multiplier"": ""8.30830192565918"", ""checkpoint_completion_target"": ""0.5479348301887512"", ""checkpoint_flush_after"": ""106"", ""checkpoint_timeout"": ""23425"", ""commit_delay"": ""59933"", ""commit_siblings"": ""798"", ""deadlock_timeout"": ""666199936"", ""default_statistics_target"": ""7576"", ""effective_cache_size"": ""896020"", ""effective_io_concurrency"": ""568"", ""from_collapse_limit"": ""833199488"", ""join_collapse_limit"": ""101959496"", ""maintenance_work_mem"": ""928122"", ""max_parallel_workers"": ""164"", ""max_parallel_workers_per_gather"": ""82"", ""max_wal_size"": ""7901"", ""max_worker_processes"": ""457"", ""min_wal_size"": ""6906"", ""random_page_cost"": ""10.52523136138916"", ""seq_page_cost"": ""44.54096221923828"", ""shared_buffers"": ""1010334"", ""temp_buffers"": ""7168"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""9684"", ""wal_writer_flush_after"": ""598951296"", ""work_mem"": ""885321""}"
postgresql,without_impact,without impact,9966,RQ4,12,249.21,4.01,996.85,48.301032066345215,"[20, 50, 1000, 1, 0.5]",28.246644496917725,20.01801824569702,0.0,"{""backend_flush_after"": ""157"", ""bgwriter_delay"": ""7840"", ""bgwriter_flush_after"": ""88"", ""bgwriter_lru_maxpages"": ""542704192"", ""bgwriter_lru_multiplier"": ""6.87429141998291"", ""checkpoint_completion_target"": ""0.598444402217865"", ""checkpoint_flush_after"": ""138"", ""checkpoint_timeout"": ""81203"", ""commit_delay"": ""35514"", ""commit_siblings"": ""991"", ""deadlock_timeout"": ""455214016"", ""default_statistics_target"": ""7805"", ""effective_cache_size"": ""74978"", ""effective_io_concurrency"": ""33"", ""from_collapse_limit"": ""1375474560"", ""join_collapse_limit"": ""1928210560"", ""maintenance_work_mem"": ""980571"", ""max_parallel_workers"": ""116"", ""max_parallel_workers_per_gather"": ""923"", ""max_wal_size"": ""7869"", ""max_worker_processes"": ""667"", ""min_wal_size"": ""1456"", ""random_page_cost"": ""20.564538955688477"", ""seq_page_cost"": ""82.34187316894531"", ""shared_buffers"": ""114492"", ""temp_buffers"": ""9798"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""3705"", ""wal_writer_flush_after"": ""222025344"", ""work_mem"": ""673806""}"
postgresql,without_impact,without impact,9966,RQ4,13,168.39,5.93,673.56,43.59251284599304,"[20, 50, 1000, 1, 0.5]",23.54229187965393,20.01847791671753,0.0,"{""backend_flush_after"": ""233"", ""bgwriter_delay"": ""6785"", ""bgwriter_flush_after"": ""221"", ""bgwriter_lru_maxpages"": ""133359040"", ""bgwriter_lru_multiplier"": ""3.8735034465789795"", ""checkpoint_completion_target"": ""0.5192503929138184"", ""checkpoint_flush_after"": ""145"", ""checkpoint_timeout"": ""43116"", ""commit_delay"": ""53556"", ""commit_siblings"": ""842"", ""deadlock_timeout"": ""489697504"", ""default_statistics_target"": ""4552"", ""effective_cache_size"": ""501502"", ""effective_io_concurrency"": ""176"", ""from_collapse_limit"": ""1423374336"", ""join_collapse_limit"": ""951791744"", ""maintenance_work_mem"": ""505423"", ""max_parallel_workers"": ""241"", ""max_parallel_workers_per_gather"": ""310"", ""max_wal_size"": ""2252"", ""max_worker_processes"": ""503"", ""min_wal_size"": ""3113"", ""random_page_cost"": ""31.58704376220703"", ""seq_page_cost"": ""70.11673736572266"", ""shared_buffers"": ""214605"", ""temp_buffers"": ""4370"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""5964"", ""wal_writer_flush_after"": ""1292588800"", ""work_mem"": ""117952""}"
postgresql,without_impact,without impact,9966,RQ4,14,234.69,4.25,938.77,47.493898153305054,"[20, 50, 1000, 1, 0.5]",27.43180537223816,20.029036045074463,0.0,"{""backend_flush_after"": ""212"", ""bgwriter_delay"": ""3935"", ""bgwriter_flush_after"": ""86"", ""bgwriter_lru_maxpages"": ""378688000"", ""bgwriter_lru_multiplier"": ""6.0915937423706055"", ""checkpoint_completion_target"": ""0.5917656421661377"", ""checkpoint_flush_after"": ""223"", ""checkpoint_timeout"": ""46191"", ""commit_delay"": ""6510"", ""commit_siblings"": ""942"", ""deadlock_timeout"": ""1253638144"", ""default_statistics_target"": ""8789"", ""effective_cache_size"": ""495792"", ""effective_io_concurrency"": ""236"", ""from_collapse_limit"": ""1603729280"", ""join_collapse_limit"": ""363959296"", ""maintenance_work_mem"": ""467787"", ""max_parallel_workers"": ""176"", ""max_parallel_workers_per_gather"": ""474"", ""max_wal_size"": ""1002"", ""max_worker_processes"": ""863"", ""min_wal_size"": ""342"", ""random_page_cost"": ""84.7568359375"", ""seq_page_cost"": ""15.05871868133545"", ""shared_buffers"": ""205272"", ""temp_buffers"": ""7423"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""8657"", ""wal_writer_flush_after"": ""1127453056"", ""work_mem"": ""377798""}"
postgresql,without_impact,without impact,9966,RQ4,15,156.35,6.39,625.42,60.46978712081909,"[20, 50, 1000, 1, 0.5]",40.420214891433716,20.01929473876953,0.0,"{""backend_flush_after"": ""168"", ""bgwriter_delay"": ""74"", ""bgwriter_flush_after"": ""209"", ""bgwriter_lru_maxpages"": ""825865728"", ""bgwriter_lru_multiplier"": ""3.40391206741333"", ""checkpoint_completion_target"": ""0.5415613055229187"", ""checkpoint_flush_after"": ""196"", ""checkpoint_timeout"": ""2724"", ""commit_delay"": ""76310"", ""commit_siblings"": ""858"", ""deadlock_timeout"": ""1286288128"", ""default_statistics_target"": ""3216"", ""effective_cache_size"": ""928709"", ""effective_io_concurrency"": ""98"", ""from_collapse_limit"": ""1522277632"", ""join_collapse_limit"": ""1608813824"", ""maintenance_work_mem"": ""55082"", ""max_parallel_workers"": ""43"", ""max_parallel_workers_per_gather"": ""885"", ""max_wal_size"": ""4619"", ""max_worker_processes"": ""51"", ""min_wal_size"": ""2251"", ""random_page_cost"": ""73.63883972167969"", ""seq_page_cost"": ""27.820995330810547"", ""shared_buffers"": ""121013"", ""temp_buffers"": ""1723"", ""wal_sync_method"": ""open_datasync"", ""wal_writer_delay"": ""1091"", ""wal_writer_flush_after"": ""50532572"", ""work_mem"": ""823857""}"
postgresql,without_impact,without impact,9966,RQ4,16,168.57,5.92,674.29,49.59025287628174,"[20, 50, 1000, 1, 0.5]",29.536848783493042,20.02090883255005,0.0,"{""backend_flush_after"": ""170"", ""bgwriter_delay"": ""3050"", ""bgwriter_flush_after"": ""83"", ""bgwriter_lru_maxpages"": ""46493968"", ""bgwriter_lru_multiplier"": ""8.692771911621094"", ""checkpoint_completion_target"": ""0.615510880947113"", ""checkpoint_flush_after"": ""237"", ""checkpoint_timeout"": ""56685"", ""commit_delay"": ""57308"", ""commit_siblings"": ""471"", ""deadlock_timeout"": ""649520000"", ""default_statistics_target"": ""5212"", ""effective_cache_size"": ""973276"", ""effective_io_concurrency"": ""460"", ""from_collapse_limit"": ""2032860032"", ""join_collapse_limit"": ""1158025600"", ""maintenance_work_mem"": ""357713"", ""max_parallel_workers"": ""590"", ""max_parallel_workers_per_gather"": ""34"", ""max_wal_size"": ""3989"", ""max_worker_processes"": ""322"", ""min_wal_size"": ""3283"", ""random_page_cost"": ""55.82419204711914"", ""seq_page_cost"": ""35.344749450683594"", ""shared_buffers"": ""946150"", ""temp_buffers"": ""6014"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""1377"", ""wal_writer_flush_after"": ""1577613440"", ""work_mem"": ""646935""}"
postgresql,without_impact,without impact,9966,RQ4,17,271.86,3.67,1087.43,40.87260127067566,"[20, 50, 1000, 1, 0.5]",20.827076196670532,20.0180881023407,0.0,"{""backend_flush_after"": ""222"", ""bgwriter_delay"": ""1603"", ""bgwriter_flush_after"": ""214"", ""bgwriter_lru_maxpages"": ""628004608"", ""bgwriter_lru_multiplier"": ""0.7169800400733948"", ""checkpoint_completion_target"": ""0.5011624097824097"", ""checkpoint_flush_after"": ""246"", ""checkpoint_timeout"": ""13780"", ""commit_delay"": ""25497"", ""commit_siblings"": ""322"", ""deadlock_timeout"": ""547672256"", ""default_statistics_target"": ""2117"", ""effective_cache_size"": ""415944"", ""effective_io_concurrency"": ""317"", ""from_collapse_limit"": ""2080379136"", ""join_collapse_limit"": ""257100208"", ""maintenance_work_mem"": ""130296"", ""max_parallel_workers"": ""715"", ""max_parallel_workers_per_gather"": ""655"", ""max_wal_size"": ""6386"", ""max_worker_processes"": ""560"", ""min_wal_size"": ""1130"", ""random_page_cost"": ""91.62787628173828"", ""seq_page_cost"": ""23.363758087158203"", ""shared_buffers"": ""824973"", ""temp_buffers"": ""575"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""8956"", ""wal_writer_flush_after"": ""507050272"", ""work_mem"": ""93064""}"
postgresql,without_impact,without impact,9966,RQ4,18,145.82,6.85,583.29,40.36372423171997,"[20, 50, 1000, 1, 0.5]",20.311572313308716,20.021136045455933,0.0,"{""backend_flush_after"": ""231"", ""bgwriter_delay"": ""8824"", ""bgwriter_flush_after"": ""95"", ""bgwriter_lru_maxpages"": ""873341248"", ""bgwriter_lru_multiplier"": ""9.160531997680664"", ""checkpoint_completion_target"": ""0.5775800943374634"", ""checkpoint_flush_after"": ""184"", ""checkpoint_timeout"": ""75485"", ""commit_delay"": ""84750"", ""commit_siblings"": ""454"", ""deadlock_timeout"": ""1999495296"", ""default_statistics_target"": ""6393"", ""effective_cache_size"": ""581865"", ""effective_io_concurrency"": ""256"", ""from_collapse_limit"": ""2000691072"", ""join_collapse_limit"": ""576302400"", ""maintenance_work_mem"": ""843903"", ""max_parallel_workers"": ""662"", ""max_parallel_workers_per_gather"": ""609"", ""max_wal_size"": ""5136"", ""max_worker_processes"": ""134"", ""min_wal_size"": ""2421"", ""random_page_cost"": ""38.56182861328125"", ""seq_page_cost"": ""68.0617904663086"", ""shared_buffers"": ""848133"", ""temp_buffers"": ""8742"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""6268"", ""wal_writer_flush_after"": ""268451712"", ""work_mem"": ""411504""}"
postgresql,without_impact,without impact,9966,RQ4,19,246.8,4.04,987.21,50.09755492210388,"[20, 50, 1000, 1, 0.5]",30.042473554611206,20.02380108833313,0.0,"{""backend_flush_after"": ""147"", ""bgwriter_delay"": ""5197"", ""bgwriter_flush_after"": ""220"", ""bgwriter_lru_maxpages"": ""329631424"", ""bgwriter_lru_multiplier"": ""1.4966260194778442"", ""checkpoint_completion_target"": ""0.5547253489494324"", ""checkpoint_flush_after"": ""163"", ""checkpoint_timeout"": ""27200"", ""commit_delay"": ""4305"", ""commit_siblings"": ""370"", ""deadlock_timeout"": ""1900008320"", ""default_statistics_target"": ""661"", ""effective_cache_size"": ""29889"", ""effective_io_concurrency"": ""395"", ""from_collapse_limit"": ""1919611904"", ""join_collapse_limit"": ""1745663488"", ""maintenance_work_mem"": ""678931"", ""max_parallel_workers"": ""529"", ""max_parallel_workers_per_gather"": ""206"", ""max_wal_size"": ""740"", ""max_worker_processes"": ""1004"", ""min_wal_size"": ""16"", ""random_page_cost"": ""2.658360719680786"", ""seq_page_cost"": ""81.06820678710938"", ""shared_buffers"": ""919665"", ""temp_buffers"": ""3034"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""3986"", ""wal_writer_flush_after"": ""1345371904"", ""work_mem"": ""855580""}"
postgresql,without_impact,without impact,9966,RQ4,20,159.65,6.26,638.6,37.81181812286377,"[20, 50, 1000, 1, 0.5]",17.761478662490845,20.021055936813354,0.0,"{""backend_flush_after"": ""192"", ""bgwriter_delay"": ""8118"", ""bgwriter_flush_after"": ""63"", ""bgwriter_lru_maxpages"": ""583861888"", ""bgwriter_lru_multiplier"": ""3.636834144592285"", ""checkpoint_completion_target"": ""0.607248842716217"", ""checkpoint_flush_after"": ""65"", ""checkpoint_timeout"": ""77384"", ""commit_delay"": ""78324"", ""commit_siblings"": ""435"", ""deadlock_timeout"": ""1302902528"", ""default_statistics_target"": ""894"", ""effective_cache_size"": ""945175"", ""effective_io_concurrency"": ""985"", ""from_collapse_limit"": ""306149952"", ""join_collapse_limit"": ""485579520"", ""maintenance_work_mem"": ""731372"", ""max_parallel_workers"": ""711"", ""max_parallel_workers_per_gather"": ""775"", ""max_wal_size"": ""518"", ""max_worker_processes"": ""184"", ""min_wal_size"": ""7563"", ""random_page_cost"": ""15.861244201660156"", ""seq_page_cost"": ""43.46476364135742"", ""shared_buffers"": ""56815"", ""temp_buffers"": ""404"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""8094"", ""wal_writer_flush_after"": ""2125999360"", ""work_mem"": ""585360""}"
postgresql,without_impact,without impact,9966,RQ4,21,244.17,4.09,976.67,45.335638999938965,"[20, 50, 1000, 1, 0.5]",25.283300161361694,20.01784348487854,0.0,"{""backend_flush_after"": ""180"", ""bgwriter_delay"": ""6681"", ""bgwriter_flush_after"": ""188"", ""bgwriter_lru_maxpages"": ""90628480"", ""bgwriter_lru_multiplier"": ""5.694639682769775"", ""checkpoint_completion_target"": ""0.5260405540466309"", ""checkpoint_flush_after"": ""92"", ""checkpoint_timeout"": ""35933"", ""commit_delay"": ""10722"", ""commit_siblings"": ""272"", ""deadlock_timeout"": ""1270514688"", ""default_statistics_target"": ""6469"", ""effective_cache_size"": ""385333"", ""effective_io_concurrency"": ""846"", ""from_collapse_limit"": ""387289536"", ""join_collapse_limit"": ""1453605376"", ""maintenance_work_mem"": ""755842"", ""max_parallel_workers"": ""578"", ""max_parallel_workers_per_gather"": ""426"", ""max_wal_size"": ""5104"", ""max_worker_processes"": ""982"", ""min_wal_size"": ""5973"", ""random_page_cost"": ""30.03404426574707"", ""seq_page_cost"": ""5.836808681488037"", ""shared_buffers"": ""140480"", ""temp_buffers"": ""5802"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""365"", ""wal_writer_flush_after"": ""1049144448"", ""work_mem"": ""154522""}"
