system,method,method_label,run_id,source_group,iteration,throughput,latency,qps,cost,fidelity,prepare_time,run_time,clean_time,config_json
postgresql,without_reliability,without reliability,9866,RQ4,1,166.79,5.99,667.15,50.23646020889282,"[20, 50, 1000, 1, 0.5]",30.182063817977905,20.027260780334473,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_reliability,without reliability,9866,RQ4,2,167.01,5.98,668.04,49.59006142616272,"[20, 50, 1000, 1, 0.5]",29.549271821975708,20.01518201828003,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""9999"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""1024""}"
postgresql,without_reliability,without reliability,9866,RQ4,3,166.99,5.98,667.97,49.87261629104614,"[20, 50, 1000, 1, 0.5]",29.822705507278442,20.024724006652832,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""10000"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""1024""}"
postgresql,without_reliability,without reliability,9866,RQ4,4,167.23,5.97,668.93,49.69182372093201,"[20, 50, 1000, 1, 0.5]",29.654974222183228,20.018107891082764,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""0"", ""commit_siblings"": ""5"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""5512"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""1024""}"
postgresql,without_reliability,without reliability,9866,RQ4,5,166.09,6.01,664.34,50.06291151046753,"[20, 50, 1000, 1, 0.5]",30.01644277572632,20.022707223892212,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""1"", ""commit_siblings"": ""1"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_reliability,without reliability,9866,RQ4,6,165.85,6.02,663.39,50.46044945716858,"[20, 50, 1000, 1, 0.5]",30.413002967834473,20.022497415542603,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""50000"", ""commit_siblings"": ""1"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_reliability,without reliability,9866,RQ4,7,165.26,6.04,661.03,49.56239056587219,"[20, 50, 1000, 1, 0.5]",29.504798412322998,20.031333446502686,0.0,"{""backend_flush_after"": ""0"", ""bgwriter_delay"": ""200"", ""bgwriter_flush_after"": ""64"", ""bgwriter_lru_maxpages"": ""100"", ""bgwriter_lru_multiplier"": ""2.0"", ""checkpoint_completion_target"": ""0.5"", ""checkpoint_flush_after"": ""32"", ""checkpoint_timeout"": ""300"", ""commit_delay"": ""99999"", ""commit_siblings"": ""1"", ""deadlock_timeout"": ""1000"", ""default_statistics_target"": ""100"", ""effective_cache_size"": ""524288"", ""effective_io_concurrency"": ""1"", ""from_collapse_limit"": ""8"", ""join_collapse_limit"": ""8"", ""maintenance_work_mem"": ""65536"", ""max_parallel_workers"": ""8"", ""max_parallel_workers_per_gather"": ""0"", ""max_wal_size"": ""64"", ""max_worker_processes"": ""8"", ""min_wal_size"": ""80"", ""random_page_cost"": ""4.0"", ""seq_page_cost"": ""1.0"", ""shared_buffers"": ""16384"", ""temp_buffers"": ""1024"", ""wal_sync_method"": ""fdatasync"", ""wal_writer_delay"": ""200"", ""wal_writer_flush_after"": ""128"", ""work_mem"": ""4096""}"
postgresql,without_reliability,without reliability,9866,RQ4,8,191.33,5.22,765.31,45.354719161987305,"[20, 50, 1000, 1, 0.5]",25.307976007461548,20.02384328842163,0.0,"{""backend_flush_after"": ""99"", ""bgwriter_delay"": ""7089"", ""bgwriter_flush_after"": ""218"", ""bgwriter_lru_maxpages"": ""530181824"", ""bgwriter_lru_multiplier"": ""5.530137062072754"", ""checkpoint_completion_target"": ""0.600731611251831"", ""checkpoint_flush_after"": ""142"", ""checkpoint_timeout"": ""45423"", ""commit_delay"": ""27460"", ""commit_siblings"": ""727"", ""deadlock_timeout"": ""1750778496"", ""default_statistics_target"": ""8197"", ""effective_cache_size"": ""751624"", ""effective_io_concurrency"": ""536"", ""from_collapse_limit"": ""773422080"", ""join_collapse_limit"": ""796646144"", ""maintenance_work_mem"": ""528332"", ""max_parallel_workers"": ""536"", ""max_parallel_workers_per_gather"": ""965"", ""max_wal_size"": ""5792"", ""max_worker_processes"": ""422"", ""min_wal_size"": ""3172"", ""random_page_cost"": ""72.6199722290039"", ""seq_page_cost"": ""55.1104850769043"", ""shared_buffers"": ""840501"", ""temp_buffers"": ""6936"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""3428"", ""wal_writer_flush_after"": ""942336512"", ""work_mem"": ""328659""}"
postgresql,without_reliability,without reliability,9866,RQ4,9,238.32,4.19,953.28,52.14793086051941,"[20, 50, 1000, 1, 0.5]",32.09683799743652,20.018694639205933,0.0,"{""backend_flush_after"": ""36"", ""bgwriter_delay"": ""9718"", ""bgwriter_flush_after"": ""72"", ""bgwriter_lru_maxpages"": ""542668864"", ""bgwriter_lru_multiplier"": ""3.734942674636841"", ""checkpoint_completion_target"": ""0.5195305943489075"", ""checkpoint_flush_after"": ""144"", ""checkpoint_timeout"": ""11954"", ""commit_delay"": ""68309"", ""commit_siblings"": ""614"", ""deadlock_timeout"": ""1839234944"", ""default_statistics_target"": ""4966"", ""effective_cache_size"": ""447910"", ""effective_io_concurrency"": ""693"", ""from_collapse_limit"": ""714379200"", ""join_collapse_limit"": ""1296950528"", ""maintenance_work_mem"": ""762445"", ""max_parallel_workers"": ""663"", ""max_parallel_workers_per_gather"": ""454"", ""max_wal_size"": ""2128"", ""max_worker_processes"": ""911"", ""min_wal_size"": ""1272"", ""random_page_cost"": ""79.97181701660156"", ""seq_page_cost"": ""95.58807373046875"", ""shared_buffers"": ""983802"", ""temp_buffers"": ""3470"", ""wal_sync_method"": ""open_sync"", ""wal_writer_delay"": ""7330"", ""wal_writer_flush_after"": ""1383599104"", ""work_mem"": ""918841""}"
postgresql,without_reliability,without reliability,9866,RQ4,10,244.47,4.08,977.89,54.87881946563721,"[20, 50, 1000, 1, 0.5]",34.832873582839966,20.017561197280884,0.0,"{""backend_flush_after"": ""25"", ""bgwriter_delay"": ""3062"", ""bgwriter_flush_after"": ""214"", ""bgwriter_lru_maxpages"": ""959314368"", ""bgwriter_lru_multiplier"": ""7.376511573791504"", ""checkpoint_completion_target"": ""0.5676109790802002"", ""checkpoint_flush_after"": ""255"", ""checkpoint_timeout"": ""82847"", ""commit_delay"": ""13347"", ""commit_siblings"": ""702"", ""deadlock_timeout"": ""206312784"", ""default_statistics_target"": ""9420"", ""effective_cache_size"": ""506179"", ""effective_io_concurrency"": ""676"", ""from_collapse_limit"": ""666911872"", ""join_collapse_limit"": ""2008456192"", ""maintenance_work_mem"": ""247396"", ""max_parallel_workers"": ""724"", ""max_parallel_workers_per_gather"": ""304"", ""max_wal_size"": ""757"", ""max_worker_processes"": ""176"", ""min_wal_size"": ""2703"", ""random_page_cost"": ""22.578493118286133"", ""seq_page_cost"": ""32.44716262817383"", ""shared_buffers"": ""1003000"", ""temp_buffers"": ""8143"", ""wal_sync_method"": ""fsync"", ""wal_writer_delay"": ""9966"", ""wal_writer_flush_after"": ""1513773952"", ""work_mem"": ""614919""}"
